# Table S3, related to Figure 1. Details of the 2717 cancer genomes analyzed in this study.
Sample_ID	Tumor_Type	SampleType	No_TD	TDP_score	TDP_status	TDP_group	TP53_status	BRCA1_status	BRCA2_status	CDK12_status	CCNE1_pathway_status	Study_Name	PUBMED_ID	WGS_source	CNV_explorayory_analysis	SNV_explorayory_analysis
PR-4240	PRAD	Metastatic solid tumor	167	0.39	1	TDP group 1	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
PR-7520	PRAD	Metastatic solid tumor	21	0.08	1	TDP group 1/2mix	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
PR-08-556	PRAD	Primary solid tumor	89	-0.09	0	Non TDP	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
PR-03-3125	PRAD	Primary solid tumor	22	-0.1	0	Non TDP	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
P07-837	PRAD	Primary solid tumor	33	-0.22	0	Non TDP	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
PR-06-1749	PRAD	Primary solid tumor	40	-0.28	0	Non TDP	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
PR-3042	PRAD	Primary solid tumor	58	-0.28	0	Non TDP	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
PR-02-1431	PRAD	Primary solid tumor	30	-0.3	0	Non TDP	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
P05-620	PRAD	Primary solid tumor	42	-0.32	0	Non TDP	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
PR-2525	PRAD	Primary solid tumor	41	-0.46	0	Non TDP	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
P03-1426	PRAD	Primary solid tumor	10	-0.47	0	Non TDP	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
PR-2741	PRAD	Primary solid tumor	17	-0.51	0	Non TDP	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
P08-1541	PRAD	Primary solid tumor	18	-0.52	0	Non TDP	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
PR-04-1243	PRAD	Primary solid tumor	15	-0.56	0	Non TDP	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
P03-2345	PRAD	Primary solid tumor	7	-0.59	0	Non TDP	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
P08-716	PRAD	Primary solid tumor	10	-0.59	0	Non TDP	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
P09-396	PRAD	Primary solid tumor	11	-0.59	0	Non TDP	NA	NA	NA	NA	NA	Baca_2013	23622249	Original_publication	0	0
