Sample	Rearrangement Signature1	Rearrangement Signature2	Rearrangement Signature3	Rearrangement Signature4	Rearrangement Signature5	Rearrangement Signature6
PD10010	10	12	1	8	20	57
PD10011	107	11	9	0	15	1
PD10014	46	52	62	0	56	6
PD11326	26	79	182	4	57	11
PD11327	11	67	52	20	49	76
PD11336	8	1	1	13	2	50
PD11337	5	29	2	26	5	11
PD11338	0	1	0	0	0	0
PD11339	1	17	0	23	4	17
PD11340	8	71	8	99	109	54
PD11341	0	31	1	0	7	1
PD11342	3	4	0	5	0	5
PD11343	3	40	1	50	9	19
PD11344	2	20	1	70	3	68
PD11345	26	123	5	65	21	210
PD11346	11	56	5	153	6	240
PD11347	0	17	1	41	10	77
PD11348	7	14	3	41	6	59
PD11349	12	120	9	86	57	167
PD11352	1	1	0	0	0	0
PD11355	0	36	0	0	5	2
PD11357	0	7	0	1	2	8
PD11359	0	1	0	0	0	0
PD11360	4	15	2	35	6	25
PD11361	0	5	0	0	0	0
PD11364	3	9	0	8	2	1
PD11365	15	6	0	0	6	1
PD11366	1	29	0	0	1	1
PD11367	3	42	1	40	4	14
PD11368	37	53	1	59	22	161
PD11369	2	38	3	89	17	159
PD11370	0	3	0	0	0	0
PD11372	0	5	0	36	6	10
PD11374	5	24	1	17	7	15
PD11375	0	5	0	0	1	0
PD11376	0	8	3	9	2	42
PD11379	39	32	1	9	19	15
PD11380	1	5	1	2	5	17
PD11381	0	15	1	11	2	1
PD11383	0	4	0	0	0	0
PD11384	0	4	1	0	0	0
PD11385	3	15	1	29	1	27
PD11386	0	14	1	0	0	0
PD11388	1	11	4	44	5	91
PD11389	1	0	0	0	0	0
PD11391	1	0	0	0	1	0
PD11393	4	36	3	21	2	91
PD11394	0	1	0	17	1	6
PD11395	0	4	0	3	1	16
PD11396	1	26	1	10	3	5
PD11397	4	38	3	21	9	25
PD11398	4	8	0	26	2	4
PD11399	0	1	1	74	4	46
PD11402	0	8	0	6	0	17
PD11462	5	15	2	15	9	102
PD11464	26	10	4	86	0	28
PD11465	55	20	3	36	21	73
PD11740	2	13	0	0	0	0
PD11741	3	6	0	11	2	12
PD11742	57	117	86	6	54	15
PD11743	23	20	3	9	9	19
PD11744	0	1	0	0	0	0
PD11745	4	34	2	18	9	87
PD11748	43	62	232	0	61	3
PD11750	24	27	127	4	32	5
PD11751	40	82	238	3	137	13
PD11752	4	55	0	25	44	117
PD11753	0	5	0	0	4	0
PD11755	8	29	77	0	15	2
PD11756	0	7	0	4	0	6
PD11757	11	14	56	0	12	1
PD11760	2	20	1	33	6	13
PD11761	3	10	2	18	4	33
PD11762	1	12	0	0	2	1
PD11765	17	18	4	0	3	1
PD11766	0	26	0	35	3	17
PD11767	0	3	0	0	2	0
PD11769	1	6	1	10	2	34
PD11816	2	22	0	14	10	9
PD11818	11	45	2	152	0	91
PD11819	0	0	0	0	1	0
PD13162	15	44	3	20	8	46
PD13163	6	53	2	24	12	75
PD13164	2	12	2	8	3	58
PD13165	124	80	4	21	28	67
PD13166	7	58	6	59	4	39
PD13167	5	83	4	60	1	89
PD13168	1	18	2	55	4	97
PD13296	6	107	1000	1	89	18
PD13297	61	68	122	0	63	7
PD13298	11	43	3	127	22	27
PD13299	14	41	125	2	87	8
PD13302	5	15	2	128	6	111
PD13306	0	18	0	0	0	0
PD13307	5	29	1	6	1	36
PD13310	1	0	0	0	0	0
PD13311	12	22	87	0	22	2
PD13312	9	5	1	0	5	1
PD13418	0	37	1	0	9	2
PD13419	0	3	0	3	0	19
PD13420	0	5	0	5	0	6
PD13422	2	6	0	0	2	0
PD13424	8	12	8	91	8	89
PD13425	22	139	11	217	49	179
PD13427	0	2	0	0	0	0
PD13428	4	17	0	3	5	20
PD13602	17	79	14	22	59	40
PD13603	6	60	5	85	8	144
PD13604	1	6	3	13	36	90
PD13605	4	41	1	40	5	72
PD13606	6	47	3	92	11	177
PD13607	5	21	0	4	5	5
PD13608	5	26	3	93	5	42
PD13609	14	179	2	182	10	91
PD13619	0	2	0	0	0	0
PD13620	8	106	0	14	17	10
PD13622	32	50	2	45	42	85
PD13623	0	4	1	0	5	0
PD13625	20	67	5	48	24	79
PD13626	5	14	0	9	1	9
PD13627	8	42	67	0	61	6
PD13629	0	2	0	0	0	0
PD13630	1	44	3	7	5	25
PD13631	0	4	0	7	2	6
PD13752	9	26	1	5	10	8
PD13753	2	5	0	0	3	0
PD13754	0	13	1	0	5	1
PD13755	0	0	0	0	1	0
PD13757	2	7	0	2	1	12
PD13758	0	7	0	10	2	6
PD13760	0	0	0	1	0	8
PD13761	0	0	1	0	0	0
PD13762	0	0	1	0	0	0
PD13763	0	10	1	7	4	46
PD13764	18	216	9	511	16	219
PD13765	3	25	2	16	34	29
PD13766	0	57	2	0	6	2
PD13767	0	7	1	14	2	1
PD13768	0	1	0	0	0	0
PD13770	5	5	0	12	4	8
PD13771	50	50	10	14	128	28
PD14432	0	13	0	0	0	0
PD14433	0	0	0	7	0	47
PD14435	27	63	2	43	6	59
PD14437	32	129	0	21	9	26
PD14439	0	5	0	0	0	0
PD14441	0	2	0	20	1	8
PD14442	0	1	0	0	1	0
PD14450	0	4	1	23	0	18
PD14453	43	125	7	46	25	72
PD14454	9	14	1	18	6	82
PD14456	0	1	0	11	0	15
PD14457	9	54	4	75	6	35
PD14459	0	8	0	8	1	13
PD14460	0	8	1	22	2	24
PD14461	0	16	0	10	2	9
PD14462	0	7	1	3	0	18
PD14465	4	35	1	32	4	23
PD14467	0	15	1	15	3	18
PD14468	0	13	0	0	2	0
PD14471	2	37	1	19	6	49
PD14472	0	7	0	0	0	0
PD14473	3	5	0	21	0	9
PD17973	2	12	0	0	0	1
PD17981	2	2	0	7	4	30
PD17991	0	3	0	0	0	0
PD17994	2	4	0	0	0	0
PD18017	28	5	0	2	6	18
PD18020	20	91	153	15	131	36
PD18022	2	27	1	34	0	49
PD18024	96	75	382	2	98	13
PD18031	4	10	2	35	17	25
PD18037	9	71	6	4	81	26
PD18045	20	153	5	180	18	194
PD18046	3	31	0	0	4	1
PD18047	0	6	4	27	3	49
PD18048	47	32	4	24	43	49
PD18049	3	26	0	3	5	13
PD18050	17	97	2	126	6	51
PD18100	0	8	0	0	0	0
PD18101	2	7	1	0	0	0
PD18116	0	8	0	0	0	1
PD18149	0	5	0	2	4	11
PD18188	2	6	0	35	2	7
PD18189	12	34	0	3	12	11
PD18247	1	0	0	0	1	0
PD18251	20	60	2	15	9	20
PD18257	1	23	2	7	3	15
PD18258	1	7	0	0	0	0
