Cancer Types,Sample Names,Accuracy,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17
Biliary-AdenoCA,SP117655,0.982,439,475,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117556,0.988,502,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117627,0.979,195,67,117,0,0,0,0,78,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117775,0.983,305,302,264,0,0,0,0,140,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117332,0.941,37,14,24,0,55,0,0,25,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117712,0.978,139,0,76,0,252,0,0,62,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117017,0.988,183,29,101,0,0,0,0,74,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117031,0.988,601,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117759,0.984,828,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117621,0.987,338,129,168,0,240,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117425,0.956,166,110,131,0,190,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117930,0.991,1132,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99287,0.976,52,0,49,0,66,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99293,0.946,54,0,80,0,149,0,0,34,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99289,0.981,139,0,247,0,237,0,0,105,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99297,0.802,4,1,1,0,4,0,0,4,0,0,9,0,0,0,0,0,0
Biliary-AdenoCA,SP99301,0.982,394,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99305,0.963,76,0,46,0,104,0,0,42,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99309,0.977,213,0,88,0,194,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99313,0.975,67,0,0,0,197,0,0,280,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99317,0.784,3,0,4,0,12,0,0,6,0,0,14,0,0,0,0,0,0
Biliary-AdenoCA,SP99321,0.98,90,40,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99325,0.998,27285,102093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99329,0.983,0,0,40,0,77,304,0,100,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99333,0.984,112,0,0,0,113,0,0,28,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99337,0.99,240,32,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0
