Cancer.Types,Sample Name,Accuracy,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60
Biliary-AdenoCA,1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494,0.968,1496,1296,0,0,1825,0,0,0,0,0,0,0,0,0,0,0,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,4ef20a13-f107-4654-adca-fc60b8f5be47,0.963,985,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,50e3a421-9741-4cd8-911b-0f47ca518b6a,0.973,1110,528,0,0,1453,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,56cc8740-b132-4cbc-b513-f0b5b2305ca6,0.987,1803,1271,0,0,2199,0,0,0,0,0,0,0,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,5975deb5-00d2-4d18-b5c0-34ac9947fe11,0.987,441,461,0,0,840,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,796a8782-6d7e-47c8-b322-fcfe1dd240c8,0.948,122,0,0,0,6599,0,0,0,0,0,0,0,0,0,0,1968,0,0,0,0,0,0,0,0,0,0,0,0,2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,983c14b8-f35b-497b-9fd4-5e5f5f0a7aa7,0.951,571,0,0,0,3804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,a47c2012-c13d-48ac-88b6-e09bfd50122b,0.976,1926,547,0,0,512,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,bb65d670-0411-4fc5-a6cb-019caec1ab36,0.982,2403,1191,0,0,2684,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,e7c90af0-4b03-453e-b44f-e07248415088,0.989,2210,1605,0,0,2631,0,0,0,0,0,0,0,0,0,0,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
