Signature	Intercept	Slope	F	pValRLM	RhoTSS	pValTSS	DiffWTTERC	pValWTTERC	DiffWTTERT	pValWTTERT	DiffWTBoth	pValWTBoth	RhoTERC	pValTERC	RhoTERT	pValTERT	DiffTERRA	pValTERRA	DiffATL	pValATL	pAdjRLM	pAdjTSS	pAdjWTTERC	pAdjWTTERT	pAdjWTBoth	pAdjTERC	pAdjTERT	pAdjTERRA	pAdjATL
CX1	-1.162	-0.6153	8.184	0.004365	-0.3982	1.797e-21	-0.3215	2.348e-08	-0.2718	0.0002233	-0.5198	0.003517	-0.1851	1.898e-05	-0.2023	2.837e-06	-0.04174	0.32	-0.1067	0.1232	0.024735	1.52745e-20	3.9916e-07	0.0037961	0.0382613333333333	0.00016133	4.8229e-05	0.633344444444444	0.530683333333333
CX2	-1.902	0.2724	4.098	0.04335	0.1546	0.0003677	0.1792	0.1433	-0.04967	0.5775	0.2371	0.389	0.1223	0.00492	0.1273	0.003409	0.08071	0.2181	0.03467	0.7447	0.122825	0.00104181666666667	0.348014285714286	0.72556	0.6613	0.016728	0.00965883333333333	0.633344444444444	0.9761
CX3	-1.781	0.1112	0.6447	0.4223	0.4212	4.427e-24	0.5133	1.193e-07	0.3424	0.004104	0.8364	0.006752	0.2111	1.005e-06	0.1543	0.0003784	0.09368	0.125	0.1059	0.2958	0.71791	7.5259e-23	1.01405e-06	0.023256	0.0382613333333333	1.7085e-05	0.00214426666666667	0.53125	0.65314
CX4	-1.825	0.1833	2.18	0.1403	0.07282	0.09494	0.06567	0.5809	0.1955	0.1459	0.2235	0.3249	0.03274	0.4533	0.03232	0.4591	-0.1128	0.1134	0.1748	0.1479	0.288055555555556	0.134498333333333	0.759638461538461	0.354328571428571	0.6137	0.52836	0.54559375	0.53125	0.530683333333333
CX5	-1.958	0.3898	12.13	0.0005313	0.2718	2.23e-10	0.2541	0.03817	0.3485	0.04749	0.3858	0.1478	0.1093	0.01201	0.1801	3.186e-05	0.00762	0.9289	0.16	0.3243	0.00451605	1.26366666666667e-09	0.129778	0.160621666666667	0.314075	0.0340283333333333	0.00027081	0.995	0.65314
CX6	-1.508	-0.2889	5.302	0.02163	-0.1241	0.004318	-0.2932	0.0002747	-0.05904	0.6402	-0.393	0.06928	-0.06043	0.166	-0.04131	0.3439	-0.2602	0.0007752	-0.0598	0.6282	0.073542	0.00917575	0.00155663333333333	0.72556	0.250614	0.2822	0.487191666666667	0.0131784	0.970854545454545
CX7	-1.662	-0.06464	0.3022	0.5827	0.07553	0.08321	0.1261	0.2664	-0.1072	0.291	-0.1167	0.5509	0.1022	0.01895	0.09572	0.028	-0.08292	0.2916	-0.02121	0.8388	0.754346666666667	0.128597272727273	0.421445454545455	0.4947	0.746664285714286	0.0460214285714286	0.0595	0.633344444444444	0.9761
CX8	-1.693	-0.0033	0.001016	0.9746	0.2263	1.522e-07	0.0216	0.8868	0.4304	0.02083	0.5982	0.105	-0.03567	0.4138	0.07987	0.06692	0.06114	0.4524	-0.1995	0.08568	0.9746	6.4685e-07	0.9530625	0.0885275	0.2975	0.52836	0.126404444444444	0.699163636363636	0.530683333333333
CX9	-1.816	0.2109	5.694	0.01731	0.1267	0.003586	0.3063	0.04769	0.2703	0.2791	-0.4257	0.004612	0.1429	0.001001	0.1201	0.005765	0.0006525	0.995	0.1621	0.3842	0.073542	0.00870885714285714	0.135121666666667	0.4947	0.0382613333333333	0.00425425	0.0140007142857143	0.995	0.65314
CX10	-1.731	0.06757	0.5288	0.4674	0.02739	0.5305	0.1932	0.2582	0.1901	0.3989	0.3423	0.5525	-0.03181	0.4662	0.02873	0.5105	0.1974	0.0128	-0.004357	0.9761	0.722345454545455	0.601233333333333	0.421445454545455	0.616481818181818	0.746664285714286	0.52836	0.54559375	0.1088	0.9761
CX11	-1.76	0.1246	2.052	0.1525	-0.005656	0.8969	0.01894	0.897	0.006923	0.9683	-0.1002	0.7466	0.1742	5.833e-05	0.1404	0.001228	0.06004	0.5689	0.2247	0.1873	0.288055555555556	0.8969	0.9530625	0.9683	0.846146666666667	0.000330536666666667	0.0041752	0.805941666666667	0.530683333333333
CX12	-1.713	0.05351	0.2158	0.6424	-0.02187	0.6165	-0.1072	0.2727	0.1008	0.6018	0.006073	0.9781	0.04712	0.2803	0.02969	0.4965	0.0675	0.3353	0.01319	0.9207	0.754346666666667	0.65503125	0.421445454545455	0.72556	0.995	0.414375	0.54559375	0.633344444444444	0.9761
CX13	-1.808	0.25	12.94	0.0003474	0.1041	0.01679	0.04401	0.857	0.5428	0.1756	-0.2132	0.07371	0.09403	0.03092	0.1442	0.0009014	0.01452	0.9217	0.4199	0.172	0.00451605	0.0317144444444444	0.9530625	0.37315	0.250614	0.065705	0.00383095	0.995	0.530683333333333
CX14	-1.612	-0.2013	2.93	0.08742	-0.1752	5.283e-05	-0.1958	0.01054	-0.245	0.003521	0.002445	0.995	-0.07112	0.1029	-0.07205	0.09849	0.06324	0.3743	-0.2137	0.02935	0.212305714285714	0.000179622	0.044795	0.023256	0.995	0.194366666666667	0.167433	0.63631	0.49895
CX15	-1.709	0.0374	0.09705	0.7555	0.04539	0.2983	0.1851	0.169	0.3539	0.05669	0.5117	0.1363	0.02575	0.5553	0.02852	0.5135	-0.0955	0.2296	0.1158	0.3541	0.80271875	0.365257142857143	0.359125	0.160621666666667	0.314075	0.59000625	0.54559375	0.633344444444444	0.65314
CX16	-1.711	0.06839	0.2101	0.6469	0.09612	0.02736	0.05899	0.5441	0.03743	0.728	0.1023	0.6087	-0.04594	0.2925	0.005308	0.9032	0.00159	0.9763	-0.003184	0.9699	0.754346666666667	0.046512	0.759638461538461	0.7735	0.746664285714286	0.414375	0.9032	0.995	0.9761
CX17	-1.709	0.0424	0.1869	0.6656	0.04516	0.3008	0.00328	0.9753	0.09178	0.6006	0.2712	0.6149	0.02246	0.6069	0.06437	0.14	0.003933	0.9641	-0.03736	0.763	0.754346666666667	0.365257142857143	0.9753	0.72556	0.746664285714286	0.6069	0.216363636363636	0.995	0.9761
