CSsig	SBSsig	Spearman	pVal	pAdj
CX1	DBS1	-0.03936	0.09597	0.143955
CX1	DBS2	0.05518	0.01956	0.0564333333333333
CX1	DBS3	0.05279	0.02553	0.0564333333333333
CX1	DBS4	0.008358	0.7238	0.7755
CX1	DBS5	-0.1499	1.829e-10	2.7435e-09
CX1	DBS7	0.006746	0.7755	0.7755
CX1	DBS8	0.05015	0.03386	0.0564333333333333
CX1	DBS11	-0.1361	7.397e-09	5.54775e-08
CX1	DBS12	-0.09954	2.456e-05	9.21e-05
CX1	DBS13	-0.01063	0.6531	0.775153846153846
CX1	DBS14	-0.03427	0.1472	0.200727272727273
CX1	DBS15	-0.01002	0.6718	0.775153846153846
CX1	DBS16	0.05033	0.03325	0.0564333333333333
CX1	DBS17	0.05192	0.02805	0.0564333333333333
CX1	DBS18	-0.1252	1.083e-07	5.415e-07
CX2	DBS1	0.01297	0.5835	0.673269230769231
CX2	DBS2	-0.02642	0.2639	0.436909090909091
CX2	DBS3	-0.04148	0.07933	0.24075
CX2	DBS4	-0.04285	0.06988	0.24075
CX2	DBS5	0.03482	0.1409	0.301928571428571
CX2	DBS7	-0.0314	0.1843	0.3455625
CX2	DBS8	-0.02443	0.3015	0.436909090909091
CX2	DBS11	0.04286	0.06983	0.24075
CX2	DBS12	0.09306	8.043e-05	0.00120645
CX2	DBS13	-0.008404	0.7224	0.774
CX2	DBS14	-0.004661	0.8438	0.8438
CX2	DBS15	-0.0235	0.3204	0.436909090909091
CX2	DBS16	-0.01677	0.4784	0.598
CX2	DBS17	-0.04136	0.08025	0.24075
CX2	DBS18	0.03653	0.1223	0.301928571428571
CX3	DBS1	-0.00223	0.9249	0.9249
CX3	DBS2	0.007283	0.7581	0.874730769230769
CX3	DBS3	-0.04068	0.08536	0.24825
CX3	DBS4	0.02301	0.3305	0.49575
CX3	DBS5	0.1771	4.45e-14	6.675e-13
CX3	DBS7	0.02992	0.2057	0.342833333333333
CX3	DBS8	-0.03557	0.1324	0.24825
CX3	DBS11	0.03681	0.1195	0.24825
CX3	DBS12	0.05817	0.01384	0.0692
CX3	DBS13	-0.008729	0.7121	0.874730769230769
CX3	DBS14	0.009865	0.6766	0.874730769230769
CX3	DBS15	0.00447	0.8501	0.910821428571429
CX3	DBS16	-0.03865	0.1021	0.24825
CX3	DBS17	-0.04803	0.04218	0.158175
CX3	DBS18	0.1177	5.882e-07	4.4115e-06
CX4	DBS1	0.04194	0.07604	0.162942857142857
CX4	DBS2	-0.0661	0.005147	0.025735
CX4	DBS3	-0.01831	0.4388	0.5485
CX4	DBS4	0.05167	0.02882	0.08646
CX4	DBS5	0.04722	0.04575	0.114375
CX4	DBS7	0.06204	0.008655	0.03245625
CX4	DBS8	0.008282	0.7262	0.7262
CX4	DBS11	0.08909	0.0001605	0.0024075
CX4	DBS12	0.01031	0.663	0.710357142857143
CX4	DBS13	0.02416	0.3069	0.440181818181818
CX4	DBS14	0.03349	0.1567	0.261166666666667
CX4	DBS15	0.0377	0.1108	0.20775
CX4	DBS16	0.0133	0.5739	0.662192307692308
CX4	DBS17	0.02338	0.3228	0.440181818181818
CX4	DBS18	0.07771	0.001001	0.0075075
CX5	DBS1	0.05844	0.0134	0.0335
CX5	DBS2	-0.09298	8.155e-05	0.000611625
CX5	DBS3	-0.03797	0.1083	0.2030625
CX5	DBS4	-0.0331	0.1616	0.2424
CX5	DBS5	0.08117	0.0005876	0.002359875
CX5	DBS7	-0.01894	0.4233	0.4332
CX5	DBS8	-0.0242	0.3062	0.38275
CX5	DBS11	0.1621	5.286e-12	7.929e-11
CX5	DBS12	0.08073	0.0006293	0.002359875
CX5	DBS13	0.01973	0.4041	0.4332
CX5	DBS14	0.03486	0.1404	0.234
CX5	DBS15	0.01854	0.4332	0.4332
CX5	DBS16	-0.02633	0.2655	0.362045454545455
CX5	DBS17	-0.04217	0.07451	0.159664285714286
CX5	DBS18	0.07083	0.002715	0.008145
CX6	DBS1	-0.003565	0.8802	0.9874
CX6	DBS2	0.02898	0.2204	0.34155
CX6	DBS3	0.02852	0.2277	0.34155
CX6	DBS4	0.1123	1.904e-06	2.856e-05
CX6	DBS5	0.00159	0.9464	0.9874
CX6	DBS7	0.03865	0.1021	0.25525
CX6	DBS8	0.03919	0.09741	0.25525
CX6	DBS11	-0.07309	0.001972	0.00986
CX6	DBS12	-0.08814	0.0001888	0.001416
CX6	DBS13	0.02325	0.3255	0.443863636363636
CX6	DBS14	0.0003727	0.9874	0.9874
CX6	DBS15	0.02977	0.208	0.34155
CX6	DBS16	0.0189	0.4241	0.530125
CX6	DBS17	0.03309	0.1617	0.34155
CX6	DBS18	-0.04505	0.05672	0.2127
CX7	DBS1	0.07197	0.002314	0.019305
CX7	DBS2	-0.02659	0.2608	0.489
CX7	DBS3	-0.01097	0.6428	0.8035
CX7	DBS4	-0.01196	0.6132	0.8035
CX7	DBS5	0.03233	0.1716	0.429
CX7	DBS7	-0.007013	0.7668	0.830892857142857
CX7	DBS8	-0.006747	0.7755	0.830892857142857
CX7	DBS11	-0.02687	0.2558	0.489
CX7	DBS12	0.01869	0.4294	0.715666666666667
CX7	DBS13	0.04526	0.05553	0.2082375
CX7	DBS14	0.07121	0.002574	0.019305
CX7	DBS15	0.03355	0.156	0.429
CX7	DBS16	-0.004574	0.8466	0.8466
CX7	DBS17	0.01499	0.5262	0.7893
