CSsig	SBSsig	Spearman	pVal	pAdj
CX1	ID1	-0.1574	5.347e-12	2.21518571428571e-11
CX1	ID2	-0.2744	3.812e-34	5.5274e-33
CX1	ID3	-0.0916	6.431e-05	0.000169544545454545
CX1	ID4	-0.2001	1.379e-18	6.66516666666667e-18
CX1	ID5	-0.1197	1.702e-07	5.48422222222222e-07
CX1	ID6	-0.3792	6.102e-66	1.76958e-64
CX1	ID7	-0.04676	0.04168	0.0575580952380952
CX1	ID8	-0.1307	1.09e-08	3.95125e-08
CX1	ID9	-0.2516	8.74e-29	6.3365e-28
CX1	ID10	-0.09233	5.614e-05	0.000162806
CX1	ID11	0.05922	0.009866	0.0190742666666667
CX1	ID12	-0.2267	1.534e-23	8.8972e-23
CX1	ID13	-0.06441	0.004999	0.0111516153846154
CX1	ID14	-0.2524	5.767e-29	5.57476666666667e-28
CX1	ID18	0.05227	0.02276	0.0376516666666667
CX1	ID19	-0.07024	0.0022	0.00531666666666667
CX1	ID20	0.03514	0.1259	0.13672962962963
CX1	ID21	0.06087	0.007991	0.0165527857142857
CX1	ID22	0.0319	0.1647	0.1647
CX1	ID23	0.03195	0.1642	0.1647
CX1	ID24	0.05235	0.02257	0.0376516666666667
CX1	ID25	0.03506	0.1268	0.13672962962963
CX1	ID26	0.03524	0.1248	0.13672962962963
CX1	ID27	0.0352	0.1253	0.13672962962963
CX1	ID28	0.05204	0.02337	0.0376516666666667
CX1	ID29	-0.0483	0.03539	0.0513155
CX1	ID30	0.03502	0.1273	0.13672962962963
CX1	ID31	0.0432	0.05988	0.0789327272727273
CX1	ID32	-0.05133	0.02533	0.0386615789473684
CX2	ID1	0.1686	1.423e-13	8.2534e-13
CX2	ID2	0.1949	1.065e-17	3.0885e-16
CX2	ID3	0.07226	0.001631	0.0047299
CX2	ID4	0.1756	1.326e-14	1.2818e-13
CX2	ID5	0.0563	0.01417	0.0373572727272727
CX2	ID6	0.1845	5.401e-16	7.83145e-15
CX2	ID7	0.02193	0.3396	0.49242
CX2	ID8	0.1213	1.165e-07	4.223125e-07
CX2	ID9	0.1704	7.736e-14	5.6086e-13
CX2	ID10	0.08415	0.0002424	0.000781066666666667
CX2	ID11	-0.01933	0.3999	0.550330769230769
CX2	ID12	0.1601	2.281e-12	1.10248333333333e-11
CX2	ID13	0.02946	0.1996	0.340494117647059
CX2	ID14	0.1325	6.802e-09	2.81797142857143e-08
CX2	ID18	-0.02995	0.1921	0.340494117647059
CX2	ID19	0.0338	0.141	0.340494117647059
CX2	ID20	-0.01588	0.4893	0.550330769230769
CX2	ID21	-0.02718	0.2366	0.381188888888889
CX2	ID22	-0.008171	0.722	0.747785714285714
CX2	ID23	-0.008203	0.721	0.747785714285714
CX2	ID24	-0.0298	0.1944	0.340494117647059
CX2	ID25	-0.01589	0.4891	0.550330769230769
CX2	ID26	-0.01602	0.4856	0.550330769230769
CX2	ID27	-0.01593	0.488	0.550330769230769
CX2	ID28	-0.02988	0.1932	0.340494117647059
CX2	ID29	0.02241	0.3291	0.49242
CX2	ID30	-0.01573	0.4934	0.550330769230769
CX2	ID31	0.0002683	0.9907	0.9907
CX2	ID32	0.02948	0.1992	0.340494117647059
CX3	ID1	0.1671	2.36e-13	1.14066666666667e-12
CX3	ID2	0.265	7.139e-32	6.90103333333333e-31
CX3	ID3	0.1271	2.748e-08	7.9692e-08
CX3	ID4	0.1727	3.611e-14	2.617975e-13
CX3	ID5	0.1431	3.756e-10	1.36155e-09
CX3	ID6	0.4174	6.947e-81	2.01463e-79
CX3	ID7	0.01154	0.6153	0.660877777777778
CX3	ID8	0.1694	1.087e-13	6.3046e-13
CX3	ID9	0.1363	2.507e-09	8.07811111111111e-09
CX3	ID10	0.09305	4.906e-05	0.00012934
CX3	ID11	-0.0041	0.8583	0.8583
CX3	ID12	0.1638	6.977e-13	2.89047142857143e-12
CX3	ID13	0.0215	0.3492	0.42195
CX3	ID14	0.2697	5.379e-33	7.79955e-32
CX3	ID18	-0.03624	0.1145	0.22678
CX3	ID19	0.02469	0.2824	0.42195
CX3	ID20	-0.0229	0.3188	0.42195
CX3	ID21	-0.04592	0.04545	0.1098375
CX3	ID22	-0.02211	0.3356	0.42195
CX3	ID23	-0.02215	0.3348	0.42195
CX3	ID24	-0.0364	0.1129	0.22678
CX3	ID25	-0.02287	0.3193	0.42195
CX3	ID26	-0.02308	0.3149	0.42195
CX3	ID27	-0.02305	0.3155	0.42195
CX3	ID28	-0.03597	0.1173	0.22678
CX3	ID29	0.01275	0.5788	0.660877777777778
CX3	ID30	-0.02293	0.318	0.42195
CX3	ID31	-0.006309	0.7836	0.811585714285714
CX3	ID32	0.01208	0.5988	0.660877777777778
CX4	ID1	0.08218	0.0003385	0.00109072222222222
CX4	ID2	0.1363	2.48e-09	4.6371e-08
CX4	ID3	0.06085	0.008005	0.0211040909090909
CX4	ID4	0.08253	0.0003193	0.00109072222222222
CX4	ID5	0.1231	7.392e-08	5.3592e-07
CX4	ID6	0.1354	3.198e-09	4.6371e-08
CX4	ID7	0.05604	0.01462	0.0326138461538462
CX4	ID8	0.05006	0.0292	0.0498117647058824
CX4	ID9	0.07024	0.002201	0.0063829
CX4	ID10	0.09066	7.643e-05	0.000316638571428571
CX4	ID11	0.09473	3.574e-05	0.000207292
CX4	ID12	0.09221	5.746e-05	0.000277723333333333
CX4	ID13	0.05383	0.019	0.0367333333333333
CX4	ID14	0.1313	9.469e-09	9.15336666666667e-08
CX4	ID18	0.004648	0.8396	0.8917
CX4	ID19	0.05491	0.01673	0.034655
CX4	ID20	0.01241	0.589	0.776409090909091
CX4	ID21	0.007752	0.7357	0.888970833333333
CX4	ID22	0.003128	0.8917	0.8917
CX4	ID23	0.00318	0.8899	0.8917
CX4	ID24	0.004498	0.8447	0.8917
CX4	ID25	0.0125	0.5864	0.776409090909091
CX4	ID26	0.01262	0.5827	0.776409090909091
CX4	ID27	0.01247	0.5872	0.776409090909091
CX4	ID28	0.004666	0.839	0.8917
CX4	ID29	0.05611	0.01449	0.0326138461538462
CX4	ID30	0.01257	0.5842	0.776409090909091
CX4	ID31	-0.009557	0.6773	0.853986956521739
CX4	ID32	0.05046	0.02793	0.0498117647058824
CX5	ID1	0.1177	2.722e-07	1.12768571428571e-06
CX5	ID2	0.2173	1.005e-21	1.45725e-20
CX5	ID3	-0.0002343	0.9919	0.9919
CX5	ID4	0.1668	2.585e-13	1.874125e-12
CX5	ID5	0.01397	0.5432	0.605876923076923
CX5	ID6	0.1528	2.203e-11	1.06478333333333e-10
CX5	ID7	0.05641	0.01398	0.027028
CX5	ID8	0.01665	0.4684	0.591832
CX5	ID9	0.2476	6.548e-28	1.89892e-26
CX5	ID10	0.08048	0.0004485	0.0016258125
CX5	ID11	-0.06339	0.005731	0.0138499166666667
CX5	ID12	0.1858	3.386e-16	3.27313333333333e-15
