CSsig	SBSsig	Spearman	pVal	pAdj
CX1	ID1	0.05592	0.01482	0.02223
CX1	ID2	-0.1537	1.661e-11	6.22875e-11
CX1	ID3	0.1836	7.456e-16	3.728e-15
CX1	ID4	-0.09973	1.343e-05	2.518125e-05
CX1	ID5	0.3077	6.772e-43	1.0158e-41
CX1	ID6	-0.2916	1.64e-38	1.23e-37
CX1	ID7	0.01791	0.4354	0.502384615384615
CX1	ID8	-0.1203	1.475e-07	3.16071428571429e-07
CX1	ID9	-0.1267	3.061e-08	7.6525e-08
CX1	ID10	0.02881	0.2097	0.285954545454545
CX1	ID11	0.1349	3.597e-09	1.0791e-08
CX1	ID12	0.02598	0.258	0.3225
CX1	ID13	0.01509	0.5111	0.547607142857143
CX1	ID14	-0.06902	0.002625	0.004375
CX1	ID15	NA	NA	NA
CX1	ID16	0.003038	0.8948	0.8948
CX1	ID17	NA	NA	NA
CX2	ID1	0.0475	0.03854	0.0642333333333333
CX2	ID2	0.14	8.95e-10	6.7125e-09
CX2	ID3	-0.1181	2.48e-07	9.3e-07
CX2	ID4	0.07662	0.000835	0.001565625
CX2	ID5	-0.171	6.392e-14	9.588e-13
CX2	ID6	0.1238	6.217e-08	3.1085e-07
CX2	ID7	0.004817	0.8339	0.893464285714286
CX2	ID8	0.07885	0.0005857	0.00125507142857143
CX2	ID9	0.07994	0.0004904	0.001226
CX2	ID10	-0.03659	0.1111	0.1515
CX2	ID11	-0.08516	0.0002039	0.0006117
CX2	ID12	0.0008327	0.9711	0.9711
CX2	ID13	-0.01841	0.4229	0.487961538461538
CX2	ID14	0.04046	0.07802	0.11703
CX2	ID15	NA	NA	NA
CX2	ID16	-0.03195	0.1641	0.205125
CX2	ID17	NA	NA	NA
CX3	ID1	-0.08497	0.0002103	0.00052575
CX3	ID2	0.08603	0.0001752	0.0005256
CX3	ID3	-0.1298	1.402e-08	7.01e-08
CX3	ID4	0.03167	0.1678	0.2517
CX3	ID5	-0.2407	1.982e-26	1.4865e-25
CX3	ID6	0.3563	6.536e-58	9.804e-57
CX3	ID7	-0.01311	0.5682	0.655615384615385
CX3	ID8	0.09903	1.544e-05	5.79e-05
CX3	ID9	-0.005999	0.7939	0.7939
CX3	ID10	-0.04182	0.06853	0.114216666666667
CX3	ID11	-0.07466	0.001134	0.00212625
CX3	ID12	-0.007262	0.7519	0.7939
CX3	ID13	-0.01391	0.5447	0.655615384615385
CX3	ID14	0.07734	0.0007453	0.00159707142857143
CX3	ID15	NA	NA	NA
CX3	ID16	-0.0291	0.2051	0.279681818181818
CX3	ID17	NA	NA	NA
CX4	ID1	-0.01325	0.5641	0.650884615384615
CX4	ID2	0.07733	0.0007471	0.00560325
CX4	ID3	0.0009468	0.9671	0.9671
CX4	ID4	0.03325	0.1476	0.369
CX4	ID5	-0.07738	0.0007415	0.00560325
CX4	ID6	0.01147	0.6174	0.6615
CX4	ID7	-0.02929	0.2021	0.3789375
CX4	ID8	0.02279	0.321	0.4815
CX4	ID9	0.04231	0.06534	0.19602
CX4	ID10	-0.04866	0.03402	0.1701
CX4	ID11	-0.01622	0.48	0.62875
CX4	ID12	-0.04388	0.05599	0.19602
CX4	ID13	0.02621	0.2537	0.422833333333333
CX4	ID14	0.01538	0.503	0.62875
CX4	ID15	NA	NA	NA
CX4	ID16	-0.02929	0.2021	0.3789375
CX4	ID17	NA	NA	NA
CX5	ID1	0.0267	0.2449	0.306125
CX5	ID2	0.2135	5.242e-21	3.9315e-20
CX5	ID3	-0.1528	2.193e-11	8.22375e-11
CX5	ID4	0.1217	1.051e-07	2.6275e-07
CX5	ID5	-0.2676	1.704e-32	2.556e-31
CX5	ID6	0.08618	0.0001706	0.000365571428571429
CX5	ID7	-0.02712	0.2376	0.306125
CX5	ID8	0.03731	0.1042	0.1563
CX5	ID9	0.1798	2.936e-15	1.468e-14
CX5	ID10	-0.01149	0.6169	0.6169
CX5	ID11	-0.1369	2.146e-09	6.438e-09
CX5	ID12	-0.07492	0.00109	0.00204375
CX5	ID13	-0.01477	0.5202	0.557357142857143
CX5	ID14	0.0526	0.02194	0.0365666666666667
CX5	ID15	NA	NA	NA
CX5	ID16	0.02145	0.3504	0.404307692307692
CX5	ID17	NA	NA	NA
CX6	ID1	0.03951	0.08526	0.126559090909091
CX6	ID2	-0.07424	0.00121	0.00259285714285714
CX6	ID3	0.1429	4.019e-10	2.0095e-09
CX6	ID4	-0.06843	0.002856	0.005355
CX6	ID5	0.1622	1.174e-12	8.805e-12
CX6	ID6	-0.1696	1.029e-13	1.5435e-12
