CSsig	SBSsig	Spearman	pVal	pAdj
CX1	SBS1	0.1051	4.469e-06	1.6200125e-05
CX1	SBS2	0.04273	0.06273	0.0909585
CX1	SBS3	-0.2146	3.285e-21	4.76325e-20
CX1	SBS4	-0.07592	0.0009322	0.00270338
CX1	SBS5	0.07113	0.00193	0.00486695652173913
CX1	SBS6	-0.05302	0.02089	0.0390845161290323
CX1	SBS7a	-0.04739	0.039	0.0595263157894737
CX1	SBS7b	-0.05823	0.01117	0.0231378571428571
CX1	SBS7c	-0.0407	0.07625	0.107865853658537
CX1	SBS8	0.007286	0.7511	0.777925
CX1	SBS9	0.1814	1.672e-15	1.38537142857143e-14
CX1	SBS10a	0.04989	0.02976	0.0467762162162162
CX1	SBS11	-0.01645	0.4739	0.528580769230769
CX1	SBS12	0.1884	1.272e-16	1.47552e-15
CX1	SBS13	-0.3578	2.024e-58	1.17392e-56
CX1	SBS14	0.05679	0.01334	0.02668
CX1	SBS15	0.05861	0.01065	0.0228777777777778
CX1	SBS16	0.07284	0.001495	0.00412590909090909
CX1	SBS17a	0.06298	0.006053	0.0135028461538462
CX1	SBS17b	-0.08265	0.0003127	0.000954557894736842
CX1	SBS18	0.01536	0.5037	0.541011111111111
CX1	SBS19	0.1775	6.812e-15	4.9387e-14
CX1	SBS21	0.04028	0.07936	0.109592380952381
CX1	SBS22	-0.1001	1.251e-05	4.26811764705882e-05
CX1	SBS26	0.03324	0.1477	0.190368888888889
CX1	SBS28	-0.173	3.226e-14	2.07897777777778e-13
CX1	SBS30	0.1844	5.624e-16	5.43653333333333e-15
CX1	SBS33	-0.04411	0.05468	0.0813189743589744
CX1	SBS35	0.02138	0.3519	0.408204
CX1	SBS36	-0.137	2.068e-09	9.22646153846154e-09
CX1	SBS37	0.02857	0.2134	0.269069565217391
CX1	SBS38	-0.08805	0.0001226	0.000395044444444444
CX1	SBS39	-0.2816	6.087e-36	1.76523e-34
CX1	SBS40	0.1652	4.377e-13	2.30787272727273e-12
CX1	SBS60	NA	NA	NA
CX1	SBS55	-0.06514	0.004526	0.01050032
CX1	SBS44	0.03364	0.1429	0.188368181818182
CX1	SBS61	0.04988	0.02977	0.0467762162162162
CX1	SBS62	0.04989	0.02976	0.0467762162162162
CX1	SBS63	0.05033	0.02834	0.0467762162162162
CX1	SBS64	0.02495	0.2773	0.328232653061224
CX1	SBS65	-0.06535	0.004399	0.01050032
CX1	SBS66	0.04986	0.02984	0.0467762162162162
CX1	SBS67	-0.01024	0.6559	0.691676363636364
CX1	SBS68	0.1404	8.056e-10	3.89373333333333e-09
CX1	SBS69	-0.2728	9.664e-34	1.86837333333333e-32
CX1	SBS70	0.1257	3.914e-08	1.62151428571429e-07
CX1	SBS71	-0.1664	3.012e-13	1.74696e-12
CX1	SBS72	0.05643	0.01394	0.0269506666666667
CX1	SBS73	0.02028	0.3772	0.428972549019608
