Sig	variable	value	PVal	PAdj
CX1	Kendall's Tau	-0.2961	4.951e-235	8.4167e-234
CX2	Kendall's Tau	0.09023	4.764e-23	1.15697142857143e-22
CX3	Kendall's Tau	0.2868	2.507e-212	2.55714e-211
CX4	Kendall's Tau	0.08327	3.021e-19	5.406e-19
CX5	Kendall's Tau	0.2056	1.304e-106	8.313e-106
CX6	Kendall's Tau	-0.07277	1.275e-14	2.03203125e-14
CX7	Kendall's Tau	0.06048	2.128e-10	2.78276923076923e-10
CX8	Kendall's Tau	0.1519	5.306e-54	1.6912875e-53
CX9	Kendall's Tau	0.1903	7.855e-81	3.64186363636364e-80
CX10	Kendall's Tau	0.07256	6.806e-13	9.38124324324324e-13
CX11	Kendall's Tau	0.09122	3.074e-19	5.406e-19
CX12	Kendall's Tau	-0.005905	0.5622	0.5634
CX13	Kendall's Tau	0.1788	1.137e-68	4.46053846153846e-68
CX14	Kendall's Tau	-0.09327	6.17e-20	1.25868e-19
CX15	Kendall's Tau	-0.03844	0.0001743	0.00019754
CX16	Kendall's Tau	0.07878	5.846e-14	9.03472727272727e-14
CX17	Kendall's Tau	0.06048	9.976e-09	1.24091707317073e-08
