Sig	HighVMed_t	HighVMed_pVal	HighVLow_t	HighVLow_pVal	HighVMed_pAdj	HighVLow_pAdj	Sign
CX1	-13.71	7.88e-42	-33.65	2.458e-212	1.3396e-40	4.1786e-211	TRUE
CX2	-0.07652	0.939	9.779	2.983e-22	0.939	6.338875e-22	FALSE
CX3	13.38	5.813e-40	29.28	5.064e-168	4.94105e-39	4.3044e-167	TRUE
CX4	2.953	0.003163	5.211	2.032e-07	0.0053771	2.65723076923077e-07	TRUE
CX5	9.414	7.718e-21	23.86	8.187e-117	3.28015e-20	4.6393e-116	TRUE
CX6	-5.957	2.797e-09	-8.268	2.374e-16	9.5098e-09	4.0358e-16	TRUE
CX7	4.136	3.598e-05	4.282	1.91e-05	7.64575e-05	2.31928571428571e-05	TRUE
CX8	2.758	0.005836	12.81	1.027e-36	0.00901927272727273	2.90983333333333e-36	TRUE
CX9	9.548	2.199e-21	22.31	1.6e-102	1.2461e-20	6.8e-102	TRUE
CX10	1.139	0.2549	8.363	8.761e-17	0.333330769230769	1.65485555555556e-16	FALSE
CX11	3.631	0.0002862	7.073	1.846e-12	0.0005406	2.61516666666667e-12	TRUE
CX12	-0.5493	0.5828	-2.603	0.009302	0.660506666666667	0.009302	FALSE
CX13	4.625	3.857e-06	14.33	4.466e-45	9.367e-06	1.51844e-44	TRUE
CX14	-5.096	3.645e-07	-10.57	1.883e-25	1.03275e-06	4.573e-25	TRUE
CX15	-1.074	0.2829	-3.713	0.0002092	0.343521428571429	0.000237093333333333	FALSE
CX16	0.1751	0.861	3.002	0.002708	0.9148125	0.00287725	FALSE
CX17	1.416	0.1568	7.849	5.524e-15	0.222133333333333	8.53709090909091e-15	FALSE
