CINSignature	SVSignature	Spearman	pVal	pAdj
CX1	Rearrangement Signature1	-0.3396	4.449e-10	8.898e-10
CX1	Rearrangement Signature2	0.2626	1.915e-06	2.8725e-06
CX1	Rearrangement Signature3	-0.4239	2.185e-15	6.555e-15
CX1	Rearrangement Signature4	-0.06623	0.2375	0.2375
CX1	Rearrangement Signature5	-0.4323	5.27e-16	3.162e-15
CX1	Rearrangement Signature6	-0.1191	0.03314	0.039768
CX2	Rearrangement Signature1	-0.005099	0.9276	0.9276
CX2	Rearrangement Signature2	-0.08637	0.1231	0.18465
CX2	Rearrangement Signature3	-0.03854	0.4921	0.59052
CX2	Rearrangement Signature4	0.3138	9.673e-09	5.8038e-08
CX2	Rearrangement Signature5	-0.1163	0.03765	0.0753
CX2	Rearrangement Signature6	0.249	6.55e-06	1.965e-05
CX3	Rearrangement Signature1	0.32	4.697e-09	9.394e-09
CX3	Rearrangement Signature2	-0.1455	0.009152	0.0109824
CX3	Rearrangement Signature3	0.3838	1.134e-12	3.402e-12
CX3	Rearrangement Signature4	-0.184	0.0009438	0.0014157
CX3	Rearrangement Signature5	0.5046	4.499e-22	2.6994e-21
CX3	Rearrangement Signature6	-0.09831	0.0791	0.0791
CX4	Rearrangement Signature1	0.1276	0.02242	0.06726
CX4	Rearrangement Signature2	-0.06479	0.2478	0.29736
CX4	Rearrangement Signature3	0.08072	0.1497	0.22455
CX4	Rearrangement Signature4	0.1474	0.008275	0.04965
CX4	Rearrangement Signature5	-0.01899	0.735	0.735
CX4	Rearrangement Signature6	0.1182	0.03449	0.06898
CX5	Rearrangement Signature1	0.2125	0.0001277	0.00015324
CX5	Rearrangement Signature2	-0.2211	6.655e-05	9.9825e-05
CX5	Rearrangement Signature3	0.2483	6.929e-06	1.3858e-05
CX5	Rearrangement Signature4	0.2853	2.081e-07	6.243e-07
CX5	Rearrangement Signature5	0.2031	0.0002551	0.0002551
CX5	Rearrangement Signature6	0.3321	1.125e-09	6.75e-09
CX6	Rearrangement Signature1	0.05537	0.3234	0.38808
CX6	Rearrangement Signature2	-0.02916	0.6033	0.6033
CX6	Rearrangement Signature3	-0.07753	0.1665	0.24975
CX6	Rearrangement Signature4	0.1331	0.01723	0.10338
CX6	Rearrangement Signature5	-0.08632	0.1233	0.24975
CX6	Rearrangement Signature6	0.08354	0.1359	0.24975
CX7	Rearrangement Signature1	0.1715	0.002081	0.004162
CX7	Rearrangement Signature2	-0.03627	0.518	0.6216
CX7	Rearrangement Signature3	0.2372	1.798e-05	5.394e-05
CX7	Rearrangement Signature4	-0.0591	0.2919	0.43785
CX7	Rearrangement Signature5	0.3123	1.143e-08	6.858e-08
CX7	Rearrangement Signature6	-0.003087	0.9561	0.9561
CX8	Rearrangement Signature1	0.2128	0.0001248	0.0007392
CX8	Rearrangement Signature2	-0.08815	0.1155	0.1386
CX8	Rearrangement Signature3	0.1687	0.002464	0.003696
CX8	Rearrangement Signature4	0.1761	0.001568	0.003136
CX8	Rearrangement Signature5	0.03664	0.5137	0.5137
CX8	Rearrangement Signature6	0.2036	0.0002464	0.0007392
CX9	Rearrangement Signature1	0.02652	0.6365	0.6365
CX9	Rearrangement Signature2	-0.1981	0.000364	0.000728
CX9	Rearrangement Signature3	0.1563	0.005075	0.0076125
CX9	Rearrangement Signature4	0.2612	2.182e-06	8.022e-06
