TCGA	Over10	PCAWG	5%-1x	25%-1x	50%-1x	75%-1x	95%-1x	5%-2.5x	25%-2.5x	50%-2.5x	75%-2.5x	95%-2.5x	5%-5x	25%-5x	50%-5x	75%-5x	95%-5x	5%-7.5x	25%-7.5x	50%-7.5x	75%-7.5x	95%-7.5x	5%-10x	25%-10x	50%-10x	75%-10x	95%-10x	5%-20x	25%-20x	50%-20x	75%-20x	95%-20x
NA	FALSE	Biliary-AdenoCa	1.456539279	2.482919484	3.6536006	11.43949632	28.93594971	0.726566905	1.226363952	1.822326119	6.043426176	22.74955952	0.467382099	0.780474872	1.172116168	3.875537803	15.08778923	0.374620493	0.638604488	0.939702538	3.101741119	10.19528494	0.333008232	0.567669296	0.835321843	2.777018301	8.815952018	0.27058984	0.461266508	0.678750801	2.153975422	6.600395941
BLCA	TRUE	Bladder-TCC	2.298645819	11.8571799	19.22704571	30.11745135	43.01638785	1.13041224	6.372220131	12.92265047	23.51641912	38.83960963	0.722550737	4.08548233	7.930865156	18.70952594	32.48582114	0.59120948	3.297964878	6.405930207	13.80033402	26.35708984	0.525538851	2.891540896	5.586454149	9.330391157	20.22835855	0.427032909	2.288856966	4.171598884	6.521275035	11.1927759
NA	FALSE	Bone-Osteosarc	3.494574007	4.639321717	6.174320622	10.79431383	23.84458786	1.863317426	2.480545813	4.074512122	9.299464343	18.50019317	1.198051316	1.676037799	2.344224817	7.424412967	12.77292911	0.962290363	1.360496866	1.87937654	5.572407581	9.576282851	0.855793057	1.220829953	1.638548154	4.600573056	7.919171734	0.660888497	1.006291268	1.226880089	3.45661594	5.724671231
BRCA	TRUE	Breast-AdenoCa	4.010978397	11.00982681	18.22902557	29.94056612	50.53027459	2.00526765	5.893131498	11.07881056	23.85955486	45.12125283	1.278452029	3.891386835	7.166174785	16.67608342	40.20600681	1.046656019	3.096343016	5.741401189	12.23609144	35.31853106	0.930659403	2.723792125	5.08953869	10.47225675	28.78070902	0.751189835	2.172667838	4.010081483	7.719221601	16.77999835
NA	FALSE	CNS-GBM	2.7802917	3.694904171	6.997619058	15.43211103	23.33636004	1.369370781	1.836528687	3.592784042	8.495146065	18.97428563	0.885923011	1.180850987	2.343118058	5.648666775	14.11916935	0.72363702	0.950325776	1.894633996	4.574791507	9.991591469	0.643553811	0.844765069	1.68055914	4.106099326	7.374627653	0.523290153	0.686424008	1.35661705	3.210132532	5.422004514
NA	FALSE	CNS-Medullo	2.986960799	6.383046831	9.182392362	15.22333676	16.88486957	2.393378218	5.67595306	9.023804674	12.84743277	16.82374514	2.03711394	4.831506881	7.93247775	12.1754069	16.72187108	1.811449507	4.060761882	6.271396284	11.78664417	16.61999702	1.600571206	3.214349168	5.784600746	11.39788144	16.51812296	0.999273219	2.203749189	3.856283386	9.842830504	16.11062672
NA	FALSE	Cervix-SCC	2.359069549	3.271100353	4.679065167	11.28880535	26.81161895	1.17210543	1.669092313	2.399815992	6.189510328	24.89696614	0.757461879	1.063849697	1.543494363	4.05783749	23.0479687	0.622273218	0.879912143	1.278147763	3.295536892	21.48452267	0.546563248	0.747870902	1.087276045	2.833336747	19.98403662	0.444447959	0.607691488	0.884282004	2.191843913	14.23092968
NA	FALSE	ColoRect-AdenoCa	2.849815892	4.305041803	9.701980766	16.05619236	24.04163018	1.400345467	2.145807965	5.046014356	8.890001795	13.24907623	0.909695031	1.370070078	3.304150238	5.744993122	8.604372905	0.745298251	1.122188979	2.699606386	4.650634831	7.034322102	0.662940192	0.998055368	2.392639993	4.162589901	6.085673991	0.539202936	0.811613062	1.926184538	3.302967154	4.77723772
ESCA	TRUE	Eso-AdenoCa	8.304401486	11.82296433	21.3499174	34.17944045	59.81633859	4.248038184	6.322389186	12.05580648	26.63015825	58.69450771	2.730677797	4.102632996	8.164271128	15.00128222	56.28453725	2.242282771	3.319799695	6.712951275	12.06995404	53.70311763	1.942267938	2.847918224	5.898892892	10.44269693	51.12169801	1.549252052	2.196421392	4.518452347	7.836302055	38.48542155
HSNC	TRUE	Head-SCC	1.59690474	9.707346562	18.43833545	29.78481445	45.71986532	0.789996219	5.498353534	13.34881833	24.54565631	40.36653322	0.50363755	3.492156069	7.544410049	17.39178328	31.50323177	0.410722353	2.863986385	5.974211137	11.85494738	24.01510792	0.365099954	2.441138743	5.194342137	10.00310334	19.30919987	0.296666355	1.946714803	3.912113008	7.458988801	12.01199272
NA	TRUE	Kidney-CCRCC	4.559687468	6.761019324	14.88240794	26.68076937	31.4137576	2.306770737	3.436477137	8.666617125	16.2917597	24.07410506	1.482932839	2.22676939	5.457354675	10.4039463	15.69330696	1.212885842	1.769157287	4.348616739	8.530340238	10.98568655	1.04248027	1.577162594	3.823939838	7.391625263	9.388871054	0.84707987	1.256034193	2.890963867	5.578567608	7.144249521
KICH	TRUE	Kidney-ChRCC	8.269468503	12.26838851	15.37485095	31.41121502	34.41536936	4.343304466	6.898145324	8.454428794	27.88500138	28.65423292	2.81516475	4.50478455	5.549481863	22.36936924	26.5990083	2.326318938	3.639201101	4.508930355	19.93649983	24.93485863	2.021912495	3.271748979	3.877577575	17.90810119	23.51806749	1.649309542	2.543047557	3.000761252	10.53380159	21.78305642
"KIRP,KIRC"	TRUE	Kidney-PapRCC	13.83097955	17.4214982	26.65809721	35.79049853	39.13094275	7.839147029	9.774935145	17.88794985	26.63426414	30.08997123	5.279517585	6.435090871	12.24478958	18.79652514	21.73298683	4.360024349	5.28254858	10.12239182	15.61304133	18.09750061	3.867474333	4.602818015	8.827973258	13.57587301	15.56580353	3.12492544	3.644363632	6.949768639	10.54621236	11.76414348
LHC	TRUE	Liver-HCC	1.521754495	5.303310886	10.05602739	18.44178748	44.02336051	0.740708226	2.650962659	5.193284516	10.24996506	37.83866818	0.478344607	1.71190885	3.343876035	6.643636059	25.44601216	0.391393783	1.381403892	2.721594116	5.357444578	17.38825323	0.347918371	1.222930458	2.397301961	4.608183499	14.75957259	0.282705253	0.984082942	1.880926612	3.572209437	10.96146397
LUAD	TRUE	Lung-AdenoCa	5.504437198	14.02425612	18.26777178	25.0696727	49.20500785	2.828535288	7.44307596	10.17205431	17.42344925	44.30692681	1.833409693	4.866493231	6.651319261	9.868817408	38.22305301	1.462556358	3.937905915	5.291987572	7.955722855	32.56747463	1.307099402	3.378165869	4.757131968	6.828642605	27.02780645	1.022591566	2.605368271	3.744951994	5.164570932	17.17238699
LUSC	TRUE	Lung-SCC	5.959295721	9.502688787	13.45017438	17.00571572	35.7578538	3.022478723	5.012004359	7.037218077	9.337090984	25.41228786	1.955655584	3.271025737	4.528818938	6.098011343	15.0518007	1.583199576	2.624216042	3.756843601	4.997561856	12.00653936	1.408360828	2.347363399	3.209350858	4.330025073	10.50576257	1.145626206	1.817858321	2.612873592	3.406046178	7.849032287
DLBC	TRUE	Lymph-BNHL	0.926399313	5.602616292	10.83243592	24.98029014	41.65789251	0.450001408	3.299800756	5.707623948	16.92939194	38.50748373	0.291202107	2.04483445	3.69614171	9.620234092	33.25680243	0.238269007	1.659649577	2.973663169	7.750857784	28.00612113	0.211802456	1.429939318	2.609319524	6.578247515	22.75543983	0.172102631	1.133221945	2.012405122	5.174847297	12.36305883
OV	TRUE	Ovary-AdenoCa	3.545482254	16.83592777	35.14906697	49.39967379	57.76960356	1.758063016	9.390258741	28.51781623	43.94211217	55.6215522	1.119558566	6.310139849	19.53276655	36.18105778	52.54485156	0.915728869	5.096929426	14.08269368	28.46958129	50.54641775	0.813775981	4.512081596	11.99104697	22.79413318	48.57328436	0.654734105	3.645218757	8.962701613	14.39550077	32.26184788
PAAD	TRUE	Panc-AdenoCa	1.548485966	4.639970399	11.49414118	24.32103944	46.56488882	0.750388653	2.284195788	6.097060835	13.72062347	38.58151239	0.482976311	1.465311896	3.967909369	9.177606269	30.35783957	0.393683204	1.188871246	3.212448509	7.581158906	22.97290809	0.34900731	1.051015478	2.864005194	6.63413454	17.29362311	0.281956696	0.844302495	2.282681376	5.401824527	11.94243917
NA	TRUE	Panc-Endocrine	5.38967191	10.66850406	18.89967974	36.86265739	57.37009684	2.721904719	6.105623533	11.64390274	28.93199957	55.43993802	1.746248305	4.108625017	7.412589292	17.62767149	53.10476454	1.432510979	3.276308347	6.026227422	13.20386089	50.95884299	1.275035039	2.755494567	5.253608022	11.4109076	48.86500046	1.03805691	2.163019555	4.054071203	8.488267864	45.95242661
PRAD	TRUE	Prost-AdenoCa	4.932186883	8.063031087	10.8841554	16.83625768	27.48144898	2.546943033	4.168721876	5.687277712	10.91986748	21.45532775	1.651043839	2.676395788	3.635860972	7.209402578	14.50853794	1.334416397	2.207316276	2.953388418	5.49139598	10.66494087	1.177747312	1.890629991	2.587381262	4.884902255	9.439632267	0.922201448	1.52751744	2.041747279	3.772133071	7.296223348
SKCM	TRUE	Skin-Melanoma	2.61527818	8.73455572	16.44424962	33.66759679	58.25373551	1.311730227	4.511923805	8.791611382	27.46902828	55.2199086	0.849647213	2.914153575	5.70754431	17.97016122	51.19048454	0.672647016	2.3495585	4.57253594	12.71931747	47.35826492	0.597930433	2.079601036	4.060294308	10.60540819	43.57795865	0.485855558	1.622669619	3.159655632	8.007738505	28.58998588
NA	TRUE	SoftTissue-Leiomyo	10.01354273	30.32697713	35.46444196	42.7584228	62.02266759	6.480447091	21.59725493	25.68992042	34.71722796	58.79609633	3.770447836	12.08895737	14.57253897	24.7940194	54.27375937	3.067489678	9.811395467	11.75074354	18.47219006	50.32463499	2.650645658	8.463626213	10.34623884	15.35993745	47.32185146	2.099898948	6.590661852	7.924066242	11.54698035	37.93610285
NA	TRUE	SoftTissue-Liposarc	6.83761032	16.6952329	24.0961347	32.96366402	46.5039473	3.589567268	8.96566635	13.91118054	21.24591305	37.79386185	2.316503142	5.884579562	9.167494954	14.5632082	27.95950842	1.869586953	4.754195548	7.543029352	12.07680568	19.86642496	1.67179438	4.15865511	6.551302747	10.64598279	16.29799871	1.317915943	3.215259464	5.170639643	8.285530812	12.48806917
STAD	TRUE	Stomach-AdenoCa	2.030644309	4.427144189	12.12272305	23.02092922	59.99551316	1.008301541	2.188262342	6.378538361	13.5686797	56.9185427	0.643760779	1.422909728	4.137236841	9.180767929	51.93175571	0.525557566	1.168231903	3.360508281	7.480926172	47.0567112	0.467669614	1.040240358	2.999141616	6.732381998	42.1944791	0.377244697	0.847430649	2.36957717	5.291327909	25.10908796
UCEC	TRUE	Uterus-AdenoCa	4.697135055	9.893949974	13.20278884	22.72640395	45.04866841	2.331052605	5.03839035	7.07401675	13.10609895	37.25616968	1.495893037	3.232998306	4.648787509	8.730831138	25.49579757	1.218193861	2.659979923	3.791836067	7.113862535	16.89608223	1.078673641	2.338195607	3.394900955	6.191075321	14.45288078	0.868546101	1.903490144	2.707630214	4.890107885	10.71057903
