Identified	Hypothesised	Cosine	pVal	qVal
HRDLST	HRDLST	0.746321829884205	9.99900009999e-05	0.0004999500049995
HRDLST	ECDNA	0.529800737894468	0.0204	0.051
HRDLST	CHR	0.316333571091163	0.5352	0.5888
HRDLST	WGDearly	0.166384830852525	0.5888	0.5888
HRDLST	WGDlate	0.47801640306455	0.1696	0.282666666666667
ecDNA	HRDLST	0	9.99900009999e-05	0.0004999500049995
ecDNA	ECDNA	0.573362519577989	0.0064	0.016
ecDNA	CHR	0.174952911217499	0.8312	0.8666
ecDNA	WGDearly	0.178667793983344	0.8666	0.8666
ecDNA	WGDlate	0.278181473503605	0.6414	0.8666
CHR	HRDLST	0.259993806490993	0.7154	0.863
CHR	ECDNA	0.170811147855306	0.863	0.863
CHR	CHR	0.713762937807755	9.99900009999e-05	0.0004999500049995
CHR	WGDearly	0.589754479584678	0.0028	0.007
CHR	WGDlate	0.233063365046015	0.3386	0.564333333333333
WGDearly	HRDLST	0.132971685771793	0.4376	0.729333333333333
WGDearly	ECDNA	0.15103211619084	0.6772	0.7544
WGDearly	CHR	0.574402232025705	0.0042	0.0105
WGDearly	WGDearly	0.712547667131229	9.99900009999e-05	0.0004999500049995
WGDearly	WGDlate	0.278421584411781	0.7544	0.7544
WGDlate	HRDLST	0.623233403823774	6e-04	0.0015
WGDlate	ECDNA	0.528742134185593	0.0192	0.032
WGDlate	CHR	0.224538440960701	0.9442	0.9442
WGDlate	WGDearly	0.297727390597407	0.6062	0.75775
WGDlate	WGDlate	0.544020015563521	2e-04	0.001
