	W1	W2	W3	W4	W5	W6	W7
segsize1	0.0001831291	0.00046585142	0.0005519396	0.0	0.00064752577	0.00049696426	0.00077776576
segsize2	9.279847e-39	0.0031046588	0.004612385	0.012134967	0.0	0.007858563	0.0048955614
segsize3	0.0042801388	0.007558007	0.0052475734	0.095837474	0.0048450013	0.03020184	0.020826047
segsize4	0.0	0.01779416	0.028267082	0.106608175	0.032638915	0.06413435	0.048125107
segsize5	3.398e-41	0.0104405135	0.031357843	0.04850886	0.031121597	0.057918712	0.03635069
segsize6	4.560071e-12	0.0063169766	0.040904813	0.008140646	0.024385314	0.04960338	0.036451966
segsize7	0.012492412	0.0015751028	0.042255845	4.6715507e-23	0.0219975	0.04409572	0.03582917
segsize8	0.014698462	0.0008786271	0.026393404	7.3348784e-24	0.024123311	0.025849972	0.02341094
segsize9	0.011853036	0.0	0.015431289	0.0054252925	0.011228305	0.01255056	0.01440433
segsize10	0.027698679	7.795359e-21	0.01914361	0.0054515265	0.027447551	0.01663699	0.007520307
segsize11	0.031656854	0.0	0.015854469	0.013204684	0.030885674	0.014395918	0.009279847
segsize12	0.037761275	9.415102e-19	0.021812953	0.005503163	0.021515595	0.006087698	0.01143355
segsize13	0.027992245	0.0017954953	0.013097622	9.2256816e-38	0.02352855	0.0033168215	0.0011175763
segsize14	0.014427459	0.0030053	0.010310903	4.0602037e-16	0.007675949	0.0010255731	0.0020930315
segsize15	0.019910749	0.0035946982	0.009060771	0.010969442	0.016140416	0.00079265295	9.139546e-22
segsize16	0.0076161316	0.0030771631	0.003960479	0.0019186758	0.004924531	0.0	0.0
segsize17	0.010263986	0.0056489836	0.0055995774	0.0013444464	0.009050115	0.0	0.0
segsize18	0.0030465825	0.0047442713	0.002661166	0.0	0.0048432257	0.0	0.0
segsize19	0.002623691	0.0044186437	0.001598338	0.0	0.005959546	0.0	0.0
segsize20	0.0009040629	0.0023665691	0.0010074109	0.0	0.0021017466	0.0	0.0
segsize21	0.0003625903	0.0054069124	0.0012326142	0.0	0.0017614906	0.0	0.0
segsize22	0.0	0.0050852075	0.0	0.0	0.0	0.0	2.7998112e-08
changepoint1	0.00090959657	0.0060954555	0.0	0.00045095017	0.0	0.0008481349	0.066969275
changepoint2	0.046778593	0.0022364522	0.0	0.0	0.0	0.035888553	0.27997777
changepoint3	0.11448014	0.01503731	0.0	0.0	0.0	0.14730306	6.0307656e-22
changepoint4	0.05321757	0.015552086	0.07340675	0.0	0.0	0.09263239	0.0
changepoint5	3.2721397e-21	0.017873142	0.15186594	5.745649e-35	0.0	0.025825951	0.0
changepoint6	0.0	0.004022422	0.056447975	0.05066912	4.5983728e-10	1.3596104e-05	0.00050097605
changepoint7	0.0	0.0008027367	0.024394888	0.075380206	0.0	0.0	0.0
changepoint8	6.68e-43	0.0011469079	0.017857406	0.085811615	0.014998556	9.4301136e-30	0.0
changepoint9	0.0	0.0007724008	0.0075897733	0.080569945	0.042026892	0.0	0.0
changepoint10	0.0	0.00023564963	6.700003e-11	0.025795784	0.29530883	0.0	0.0
bp10MB1	0.14500162	0.4848476	0.0256866	0.049059566	0.0002914108	0.031211099	0.0
bp10MB2	0.23873046	0.23406391	0.06115066	0.058908846	0.08487828	0.06417754	0.026049301
bp10MB3	0.02397332	0.0146451	0.03642061	0.056017637	0.03615938	0.062155157	0.047198802
bpchrarm1	0.0	0.035649333	0.0	0.0	0.0	0.002047228	0.0
bpchrarm2	0.018470574	0.053466897	0.0012580544	4.757209e-21	5.20909e-35	0.00041301007	1.576892e-27
bpchrarm3	0.042970046	0.016130747	0.0057081925	0.02652974	0.0121924	0.006158269	0.002085317
bpchrarm4	0.0	0.0	0.0100337025	2.887083e-19	0.005517955	0.013274735	0.006574548
bpchrarm5	0.0	0.0	0.000344554	0.0	0.0	0.0014311991	0.0
osCN1	0.054296196	1.5810932e-13	0.1959134	0.09365663	0.1639702	0.11085148	0.28994784
osCN2	0.03307538	0.010144689	0.03151417	0.081783205	0.037834324	0.06670224	0.027176023
osCN3	0.00032505472	0.0	4.5136745e-05	0.0003193543	0.0	0.004100539	0.0010042557
