	W1	W2	W3	W4	W5	W6	W7
segsize1	0.00043204517	4.134317e-05	7.97815e-05	3.4946428e-05	0.00035257832	0.0	0.00019669533
segsize2	0.005295104	0.0014901609	1.417e-42	0.0	0.0035165562	0.0014649837	0.0037953367
segsize3	0.028471334	0.004104623	0.012838732	0.0	0.009181481	1.910065e-25	0.029110616
segsize4	0.05198952	0.010565705	0.032479964	0.0	0.043367516	0.0	0.045707133
segsize5	0.047703333	0.008232043	0.04059055	6.667444e-26	0.055591784	0.0	0.027707502
segsize6	0.035610773	0.004059461	0.024356388	0.0072228946	0.057999194	0.0	0.016257394
segsize7	0.032438558	0.0015971087	0.015023661	0.01584115	0.05612294	0.0	0.018017577
segsize8	0.017928824	0.0022406003	0.017880624	0.016972147	0.03335702	0.0	0.010706213
segsize9	0.015938118	0.00012628979	0.009001453	0.012543699	0.015185901	0.0	0.010765447
segsize10	0.0071306815	0.002054815	0.01919057	0.025351034	0.019033566	0.0	0.01379797
segsize11	0.010731673	0.0017163295	0.02375681	0.029108223	0.012579416	5.3666952e-17	0.01931862
segsize12	0.011699127	0.0015492447	0.009104417	0.02987545	0.010508729	0.015706727	0.019983117
segsize13	0.0061185607	0.001359033	0.014680247	0.023786483	0.002172227	0.011640748	0.015424787
segsize14	0.0061137294	0.0010713025	0.0027821164	0.012321988	0.0024415914	0.038417988	0.010707062
segsize15	0.0010986123	0.0033636407	0.017208757	0.019951724	0.0009251786	0.014275061	0.015027877
segsize16	2.1656035e-28	0.0015931671	0.009376895	0.00625461	0.0	0.039511636	0.0052524135
segsize17	0.00086995534	0.0014838269	0.016145496	0.008883844	1e-45	0.07018866	0.0075563956
segsize18	0.0	0.0021814785	0.012941542	0.0033571327	0.0	0.05160557	0.0014485389
segsize19	0.0	0.0019994886	0.014065206	0.0022988683	0.0	0.050846793	0.001130204
segsize20	0.001681151	0.0	0.00831135	0.0	0.0	0.056584522	0.0
segsize21	0.00076346385	0.0022176267	0.011941105	0.0	0.0	0.06576637	0.0
segsize22	0.0	0.003139575	0.0048123407	0.0	0.0	0.05834128	0.0
changepoint1	0.07127612	0.004928802	0.0	0.0	0.0	0.0	0.0
changepoint2	0.26701105	0.001773741	0.0	0.033140596	0.013700672	0.006952707	0.0
changepoint3	0.03345483	0.012952193	0.0	0.10272173	0.1038708	0.0	0.0
changepoint4	4.414e-42	0.007450309	0.0	0.057710957	0.10407192	0.12352729	0.014596279
changepoint5	0.0	0.0	0.0	0.004843868	0.08167111	0.29113328	0.053662498
changepoint6	0.0	0.0	0.0	0.0	0.013801511	0.08229412	0.047690667
changepoint7	0.0	0.0016777712	0.0	0.0	0.0	0.020567449	0.04611195
changepoint8	0.0	0.0027984164	0.014730322	0.0	0.0	0.0011748375	0.048138905
changepoint9	0.0	0.0017524101	0.056471262	0.0	0.0	0.0	0.034916956
changepoint10	0.0	0.000121451325	0.38060197	9.187e-40	4.5512273e-26	0.0	0.0073616714
bp10MB1	1.1222872e-30	0.5349278	1.0526347e-21	0.16374835	0.028675595	0.0	0.09826871
bp10MB2	0.04047686	0.24661984	0.025357205	0.23684588	0.060699098	0.0	0.12776476
bp10MB3	0.04647759	0.011168922	0.032075886	0.020791044	0.058491	0.0	0.035208393
bpchrarm1	0.0	0.049330983	0.0	0.0	0.0041022683	0.0	0.0
bpchrarm2	4.9422826e-25	0.05579113	8.2985615e-08	0.028053688	0.0	1.1120905e-28	0.012155588
bpchrarm3	0.014800683	0.007980683	0.014567047	0.03251565	0.008614588	0.0	0.020211732
bpchrarm4	0.0035167183	0.0	6e-45	0.0	0.012382596	0.0	0.0033746168
bpchrarm5	0.0	0.0	0.0	0.0	0.000595799	0.0	0.0005327305
osCN1	0.19865131	0.0	0.11928319	0.07540823	0.12572056	0.0	0.13724914
osCN2	0.040441778	0.004530953	0.04030281	0.030182673	0.05832723	0.0	0.040826328
osCN3	0.0018784852	7.679041e-06	4.221076e-05	0.00023310921	0.002939532	0.0	1.8216511e-05
