	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	1.1230919e-05	0.0	4.907076e-05	0.00020481998	0.0	0.0	0.0	0.0	0.0	0.00062374404
segsize2	0.0007688152	0.0	0.0020978511	0.0	0.0	0.0004965151	0.0036918519	0.0	0.0	0.011636932
segsize3	0.0020948208	0.0	0.0069539365	0.0	0.0	0.003235102	0.020304948	1.666347e-33	0.0	0.051606055
segsize4	0.00029177836	0.0	0.004789933	0.0	0.0	0.003992368	0.042885356	0.031665526	0.0	0.13537729
segsize5	0.0	0.0	3.044434e-09	5.327421e-22	0.0	0.0017347266	0.032981317	0.05593048	7.22308e-40	0.11005541
segsize6	0.0	0.0	0.0	0.018432703	0.0	0.0015843243	0.02848001	0.049462818	0.0025671858	0.08283908
segsize7	0.0	0.0	0.0	0.038447753	0.0	0.0033127298	0.03431688	0.045988284	0.018823132	0.048514154
segsize8	0.0	0.0	5.1981257e-17	0.049978953	0.0	0.0021276723	0.019762972	0.023825176	0.0	0.016654585
segsize9	0.0	0.0	0.0022844817	0.03312473	0.0	0.00040261238	0.012206051	0.012889194	4.623001e-06	0.003958454
segsize10	0.0003429763	0.0	0.007641311	0.05656837	0.0	0.00011588345	0.012825434	0.013075801	0.0	0.0032094037
segsize11	0.000293442	0.0	0.011754426	0.054398738	0.0	1.6947779e-14	0.01770955	0.011927704	0.0	0.0
segsize12	1.8803784e-38	0.0	0.018185675	0.045029506	0.0	0.00077881233	0.012833474	0.0079170205	0.004598294	1.8595955e-10
segsize13	0.00083682226	0.0	0.01541553	0.032699365	0.0	0.0	0.005707015	0.003002538	1e-45	0.0
segsize14	0.0007198412	0.0	0.0134194195	0.017390626	0.0	0.0002769731	0.0023230505	0.0	3.83e-43	1.95e-43
segsize15	0.0034693829	0.0	0.022137558	0.013741627	0.0	0.0	0.0037234253	0.0	0.0011212635	0.0
segsize16	0.0024227388	0.0	0.012426003	0.002553321	0.0	0.0	0.0	0.0	0.004649627	0.0
segsize17	0.0023499748	0.0	0.018753972	0.0	0.0	0.00087364204	0.0013131873	0.0	0.007974782	0.0
segsize18	0.007263519	0.0	0.008265017	0.0	0.0	0.0	0.0013135175	0.0	0.004744012	0.0
segsize19	0.005896289	0.0	0.0067547783	2.1900289e-05	0.0	0.0	0.0	0.0	0.0053694905	0.0
segsize20	0.0075748325	1e-45	0.0022158884	0.0	0.0	0.0	0.0	0.0	0.000684766	0.0
segsize21	0.012676855	0.0	0.0049759313	0.0	0.0	0.0002928654	0.0	0.0	7.198229e-23	0.0
segsize22	0.02414201	0.0	0.0	4.3313967e-06	0.0	0.0	0.0	7.975426e-09	0.0	0.0
changepoint1	0.0	0.0	0.0011155909	0.0	0.24908897	0.005821569	0.0	0.00088548457	0.0	0.002448076
changepoint2	0.0	0.0	0.0027921405	0.06151341	0.75091106	0.0	0.0	0.01573113	0.0	0.0
changepoint3	0.0	0.0	0.04685923	0.0	0.0	0.015475116	0.0	0.30338058	0.0	0.0
changepoint4	0.0045052245	0.0	0.02943044	3.5021994e-10	0.0	0.0035384952	0.16380967	0.15401645	0.0	0.00832607
changepoint5	0.014849927	0.0	0.008531485	0.0054975743	0.0	0.0	0.3739373	1.7546038e-17	0.0	0.020642523
changepoint6	0.0	0.0	0.0	0.0013618147	0.0	0.0	0.078095205	0.0	0.22690415	1.5338906e-05
changepoint7	0.0	0.0	0.0	1.7722253e-07	0.0	0.0	0.019894542	0.0	0.2826787	0.00013985179
changepoint8	0.000111461006	0.0	3.716394e-05	5.617723e-05	0.0	0.0	0.011174792	0.0	0.2351333	0.0068639535
changepoint9	0.00020977095	0.09091197	7.993536e-05	0.0	0.0	0.0	0.0	0.0	0.16750135	0.007407425
changepoint10	0.0	0.909088	0.0	6.7334245e-06	0.0	0.0	0.0	0.0	0.037245348	0.003606616
bp10MB1	0.5762722	0.0	0.3497706	5.9805243e-05	0.0	0.5939665	1e-45	0.028038694	0.0	0.012009567
bp10MB2	0.21399339	0.0	0.25853696	0.1681795	0.0	0.23452465	3.3649463e-28	0.10849054	0.0	5.2987417e-11
bp10MB3	0.0027125876	0.0	0.0121577	0.03134007	0.0	0.0077255806	0.050311282	0.06078074	1.6010759e-31	0.07847393
bpchrarm1	0.08312095	0.0	0.009755102	0.0	0.0	0.07874877	0.0	0.0	0.0	0.0
bpchrarm2	0.03172074	0.0	0.054664385	0.0	0.0	0.03874457	0.0	0.0	0.0	0.0
bpchrarm3	5.5359535e-05	0.0	0.02372105	0.029315075	0.0	0.0022293304	0.013491349	0.016845917	0.0	0.0
bpchrarm4	0.0	0.0	0.0	0.00487153	0.0	0.0	0.0	0.0059712343	0.0	0.016928174
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036440566
osCN1	0.0012930919	0.0	0.035314735	0.27880794	0.0	0.0	0.0	0.0	0.0	0.28970814
osCN2	0.0	0.0	0.009112755	0.056393445	0.0	0.0	0.035007305	0.04238	0.0	0.083896734
osCN3	0.0	0.0	0.0	0.0	0.0	1.2194935e-06	0.0019005203	0.007794668	0.0	0.0014145194
