	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.1328223	0.001109915	0.0	0.0019018889	0.0	0.0	0.0	0.007041475
segsize2	0.0	0.0	0.109827094	0.0032844914	0.0	0.0010485736	0.00025218804	0.0	0.0	0.0056821182
segsize3	0.0	0.0	0.12923281	0.012307683	0.0	0.0	0.0013968777	2.2585403e-10	0.0	0.017278371
segsize4	0.0	0.0	0.12602042	0.056494866	0.0026445375	0.0	0.0019131071	0.0	0.0	0.056549665
segsize5	0.0	0.0	0.022979585	0.08709176	0.0025312586	0.005170564	0.0	0.0	0.0	0.06372437
segsize6	0.0	0.0	0.0	0.08749058	0.0	0.017057376	0.0	0.0	0.0	0.056032103
segsize7	0.0	1.151077e-06	0.0	0.065389104	0.0	0.03952447	0.0022728755	0.0114425095	0.0	0.046633456
segsize8	0.0	0.00016990713	0.0	0.020614544	0.0	0.041930676	0.0062397434	5e-44	0.0	0.019701391
segsize9	0.0	0.00015466232	0.0	0.0024241325	0.0	0.033897933	0.0071107293	1.6508399e-06	0.0	0.0031762996
segsize10	0.0	0.00017557363	0.0	0.00013391367	4.3668823e-35	0.04997985	0.015945608	0.005202891	0.0	0.004092507
segsize11	0.0	0.0	0.0	5.7684227e-30	0.0	0.049285233	0.02198101	0.0015055398	0.0	4.5700027e-16
segsize12	0.0	0.00024857075	0.0	0.0	4.250511e-26	0.040058337	0.02688401	5.277352e-30	0.0	1.8152504e-32
segsize13	0.0	0.0	0.0	0.0	6.4196135e-12	0.019102247	0.023640623	1.1195595e-18	0.0	0.00047650936
segsize14	0.0	0.00020571511	0.0	0.0	4.208814e-11	0.0066763144	0.01622744	0.0	0.0	0.0028842606
segsize15	7e-45	0.0007497569	0.0	0.0	0.014452865	0.0008227806	0.024565998	0.010353482	0.0	0.0108518945
segsize16	0.054109283	0.0028568925	0.0	0.0	0.0025740613	0.0	0.01269392	0.0	0.0	0.0032370943
segsize17	0.057517577	0.0039350344	0.0	0.0	0.0015924573	0.0	0.01808707	0.0	0.0	0.0
segsize18	0.04248836	0.0035641144	0.0	0.0	0.0	0.0	0.008454075	0.0	0.0	0.0021641552
segsize19	0.07529711	0.0024170203	0.0	0.0	0.0	0.0	0.0066060117	0.0	0.0	0.0017582432
segsize20	0.13146533	0.0015117999	0.0	0.0	0.0	0.0	0.0021991604	0.0	0.0012000568	0.0007932491
segsize21	0.18554193	0.0035668232	0.0	0.0	0.0	0.0	0.0027541062	0.0	0.0	0.0018852131
segsize22	0.35750702	0.005607759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0	0.009371934	0.035633232	0.0077375444	0.27664542	3.0226725e-19	0.012537241	0.0	0.0	8.0876605e-17
changepoint2	0.0	0.000938165	0.0	0.0	0.6964624	0.054904677	0.00469923	0.0	0.0	0.0
changepoint3	0.0	0.0036352123	0.0	0.28894496	0.0	0.022211073	0.058984134	0.0	0.0	0.0
changepoint4	0.0	0.0032256604	0.0	0.1722445	0.0	0.010600966	0.03989434	0.17579685	0.0	0.04927167
changepoint5	0.0	1.3200397e-37	0.0	0.020911867	0.0	1.2346532e-21	0.00989542	0.7688469	0.0	0.14646715
changepoint6	0.025515765	1e-45	0.0	0.0	0.0	0.0	0.0019276418	0.024255328	0.0	0.08624488
changepoint7	0.044435047	0.0	0.0	0.0	0.0	0.0	2.1568983e-06	0.0	0.0	0.0647943
changepoint8	0.02001165	0.00015511927	0.0015120172	0.0	0.0	4.8705457e-05	9.389773e-11	0.0	0.0074703805	0.059212197
changepoint9	0.0053213774	0.000121264704	4.0831958e-22	3.7328e-41	0.0	6.178398e-05	0.0	0.0	0.106865205	0.038282167
changepoint10	0.00078950496	2.1759051e-05	0.0006488015	1.4120966e-22	0.0	3.5544897e-05	2.0877822e-28	0.0	0.8778221	0.008611709
bp10MB1	0.0	0.6040297	8.603e-42	1.4659184e-14	0.0	0.040232584	0.25419128	0.0	0.0	0.003917056
bp10MB2	0.0	0.23062779	0.0	0.00016414426	0.0	0.18362552	0.24885526	0.0	0.0	1.696099e-26
bp10MB3	0.0	0.0041220216	0.040928412	0.088217884	0.0	0.035980992	0.015316433	7.1806454e-07	0.0	0.05419561
bpchrarm1	0.0	0.0812991	0.0	1.25e-43	0.0	0.0030475496	6.462279e-06	0.0	0.0	0.0
bpchrarm2	0.0	0.03620179	0.0	3.884673e-25	0.0024261582	0.0010802265	0.049391817	0.0	0.0	0.0
bpchrarm3	0.0	0.0010855957	0.00449274	0.004269291	0.0	0.02513765	0.029468516	0.0	0.0	0.002954395
bpchrarm4	0.0	0.0	0.003318879	0.012989059	0.0	0.0067458428	0.0	0.0	1.2675433e-14	0.0045459843
bpchrarm5	0.0	0.0	0.0016366945	0.0012614334	0.0	0.0	0.0	0.0	0.006642249	0.000638206
osCN1	0.0	1.3845447e-07	0.32287073	3.861499e-16	6.901376e-37	0.26468173	0.061896954	0.0	0.0	0.12351068
osCN2	0.0	0.0	0.067551635	0.058828194	0.0	0.045148898	0.013708622	0.0	0.0	0.052423622
osCN3	0.0	0.0	0.00052463857	0.008090135	0.00067080656	0.0	0.0	0.0025940596	0.0	0.0009680023
