	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	3.189536e-05	0.0	0.0007948733	0.0	0.0001889925	2.4063014e-05	0.0	0.0011202806	0.005071781	0.0
segsize2	0.00088854553	9.1740213e-07	0.0053021517	0.0	0.011182741	0.0022019562	0.0	0.008220219	0.045055743	0.0
segsize3	0.0026448218	0.023904057	0.017731102	0.0	0.043846082	0.0034311444	0.0	0.040996768	0.13209869	1.9089714e-34
segsize4	1.02050075e-08	5.198443e-25	0.05429426	0.0	0.070608415	0.0021704782	0.0	0.1082971	0.13565388	0.0117936535
segsize5	0.0	0.0	0.06409985	0.0	0.038704988	0.0	0.0	0.086556375	0.0	0.008530278
segsize6	0.000805689	0.0	0.06570941	0.0048629106	0.026324488	0.00036782154	0.0	0.057779405	0.0	0.0
segsize7	0.0014922012	0.0	0.053323988	0.027356062	0.024806354	0.0034019118	0.0	0.035276204	0.0	0.0
segsize8	0.0006395732	0.0	0.031183565	0.033577602	0.010756733	0.0051844344	0.0	0.009415251	0.0	0.0
segsize9	6.943328e-05	3.3461572e-32	0.013885847	0.028403798	0.00853166	0.004616948	0.0	0.0021954044	0.0	0.0
segsize10	1.0606499e-25	0.0031208142	0.015119137	0.049679633	0.014057266	0.009290369	0.0	0.0	0.0	0.0
segsize11	1.52826e-40	0.0	0.011068242	0.049588345	0.018719666	0.014904019	0.0	0.0	0.0	6.36e-43
segsize12	0.0	0.0	0.008356684	0.041671515	0.01357109	0.021957455	0.0	0.0	0.0	0.006576497
segsize13	0.0	0.0	3.354086e-19	0.032189045	0.012227232	0.01728321	0.0	0.0	0.0	0.012056008
segsize14	0.00025454452	0.0	2.8115437e-18	0.015261755	0.0033486036	0.015672935	0.0	0.0	0.0015036605	0.013101383
segsize15	0.001775454	0.0	0.0	0.01082029	0.0071703703	0.025501652	2.9108403e-19	0.0	0.0	0.01627897
segsize16	0.0010122379	0.0	0.0	0.0008749328	0.0019474645	0.014246127	0.014725982	0.0	0.0	0.0072228564
segsize17	0.0023546293	0.0	0.0	0.0	0.0030504572	0.020153055	0.0	0.0	0.0	0.004810061
segsize18	0.002382945	0.0	0.0	0.0	0.0014301382	0.009718057	0.09859827	0.0	0.0	0.0041847173
segsize19	0.001805437	0.0	0.0	0.0	4.63591e-05	0.0076001096	0.09603503	0.0	0.0	0.008104137
segsize20	0.0010023589	0.0	0.0	0.0	0.0	0.0030679163	0.15991321	0.0	0.0016553084	2.610103e-32
segsize21	0.0029896644	0.0	0.0	0.0	0.0	0.00527415	0.21753877	0.0	0.0003661856	0.0044619627
segsize22	0.005456584	0.0	0.0	0.0	0.0	0.0	0.41318867	0.0	0.0	0.0
changepoint1	0.00066573324	0.28652728	0.0	0.0	0.0	0.003580765	0.0	0.003137689	0.0	0.0
changepoint2	0.0	0.6864469	0.013159654	0.11616937	9.759e-42	0.006192988	0.0	2.1943313e-12	0.0	0.0
changepoint3	0.006576085	0.0	1.729939e-32	0.20416938	0.0	0.037261587	0.0	0.2882869	0.0	0.0
changepoint4	0.003540352	0.0	1.523024e-14	0.10498864	0.15466212	0.017592335	0.0	0.15217546	0.0	0.0
changepoint5	0.0034301851	0.0	0.0	0.016697917	0.33074433	0.0006199659	0.0	0.005821259	0.0	0.0
changepoint6	0.0	0.0	2.0731844e-05	5.944831e-05	0.069957644	0.0	0.0	0.0	0.0	0.20316835
changepoint7	0.0	0.0	7.5379853e-07	0.0	0.020186773	0.0	0.0	0.0	0.0	0.27641618
changepoint8	3.0551e-06	0.0	0.00058142014	0.0	0.015306318	0.0	0.0	5.8018744e-05	0.016219085	0.22984633
changepoint9	0.0	0.0	0.00033086192	0.0	0.0045603015	3.2298806e-06	0.0	0.00036645585	0.07858317	0.16853492
changepoint10	0.0	0.0	0.00027369862	0.0	0.0016333049	3.4219622e-28	0.0	6.7006465e-07	0.57151264	0.02491367
bp10MB1	0.60036856	0.0	0.059754293	0.00016655793	2.0503518e-20	0.28726932	0.0	5.169626e-10	0.0	0.0
bp10MB2	0.23361512	0.0	0.07204872	0.1693858	3.2010358e-15	0.2585611	0.0	0.040428177	0.0	0.0
bp10MB3	0.004656955	0.0	0.06699373	0.030319992	0.039799146	0.016399901	0.0	0.074779466	0.0	0.0
bpchrarm1	0.07845048	0.0	4.7905615e-26	0.0	0.0028745488	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.040464357	0.0	0.0	0.0	0.0	0.04965735	0.0	0.001022023	0.0	0.0
bpchrarm3	0.0016720976	0.0	0.0064401226	0.03384372	0.0013860103	0.033996712	0.0	0.009744771	0.0	0.0
bpchrarm4	0.0	0.0	0.01681063	0.0	0.0007196701	0.0	0.0	0.007611079	0.0	0.0
bpchrarm5	0.0	0.0	9.826552e-05	0.0	0.0	0.0	0.0	0.0037197182	0.012279885	0.0
osCN1	0.0009510472	0.0	0.34651813	2.681814e-18	0.0	0.08891316	0.0	0.0	0.0	0.0
osCN2	0.0	0.0	0.075642444	0.027793	0.046237804	0.013883845	0.0	0.05177897	0.0	0.0
osCN3	0.0	0.0	0.00045744856	0.0021202394	0.0014129328	0.0	0.0	0.011212288	0.0	0.0
