	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.00074901845	0.0	0.00019104923	0.0	0.0014715402	7.558892e-19	0.10847351	0.001395092	0.0	0.0
segsize2	0.00068572885	0.0017015936	0.00019928598	0.0	0.0010973099	0.0	0.08537264	0.0012899905	0.0	0.0
segsize3	1.0423962e-13	0.017890707	0.0	0.0	0.0060211304	0.0	0.11558601	0.0027582757	0.0	0.0
segsize4	2.1746846e-05	0.06232041	0.0	0.0	0.058801655	0.0	0.12823951	0.0029967926	0.0	0.0
segsize5	0.008879812	0.061487246	0.0	0.0	0.08706649	0.00015504223	0.048602168	0.0	0.0	0.0
segsize6	0.02373514	0.05228646	0.0	0.0	0.08720304	5.7474667e-06	0.008273955	0.0	0.0	1.2490518e-34
segsize7	0.052913044	0.040120374	0.0010039905	9.1065295e-32	0.06235677	1.2594923e-26	3.4606717e-11	0.0	0.0	0.0
segsize8	0.04677784	0.009858858	0.00022590652	5.323741e-36	0.021646751	0.0	0.0	0.00704002	0.0	0.0
segsize9	0.033882923	1.9250579e-25	0.000144387	1.5096161e-37	0.0042263144	0.0	0.0	0.0076149576	0.0	0.0
segsize10	0.048242997	6.315621e-23	7.3154124e-25	0.00087184896	0.005465616	0.0	1.2241376e-38	0.016636508	0.0	0.0
segsize11	0.04728722	8.18574e-40	0.0	1.1357531e-20	0.00044024942	0.0	0.0	0.022378268	0.0	0.0
segsize12	0.03678914	0.0	0.00015793684	6.6768905e-07	0.0	0.0	0.0	0.028984202	0.0	0.0
segsize13	0.015628548	0.0052294782	6.1688855e-15	6.325936e-19	0.0	0.0	0.0	0.023564234	0.0	0.0
segsize14	0.0041542687	0.0072857337	0.0002434334	0.0	0.0	0.006391144	0.0	0.015643273	0.0	0.002479372
segsize15	0.0005096396	0.01552941	0.001318876	2.6228597e-38	0.0	0.013885745	0.0	0.022952415	0.0	0.0
segsize16	2.7923537e-05	0.0033778881	0.0044787857	0.0	0.0	0.010452006	0.0	0.011007768	0.0	0.0
segsize17	0.0	0.0028752356	0.0059581725	0.00013977654	0.0	0.013126901	2.5956392e-30	0.014270246	0.0	1e-45
segsize18	0.0	0.0008177639	0.005573366	0.0	0.0	0.009122764	0.0	0.006217682	0.0	0.0
segsize19	0.0	0.0028470678	0.0049780584	0.0	0.0	0.0012833185	0.0	0.004525272	0.0	9.459085e-09
segsize20	0.0	0.0022292463	0.0050321426	0.0	0.0	7.665459e-14	0.0	0.00088180706	0.0	0.0
segsize21	0.0	0.0017386543	0.008646798	0.0	0.0	2.4368499e-20	0.0	0.0013871677	0.0	0.0
segsize22	0.0	0.0	0.012405134	3.2675628e-06	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.006402569	0.0	0.008931086	0.11156069	0.0	0.0	0.0054910327	0.020442555	1.0	0.0
changepoint2	0.044626396	0.0	0.0014945368	0.8812259	2.610178e-30	0.0	0.0	0.015056944	0.0	0.0
changepoint3	2.4e-44	0.0	0.00409645	0.0	0.31554824	0.0	0.0	0.05390689	0.0	0.0
changepoint4	4.24623e-40	0.12642376	0.004346476	0.0	0.167621	0.0	1.7838154e-36	0.03359473	0.0	0.0
changepoint5	4.2426866e-09	0.36092332	0.0032080472	0.0	0.0101349475	0.0	4.9152718e-36	0.007946507	0.0	0.0
changepoint6	2.6547509e-08	0.06867953	0.0	0.0	3.0886654e-15	0.24647383	0.0	0.0005120407	0.0	0.0
changepoint7	3.8641724e-07	0.02301299	0.0	0.0	1.7268538e-07	0.29127598	1.868309e-11	0.0	0.0	2.0743637e-06
changepoint8	5.2894622e-05	0.022680061	6.3562775e-06	0.0	1.2945282e-08	0.23451716	0.0012711704	9.367185e-22	0.0	0.032890365
changepoint9	3.514189e-05	0.010331618	2.7083544e-12	0.0	0.0005018357	0.1564418	0.00026181914	1.037817e-39	0.0	0.13007496
changepoint10	3.717554e-05	0.0029187028	1.7518033e-06	0.0	1.0551011e-05	0.016868638	0.0010323632	2.559839e-08	0.0	0.8303052
bp10MB1	0.041133273	1.7233146e-08	0.58236426	0.0	0.00015917624	0.0	0.00599043	0.2462055	0.0	0.0
bp10MB2	0.17157578	0.0	0.22565623	0.0	0.0001313289	0.0	0.0	0.24255234	0.0	0.0
bp10MB3	0.04184786	0.049571496	0.0038836505	0.0	0.083435	0.0	0.05395314	0.016361222	0.0	0.0
bpchrarm1	0.0037665337	0.0	0.07288141	0.005160661	8.216729e-35	0.0	0.0	0.0048039528	0.0	0.0
bpchrarm2	0.0010728735	3.9407067e-36	0.0406034	0.0	0.0	0.0	0.0	0.039557833	0.0	0.0
bpchrarm3	0.020020302	0.003240436	0.0013081302	0.0	0.0042645424	0.0	0.004051245	0.031640094	0.0	0.0
bpchrarm4	0.009072278	0.0007433369	0.0	0.0	0.014437393	0.0	0.005814733	0.0	0.0	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.0009267185	0.0	0.004460836	0.0	0.0	0.0042479425
osCN1	0.29531732	3.531369e-18	0.00066079013	0.0	9.240998e-11	0.0	0.3399587	0.079290375	0.0	0.0
osCN2	0.0447541	0.041162252	0.0	0.0	0.059483837	0.0	0.08214225	0.016585104	0.0	0.0
osCN3	0.0	0.0027163217	0.0	0.001037193	0.0075483355	0.0	0.0010245389	0.0	0.0	0.0
