	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	3.4670006e-35	0.058193967	0.0	7e-45	0.0	0.2387565	0.28993547	0.0	0.16697133	1.0777672e-30
segsize2	0.0	0.016237283	0.0014595924	0.0	0.0	0.07448765	0.066494115	0.02832214	0.03730895	0.08416285
segsize3	0.0	0.014300452	0.0032004355	0.00017642374	0.0	0.023741622	0.016322156	0.06419014	0.01873447	0.12583098
segsize4	0.006408999	0.019497186	0.0014182936	4e-45	0.0	0.0006256748	0.006269456	0.09805951	0.030332461	0.11666065
segsize5	0.02867818	0.016430296	0.0010385795	0.0	0.0	0.0	0.0	0.059932675	0.012248895	0.037996043
segsize6	0.044563998	0.02255898	0.0007929662	5.816855e-25	1.71e-43	0.0	0.0	0.040578645	0.009357996	0.01764409
segsize7	0.06423339	0.027474517	0.0006353136	9.648328e-16	0.0	0.0	0.0	0.026842505	0.005598142	0.0050221006
segsize8	0.047230385	0.018297667	0.0007079099	0.004257866	0.0	0.0004972164	0.0	0.0115382895	0.0009987461	0.0
segsize9	0.029918449	0.012144649	0.0003153102	0.003401268	3.671883e-05	0.0005487901	0.0	0.0043124356	1.0628015e-24	0.0
segsize10	0.045117617	0.015892202	0.0	0.011238308	0.0	0.0	0.00035413762	0.0034836663	3.6296666e-15	0.0
segsize11	0.046565868	0.012917054	0.0	0.018926581	0.0	0.0	0.0	0.0029983306	0.0	0.0
segsize12	0.032234292	0.009689483	0.0	0.02894836	0.0	0.00032645545	0.00025215885	0.00085660815	0.0	9.844367e-31
segsize13	0.01108782	0.0039692963	1e-45	0.026144542	0.0048661996	0.0	0.0001054242	0.00051760365	0.0	0.002121119
segsize14	0.0038039687	0.0017358062	6.7280045e-05	0.018030245	0.021700002	0.0	0.0	0.0	5.5142707e-05	0.0011572242
segsize15	0.0009484287	0.0010062716	0.0003916458	0.024807658	0.07306558	0.0	0.0	0.0	0.0	0.0034829557
segsize16	0.0	0.0	0.00034020824	0.01051297	0.04814502	0.0	0.0	0.0	0.0	0.00088351953
segsize17	0.0	0.0	0.0012829518	0.01423175	0.08304013	0.00020402762	0.0	0.0	0.0	0.00036172566
segsize18	0.0	0.0	0.0005557429	0.005519006	0.086320356	0.00015473759	0.0	0.0	0.0	0.0
segsize19	0.0	0.0	3.989006e-05	0.0035581081	0.07785193	0.00034981957	0.0	0.0	0.0	0.0
segsize20	0.0	0.0	3.7535472e-05	0.0	0.073242664	0.00034118534	0.0	0.0	0.0	0.0
segsize21	0.0	0.0	0.0011327326	0.0	0.12689042	0.0	0.0	0.0	0.0	0.0
segsize22	0.0	0.0	1.273168e-05	0.0	0.131896	0.0	0.0	0.0	0.0	0.0
changepoint1	3.666383e-22	0.120874316	0.0029383497	1.778909e-14	0.025486927	1e-45	0.01223642	0.0	0.0	0.0
changepoint2	2.0974553e-22	0.18618682	0.004159472	1.680731e-39	6.617571e-27	0.0	0.037374895	0.016093086	0.007919567	1.0613524e-12
changepoint3	4.78726e-37	0.0	0.015704105	0.11639121	8.305147e-25	0.0	0.21151032	0.23058976	0.0	0.0
changepoint4	0.1040758	0.0038254051	0.006505758	0.048346687	0.06757747	4.230868e-12	0.08410128	0.08903196	0.0	0.13817856
changepoint5	0.18149428	0.0	0.0	1.171264e-39	0.14120007	2.4049718e-09	1.5415493e-34	0.0	0.031393763	0.2690448
changepoint6	0.03297159	0.0	0.0	0.0	0.0042697466	0.0	0.0	0.0	0.08033767	0.02446238
changepoint7	0.005489954	0.0	0.0	0.0	2.270836e-05	0.0044750036	0.0	3.3889006e-05	0.07667537	0.0
changepoint8	0.004167301	0.0	7.21516e-06	0.0	0.0021668477	0.022111142	0.00031090403	0.00017813595	0.06377663	0.00061357766
changepoint9	1.1930499e-14	0.0	1.6995473e-05	0.0	0.0009376502	0.05431492	0.00047671428	0.00031871672	0.040773276	8.689091e-34
changepoint10	0.00069502485	0.0	5.871104e-06	0.0	3.2580117e-06	0.2539735	0.0	9.348068e-05	0.00668209	0.0004893111
bp10MB1	4.465062e-06	2.6552055e-23	0.5917939	0.24932556	0.0	1.286e-42	0.010448487	0.019286586	0.01833002	0.009459797
bp10MB2	0.06038325	0.029483387	0.23833053	0.2609942	0.0	0.0	0.015186728	0.03354682	0.0	0.0
bp10MB3	0.091713	0.038723335	0.007813803	0.04732678	0.0	0.0033081542	0.036382735	0.071728475	8.0489566e-22	0.008040079
bpchrarm1	0.0024175367	0.0	0.06988872	0.0	0.0	0.0011383786	0.0011158113	0.0012568418	0.0	0.0
bpchrarm2	0.0	0.0	0.043439485	0.025166396	0.03127932	0.0	0.0	0.0	8.2856616e-08	0.0018794439
bpchrarm3	0.001896926	0.0014285963	0.005966713	0.051674638	0.0	0.0	0.0005324554	0.0025717597	0.00025554674	0.0
bpchrarm4	0.018218871	0.0035168196	0.0	0.007208806	0.0	0.0	0.0028771053	0.010390718	0.0	0.0
bpchrarm5	0.001715681	0.0007777215	0.0	0.0	0.0	0.002593751	0.0025447805	0.0053157094	0.0023844196	0.0010092973
osCN1	0.05241018	0.3184393	0.0	0.0071571656	0.0	0.28524736	0.11834438	0.10999121	0.33469275	0.09533372
osCN2	0.08155478	0.0463992	0.0	0.016533839	0.0	0.03280406	0.07322603	0.058894012	0.05517264	0.05616579
osCN3	0.0	0.0	0.0	0.0001215719	8.9909634e-07	0.0	0.013598036	0.009046283	0.0	6.040187e-16
