	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.02163086	3.7457643e-23	0.0	0.0	0.09834853	0.0032168312	0.019856954	0.0
segsize2	0.0	5.941015e-33	0.014364446	0.0	0.0	0.0	0.14117974	0.0014632381	0.018451946	0.0
segsize3	0.0	0.0	0.016139708	0.0013474633	0.0	0.00038286217	0.13838424	0.0017559847	0.028589526	0.032222398
segsize4	0.0	0.0	0.0073923534	0.0036848343	0.0	9.958498e-21	0.0656133	0.0046580816	0.051599175	0.14223883
segsize5	0.0	4.8e-44	0.0	3.6053232e-05	0.0	0.0	0.010651563	0.016739208	0.038405605	0.12028834
segsize6	0.0	0.014148353	0.0	4.71e-43	0.0	0.00014796636	5.7024687e-22	0.029367518	0.020453516	0.09240064
segsize7	0.0	0.02613458	0.0	1.5395163e-15	0.0	0.0016939243	0.0	0.048669104	9.320787e-19	0.061362587
segsize8	0.0	0.0147607215	0.005544234	0.003929481	0.0	4.964885e-05	0.0	0.03813904	0.0027783564	0.018528244
segsize9	0.0	0.006193922	0.008745646	0.0033798723	0.0	0.00028824396	0.0015072254	0.023779832	0.0029293925	0.004592243
segsize10	0.0	0.0073708836	0.014043489	0.010285296	0.0	0.00029188045	0.0050805267	0.036831055	2.890767e-14	0.0010002871
segsize11	0.0	0.0062075984	0.011260035	0.017894763	0.0	0.0	0.005132869	0.034777984	2.7353591e-31	0.0
segsize12	0.0	0.0	0.014613501	0.02591399	0.0	0.0	0.005144734	0.026220746	0.0	0.0
segsize13	0.0	0.0	0.013614226	0.021266466	0.0	0.0	0.0019257438	0.014105226	0.0	0.0
segsize14	0.0	0.0	0.011455751	0.017038504	0.0	0.0	1.3083185e-07	0.005736213	0.0	0.0
segsize15	0.0	0.00024726707	0.015214585	0.027987275	0.0	0.0007124991	6.036931e-32	0.0047682975	0.0	0.0
segsize16	0.0	0.0	0.0039355853	0.014904325	0.0035143772	0.0035555966	0.0	0.0007982617	0.0	0.0
segsize17	0.0	1e-45	0.0045372155	0.01934984	0.00943489	0.0039850404	5.7332367e-37	0.0	0.0	0.0
segsize18	0.0	0.0	0.0	0.010526554	0.0054044747	0.003495894	0.0	0.0	0.0	0.0
segsize19	8.113344e-05	0.0	0.0	0.008440477	0.0021701476	0.003732303	0.0	0.0	0.0	0.0
segsize20	0.0008665018	0.0	0.0	0.0016352976	0.0	0.0041398336	0.0	0.0	0.0	0.0
segsize21	0.0023036082	0.0	0.0	0.0041591316	8.066145e-12	0.0071679647	0.0	0.0	0.0	0.0
segsize22	0.0	5.196542e-08	0.0	0.0	1e-45	0.0123543	0.0	0.0	0.0	0.0
changepoint1	0.0	0.3316877	0.0030387084	0.019148026	0.0	0.0042769727	2.5273008e-05	6.750577e-38	0.0	0.016034761
changepoint2	0.0	0.49675104	0.0	0.0	0.0	2.283016e-08	2.6219942e-07	0.063735805	0.007033439	0.0
changepoint3	0.0	3.302276e-13	0.0	7.167867e-14	0.0	0.0034166335	0.02327891	0.08247195	0.471084	5.339348e-26
changepoint4	0.0	0.0	0.23517634	0.0014885963	0.0	0.001541137	0.01574266	0.042342	0.19849655	0.04398396
changepoint5	0.0	0.0	0.49537605	0.0033286659	0.0	0.0	2.0992758e-14	0.007870892	0.0	0.08522108
changepoint6	0.0	0.0	0.027348261	0.0	0.31360692	0.0	0.0017812591	0.0032721795	0.0	0.0024308602
changepoint7	0.0	0.0	0.009170348	0.0	0.288839	0.0	0.0	1.7471179e-05	0.0	0.00021420018
changepoint8	0.035864316	0.0	0.0067303316	0.0	0.21919505	0.0	1.5655639e-09	0.00025959223	0.0	0.003130181
changepoint9	0.13803877	0.0	0.0012171549	3.737708e-17	0.1377853	2.3485132e-05	8.329912e-12	0.0001308777	0.0	0.0020209006
changepoint10	0.8228457	0.0	0.0008853606	0.0	0.020049892	0.0	2.737728e-05	6.805125e-05	0.0	0.000744515
bp10MB1	0.0	0.0	0.0	0.3124449	0.0	0.59791374	0.008845428	0.06004601	8.3590644e-24	0.013382709
bp10MB2	0.0	0.0	0.0	0.28800926	0.0	0.22908574	0.0	0.13503297	0.015061576	0.019432226
bp10MB3	0.0	0.0	0.04394489	0.012240211	0.0	0.003442634	0.048554048	0.04831992	0.08272459	0.062231172
bpchrarm1	0.0	2.1857725e-17	0.0010227629	4.9713383e-27	0.0	0.07951988	0.0010563198	0.0043141097	0.0	0.0
bpchrarm2	0.0	6.438655e-05	0.0	0.054165415	0.0	0.036649916	0.0	0.002036137	0.0	0.0
bpchrarm3	0.0	0.0	0.0	0.04459653	0.0	0.0021318737	0.0	0.015416293	0.0	0.004466731
bpchrarm4	0.0	0.0	0.0	0.0	0.0	0.0	0.005639141	0.010600381	8.0999575e-11	0.012964191
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0058242646	0.0	0.0	0.0035119338
osCN1	0.0	0.09643353	0.0	0.059592303	0.0	0.0	0.33632603	0.18415353	0.0	0.1776375
osCN2	0.0	0.0	0.0128558865	0.013206572	0.0	0.0	0.079468705	0.04820211	0.035240132	0.07268024
osCN3	0.0	0.0	0.00074219616	0.0	0.0	0.0	0.0004618162	0.0006831115	0.0072952355	0.0072792363
