	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.025993101	0.048967656	0.0	0.0	0.0	0.0036507032	0.0
segsize2	0.0	0.0	0.0	0.025532015	0.09766612	0.0	0.0	0.0	0.0021927725	0.0
segsize3	5.3616525e-09	0.0	0.0	0.04329892	0.095600255	0.0	0.0	0.00040674335	0.005280403	0.0
segsize4	0.0	0.0	0.0	0.0977078	0.05039983	0.0	0.0	0.0003454921	0.009818398	0.0
segsize5	0.0	0.01261763	0.0	0.08524718	0.012908661	0.0	0.014029827	0.0	0.0044858176	0.0
segsize6	0.0	0.020176124	0.0	0.0650475	0.008159921	0.0	0.03227211	0.0	0.0013344733	0.0
segsize7	0.0	0.02567539	0.0	0.04260817	0.009208015	0.0	0.05543083	0.0006676402	1.6967157e-08	0.0
segsize8	0.0	0.017350988	0.0	0.012379714	0.006109738	0.0	0.044547483	0.0	0.0035470645	0.0
segsize9	0.0028441132	0.014428829	0.0	0.0032445146	0.0033011315	0.0	0.028157802	0.0	0.002249011	0.0
segsize10	1e-45	0.019796303	0.0	0.0010593418	0.006756144	0.0	0.043805435	0.0	0.007455674	0.0
segsize11	0.0	0.015956517	0.0	1.4577317e-35	0.006729255	0.0	0.041311897	0.0	0.013125405	0.0
segsize12	0.0	0.0040680254	0.0	0.0	0.006295937	0.0	0.033319123	0.0	0.021420512	0.0
segsize13	0.0	1.5350146e-32	0.0	0.0	0.0031977303	0.0	0.020958975	0.0	0.018100964	0.0
segsize14	0.0	0.0	0.0	0.0	0.0009393444	0.0	0.009640633	0.0	0.015715016	0.0
segsize15	0.007513019	0.0	0.0	0.0	0.0005924181	0.022285132	0.01090612	0.0	0.023422504	0.0
segsize16	0.0012162396	0.0	0.007253844	0.0	0.0	0.07977964	0.0022223624	0.0012908742	0.012308382	0.0
segsize17	0.002827135	0.0	0.012956913	0.0	3.5941117e-05	0.062885866	0.0	0.0016053218	0.018295452	0.0
segsize18	0.0	0.0	0.014113397	0.0	0.0	0.06877245	0.0	0.0010368082	0.009067802	0.0
segsize19	0.0	0.0	0.0067081223	0.0	0.0	0.08169999	0.0	0.0007080042	0.008223921	0.0
segsize20	0.0	0.0	0.0044238856	0.0	0.0	0.092990026	0.0	0.0008103404	0.0018607592	9.63e-42
segsize21	0.0	0.0	0.011281896	0.0	0.0	0.14312223	0.0	0.0020444063	0.0052712015	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.30018672	0.0	0.0042716423	0.0	0.0
changepoint1	0.0	0.023198487	0.0	0.006292159	0.090990655	0.07882965	1.2373296e-18	0.003959912	0.007875256	0.0
changepoint2	0.0	0.089762606	0.0	0.0	0.14557508	0.06944827	0.013907067	3.4525752e-34	0.0	0.0
changepoint3	0.0	0.46105278	0.0	0.053308114	0.016764082	0.0	0.0	0.00031541262	0.026137935	0.0
changepoint4	0.28402066	0.17209032	0.0	0.048379425	0.014328757	0.0	0.055881068	0.00046189432	0.02205042	0.0
changepoint5	0.6821315	0.0	0.0	0.03777896	1.5576645e-37	0.0	0.099803	0.0	0.008861398	0.0
changepoint6	0.011631858	0.0	0.27448553	0.0017448837	0.0013734581	0.0	0.031209422	0.0	0.0	0.0
changepoint7	0.003625965	0.0	0.28305623	0.00066305697	0.0	0.0	0.013846339	0.0	0.0	0.0
changepoint8	0.0027145583	0.0	0.21915026	0.0029675479	0.0	0.0	0.011100718	5.1159946e-06	4.966005e-19	0.019413656
changepoint9	2.1648712e-33	0.0	0.15053664	0.0018327057	0.0	3.363e-42	0.0053898995	1.3838147e-05	0.0	0.12145055
changepoint10	0.0	0.0	0.016033372	0.00073336414	2.8526732e-31	0.0	0.0014117493	2.0112334e-06	6.3100683e-06	0.8591358
bp10MB1	0.0	1.297209e-39	0.0	0.036516715	0.0070875324	0.0	1.4288106e-12	0.6252387	0.31231967	0.0
bp10MB2	0.0	0.0711371	0.0	0.03550665	6.7822296e-11	0.0	0.108968236	0.22968914	0.25958228	0.0
bp10MB3	1e-45	0.0384134	0.0	0.074399464	0.04201374	0.0	0.042187642	0.0037083821	0.022201648	0.0
bpchrarm1	0.0	0.0	0.0	0.0	0.00081934454	0.0	0.0	0.090539694	8.48e-43	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.000110023175	0.0	0.0	0.031093268	0.05692991	0.0
bpchrarm3	0.0	1.1543952e-36	0.0	0.010842552	0.0	0.0	0.014589252	0.0009556365	0.03642467	0.0
bpchrarm4	0.0	3.1313222e-19	0.0	0.010493912	0.0047516837	0.0	0.009946508	0.0	0.0	0.0
bpchrarm5	0.0	0.0	0.0	0.0015698444	0.004139233	0.0	0.0	0.0	0.0	0.0
osCN1	0.0	0.0	0.0	0.20186228	0.2567012	0.0	0.20409513	0.0008297519	0.047694612	0.0
osCN2	0.0	0.011705091	0.0	0.06864899	0.05727104	0.0	0.0510614	0.0	0.013089631	0.0
osCN3	0.00147487	0.002570494	0.0	0.004341169	0.0012060277	0.0	0.0	0.0	0.0	0.0
