	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0018482299	0.082674205	0.0	0.0	2.5283956e-07	0.0	0.0091836145	0.0	0.007726194	0.0020831984
segsize2	0.0012166061	0.13151835	0.0	0.0	0.0	0.0	0.0047749924	0.0	0.007767061	0.0
segsize3	0.0013490861	0.13062355	0.0	0.0048470194	0.0001347149	0.0	0.02458155	0.0	0.025628414	1e-45
segsize4	0.0	0.048656654	0.0	0.1563629	0.0	1.8603549e-07	0.07811965	0.0	0.088800564	0.0
segsize5	0.0	7.481008e-10	0.0	0.093325466	1.5832216e-08	0.0	0.05748721	0.0	0.07733232	0.025976934
segsize6	2.389976e-06	4.265651e-28	0.0	0.026687853	2.2819311e-05	0.0	0.03868092	0.0	0.053170525	0.057893258
segsize7	0.0053829667	0.0	0.0	0.0	0.00062154885	0.0	0.022274781	0.024083802	0.026394198	0.07912721
segsize8	0.009684157	0.0	0.0	0.0	0.0	0.0	0.0072850543	0.025504313	0.006964956	0.050526325
segsize9	0.0074438415	0.0	0.0	0.0	0.0	0.0	0.0044765966	0.01726763	0.0033597758	0.029063694
segsize10	0.015297973	0.0016146881	0.0	0.0	0.0	0.0	0.002593189	0.030704496	1.8167443e-37	0.044154245
segsize11	0.02168842	2.9578985e-34	0.0	0.0	0.0	0.0	0.0029012074	0.035211775	0.0	0.035489928
segsize12	0.026905537	0.0032082915	0.0	0.0	0.0	0.0	0.004839996	0.01640407	0.0	0.023504965
segsize13	0.019407723	0.0	0.0	0.0	0.0	0.0	0.008915314	0.012259493	0.0	0.011095113
segsize14	0.014936603	0.0	0.0	0.0024263114	0.00019639975	0.0	0.010289583	0.0035994481	0.0	0.0
segsize15	0.021738956	5.5003473e-27	0.014443824	0.0	0.0005985166	0.0	0.013434587	0.0022951313	0.0	0.0
segsize16	0.010412177	0.0	0.07387529	1.912154e-27	0.0016811175	0.010535179	0.0019636392	0.0	0.0	0.0
segsize17	0.013377572	0.0003200834	0.07512209	0.0007878607	0.0023089005	0.015423259	0.0	0.0	0.0	0.0
segsize18	0.006135916	0.0	0.07683511	0.0025970545	0.0014326002	0.009821924	0.0	0.0	0.0	0.0
segsize19	0.0053866394	0.0	0.083545685	0.001803872	0.0011240875	0.0059987735	0.0	0.0	0.0	0.0
segsize20	0.0010819457	0.0	0.08380773	0.0018639967	0.0010576823	0.0	0.0	0.0	0.0	0.0
segsize21	0.0021392375	0.0	0.14129357	0.0	0.0024097026	0.0033341795	0.0	0.0	0.0	0.0
segsize22	0.0	0.0	0.2361393	0.0	0.0037261453	0.0	0.0	0.0	0.0	0.0
changepoint1	0.009466747	0.050825853	0.03891403	0.0	0.004135357	0.0	0.0	0.24575464	0.0	0.0
changepoint2	0.01156852	0.030584678	0.0075722565	0.0	0.0	0.0	0.0	0.56457156	0.009229575	0.024823606
changepoint3	0.04889049	5.66039e-20	0.0	0.0	0.007034805	0.0	0.0	0.01812556	0.33735827	6.0032308e-36
changepoint4	0.031279337	0.012643448	0.054275043	0.0	0.0037487857	0.0	0.15198569	0.0	0.13346253	0.01565863
changepoint5	0.01381502	0.0025811668	0.10268017	0.0	0.0	0.0	0.3581496	0.0	7.4499274e-16	1.6597926e-27
changepoint6	0.0	0.0013598683	0.0	0.0	0.0	0.3150037	0.036468033	0.0	0.0	0.009352166
changepoint7	0.0	0.0	0.0	0.00022600191	0.0	0.29780984	0.025495265	0.0	0.0	0.00024327371
changepoint8	0.0	0.0	7e-45	0.04483231	3.4379104e-06	0.21642232	0.016239593	0.0	0.0	0.0033045523
changepoint9	0.0	0.0	0.0	0.12001072	6.552228e-06	0.12565066	0.006609665	0.0	0.0	0.0027470735
changepoint10	7.3283045e-05	5.0660143e-05	0.0001263831	0.54301924	0.0	1e-45	0.002167368	0.0	0.0	0.0003665682
bp10MB1	0.25927016	0.0070699416	0.0	0.0	0.6122644	0.0	9.2603386e-08	0.0	0.023049967	3.1948766e-36
bp10MB2	0.24914673	1.0389144e-28	0.0	0.0	0.23316915	0.0	5.9876426e-10	0.0	0.044880874	0.108379535
bp10MB3	0.019264525	0.039218932	0.0	0.0	0.00396645	0.0	0.0606236	0.0	0.08298999	0.048415475
bpchrarm1	0.005776796	0.0	0.0	0.0	0.08042557	0.0	0.0	0.00421806	0.0	3.812078e-25
bpchrarm2	0.039656498	0.00014481008	7.172387e-19	0.0	0.037598424	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.035159793	0.0	0.0	0.0	0.0023325724	0.0	0.0042145844	0.0	0.0038577707	0.0141405845
bpchrarm4	0.0	0.0035632905	0.0	0.0	0.0	0.0	0.0033236137	0.0	0.00772268	0.016851494
bpchrarm5	0.0	0.006135103	0.0	0.0011944809	0.0	0.0	0.0	0.0	0.00086090557	0.00085553643
osCN1	0.07419008	0.3768076	0.011369541	0.0	0.0	0.0	0.0	0.0	0.0	0.33100274
osCN2	0.017006079	0.07039894	0.0	0.0	0.0	0.0	0.03855228	0.0	0.051145352	0.06494389
osCN3	0.0	2.3351184e-27	0.0	1.4960651e-05	3.3080212e-09	0.0	0.0043687485	4.4451642e-33	0.0082981195	0.0
