	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0048874537	0.0	0.0	3.3148108e-38	0.0073029115	0.0004354624	0.0	0.0009287345	4.188056e-06	0.0
segsize2	0.03469162	0.0	9.172897e-29	0.0	0.0008471037	0.006196242	0.0	0.0072432267	0.0033183533	0.0015636656
segsize3	0.09802721	0.0	0.0	0.0	0.0	0.01793359	0.0	0.026693216	2.245102e-05	0.0052369395
segsize4	0.13360167	0.0	0.0	0.0	0.0	0.016848793	0.0	0.06362755	0.021316554	0.0020499818
segsize5	0.08010412	0.0	0.011377838	6.0336635e-29	0.0	0.004826497	0.0	0.05511511	0.023567637	0.00074718526
segsize6	0.057061028	0.0	0.028460123	2.55e-43	0.0	0.00062239455	0.0	0.043638397	0.02523492	0.00060889515
segsize7	0.030080637	0.0	0.044372626	0.010452716	0.0	0.0014236645	0.0	0.03590839	0.03553188	0.00022579952
segsize8	0.0092154415	0.0	0.03810567	0.017277105	0.0	0.0022810898	0.0	0.020725423	0.024278656	8.291852e-05
segsize9	0.0034345516	0.0	0.025420653	0.0	0.0	0.0028121443	0.0	0.009781818	0.017580325	2.8319258e-23
segsize10	0.00070541986	0.0	0.040798895	0.0057747923	0.0	0.0058542616	0.0	0.010729823	0.031832367	0.0
segsize11	0.0	0.0	0.039938163	0.0033362948	0.0	0.011161594	0.0	0.0095683	0.03238188	0.0
segsize12	0.0	0.0	0.03342781	4.5867763e-27	0.0	0.017836198	0.0	0.006019702	0.024639219	9.384843e-06
segsize13	0.0	0.0	0.019190874	0.0	0.0	0.01475628	0.0	0.0032203305	0.016307918	0.00024012054
segsize14	0.0	0.0	0.008704292	0.0034916692	0.0	0.01332084	7.9270315e-15	1.5102505e-32	0.0069724023	0.0
segsize15	0.0	0.0	0.006644114	0.0	0.0	0.021627959	0.06335149	0.0	0.005592116	0.0
segsize16	0.0	0.0	0.0014175619	0.0	0.0	0.010946153	0.038241923	0.0	0.001612796	0.0
segsize17	0.0	0.0	0.0012032093	0.0	0.0	0.014520917	0.035483528	0.0	0.0033522644	0.0014214976
segsize18	0.0	0.0070336475	0.0	0.0	0.0	0.006867369	0.14023784	0.0	0.00079096586	0.0
segsize19	0.0	0.0	0.00025118075	0.0	0.0	0.00550393	0.13106443	0.0	0.0	0.0
segsize20	0.0	0.00011094309	0.0	1e-45	0.0	0.0021310505	0.1329917	0.0	5.7711286e-08	0.0
segsize21	0.0	0.0	0.0	0.0	0.0	0.003814756	0.16596085	0.0	0.0	0.0017373587
segsize22	0.0	0.0	0.0	0.0	0.0	0.0	0.2926682	0.0	6.262187e-05	0.0036643392
changepoint1	0.0	0.42308745	0.0	0.0	0.0	0.0024579656	0.0	0.0057237726	0.0	0.0
changepoint2	0.0	0.56976795	0.16143838	0.0	0.0	0.0048415656	0.0	0.04695675	0.0	0.003240353
changepoint3	2.1337453e-30	0.0	0.021793403	0.0	0.0	0.039597034	0.0	0.2611993	0.0	0.008341426
changepoint4	6.4116e-41	0.0	6.090871e-17	0.0	0.0	0.019964883	0.0	0.14916453	0.17403544	0.0020911694
changepoint5	0.0	0.0	0.0	0.0	0.0	0.0023827595	0.0	0.026332034	0.35398602	0.0
changepoint6	0.0	0.0	2.1932996e-36	0.19025254	0.0	0.0	0.0	0.0005045211	0.08118122	0.0
changepoint7	0.0	0.0	2.7473463e-06	0.26656726	0.0	0.0	0.0	0.0	0.02439849	0.0
changepoint8	0.0010203237	0.0	0.0	0.2471156	0.0	3.0689166e-36	0.0	0.00012896927	0.01692235	0.0
changepoint9	0.0011078368	0.0	0.0	0.19900882	0.07148106	6.76472e-05	0.0	0.0	0.004556272	1.519759e-06
changepoint10	0.00062984414	0.0	0.0	0.056723192	0.9203689	0.0	0.0	0.0	0.0012163791	0.0
bp10MB1	0.00078747194	0.0	0.021315176	0.0	0.0	0.3101093	0.0	0.027343404	0.0	0.60228926
bp10MB2	0.019342123	0.0	0.12554742	0.0	0.0	0.24573173	0.0	0.052048903	2.9702298e-08	0.2379499
bp10MB3	0.06733922	0.0	0.04400696	0.0	0.0	0.020214302	0.0	0.061690938	0.025184935	0.005485215
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.011947043	0.0	0.00057055085	0.0037992955	0.07494326
bpchrarm2	0.0	3.5025965e-10	0.0	0.0	0.0	0.03690632	0.0	0.0	0.0	0.04478418
bpchrarm3	0.0	0.0	0.019775808	0.0	0.0	0.03476249	0.0	0.0056284657	0.0	0.0032856374
bpchrarm4	0.013562046	0.0	0.009800609	0.0	0.0	0.0	0.0	0.008885449	0.0	0.0
bpchrarm5	0.00628176	0.0	0.0	0.0	0.0	0.0	0.0	7.381981e-08	0.0	0.0
osCN1	0.35587856	0.0	0.2547744	0.0	0.0	0.07365567	0.0	9.690117e-25	0.0	0.0
osCN2	0.08137256	0.0	0.04223211	0.0	0.0	0.015640134	0.0	0.05296988	0.040186778	0.0
osCN3	0.00086913136	0.0	0.0	0.0	0.0	0.0	0.0	0.0076524853	0.00013320238	0.0
