	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.016094545	0.020337487	0.05297373	0.71204	0.0	0.0	0.0	0.0	0.0	2.76e-43
segsize2	0.0006273352	0.058810167	0.06437822	0.28185728	0.0	0.0	0.0	0.038090654	0.0	0.027825456
segsize3	0.0	0.10241089	0.08090199	0.0	0.0	0.007179914	0.0	0.07197998	0.0	0.059764445
segsize4	0.0055700373	0.08936371	0.05508124	0.0	0.0	0.10533978	0.0	0.045369674	0.0	0.061571896
segsize5	0.017002428	0.015036635	0.013761363	0.0	0.00022857898	0.112197205	0.0043785092	1.814697e-28	0.0	0.020193113
segsize6	0.02328155	7.329764e-34	0.007513597	0.0	0.00013516011	0.087508544	0.0034597765	0.0	0.0	0.0136750955
segsize7	0.031447835	0.0	0.003704842	0.0	0.0010448802	0.058385856	6.6176926e-09	0.0	0.0	0.018087707
segsize8	0.02777091	0.0	0.0007390438	0.0	0.0015187338	0.023200562	2.3108894e-28	5.0215183e-37	0.0	0.01246469
segsize9	0.019180557	4.3605576e-24	0.0	0.0	0.001157641	0.009074756	1.7699436e-16	0.0045806244	6.728e-41	0.008610637
segsize10	0.03315442	8.000121e-36	0.000671231	0.0	0.00048994215	0.008183695	0.0030505208	0.0	0.0	0.01038236
segsize11	0.036373373	0.0024530985	0.0	0.0	1e-45	0.0055122366	0.007266583	0.0	0.0	0.010381069
segsize12	0.03134967	0.004114518	0.0	0.0	0.0	1.8966583e-18	0.01476273	0.0	0.0	0.012649034
segsize13	0.01921546	0.0028748137	0.00031635404	0.0	0.0	0.0	0.0153889675	0.0	0.0	0.0077563263
segsize14	0.008710809	8.86766e-05	0.0	0.0	0.0	0.0	0.015384568	0.0	0.0	0.0049065347
segsize15	0.007960931	0.0	1.7601722e-37	0.0	0.00010501499	0.0	0.027968101	0.00050023815	0.0	0.005456623
segsize16	0.0020888662	0.0	0.0003814967	0.0	0.0	0.00033135348	0.016229756	0.0	0.04490613	0.0015837736
segsize17	0.0011875861	0.0	0.0006943077	0.0	0.0011771565	0.0	0.025551936	0.0009975752	0.0	0.0020120007
segsize18	0.0	0.0	7.229845e-05	0.0	0.0015849669	0.0	0.013942339	0.00033474996	0.031301565	0.00045321244
segsize19	0.0	0.0	0.0006285955	0.0	0.0	0.0	0.0119766155	0.0	0.07296356	4.7567977e-05
segsize20	0.0	0.0	0.0004438224	0.0	0.0	0.0	0.0048001055	0.0	0.1216012	0.0
segsize21	0.0	0.0	0.00040937093	0.0	0.0022790462	0.0	0.007512093	0.0	0.23350981	0.0
segsize22	0.0	0.0	0.0	0.0	0.0018993301	0.0	0.0	0.0	0.49571773	0.0
changepoint1	0.03183187	0.0	7e-45	0.0	0.0005348758	0.0	0.009365731	0.236969	0.0	0.0
changepoint2	0.04685798	0.0	0.0	0.0	0.0005827786	0.03314007	0.010631336	0.34758148	0.0	8.555429e-16
changepoint3	0.07099837	0.28093988	0.0	0.0	0.012231328	0.1497945	0.07183262	0.0	0.0	0.0
changepoint4	0.040823303	0.11293574	4.8e-44	0.0	0.005590647	0.07767057	0.034638803	0.0	0.0	0.12760186
changepoint5	0.008513536	0.021630494	8.1567205e-06	0.0	0.0022678557	2.015189e-10	0.002073705	0.0	0.0	0.2984138
changepoint6	2.2189433e-05	0.0	0.018213153	0.0	0.0	7.241038e-10	0.0	0.0	0.0	0.06668939
changepoint7	0.0	0.0	0.028274156	0.0	0.0	1.5541374e-07	2.1554775e-05	0.0	0.0	0.025842838
changepoint8	9.803831e-05	0.0	0.02804566	0.0	1.4803719e-06	0.00027832875	0.00037553735	0.0	0.0	0.01572744
changepoint9	0.00029911913	0.0	0.033224802	0.0	3.7503087e-06	0.00069239055	2.6415668e-05	0.0	0.0	0.0074012456
changepoint10	8.120036e-05	4.959732e-05	0.22479166	0.0	1.0125875e-05	0.00020865131	2.7507018e-05	0.0	9.364635e-19	0.00043193166
bp10MB1	0.054695547	0.031930022	0.00604029	0.0	0.6083664	1.2979977e-09	0.33402884	0.0	0.0	2.0394447e-10
bp10MB2	0.14054087	0.068667345	2.2231758e-28	0.0	0.23254997	0.008575747	0.2543593	0.0	0.0	1.3462139e-13
bp10MB3	0.05627625	0.07605811	0.0148843955	0.0	0.006961473	0.061887857	0.012600151	1.8846388e-22	0.0	0.040965114
bpchrarm1	0.00022499272	0.0	3.0093e-41	0.0	0.08271416	3.4602346e-07	0.0	0.0	0.0	2.3314482e-12
bpchrarm2	0.0022104706	0.0	0.0	0.0	0.03474988	0.0	0.058994293	0.0027743063	0.0	0.0
bpchrarm3	0.020639138	0.01728185	0.0	0.0	0.0018149464	0.0	0.034904215	0.0	0.0	0.0
bpchrarm4	0.01147131	0.009968311	0.0014839591	0.0	0.0	0.0076310514	0.0	0.0	0.0	0.0033404944
bpchrarm5	0.0	0.0	0.0034928522	0.0041377153	0.0	0.006816423	0.0	0.0	0.0	0.0
osCN1	0.17901583	0.0112677915	0.30619335	0.0	0.0	0.17646337	0.00382923	0.23430263	0.0	0.0700986
osCN2	0.054360263	0.057308346	0.052676015	0.0	0.0	0.055381514	0.0006180974	0.016519187	0.0	0.06297846
osCN3	2.337857e-05	0.016472517	0.0	0.001965062	0.0	0.0045450395	0.0	0.0	0.0	0.002687308
