	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.072268575	0.0067154123	0.0	0.0	0.0	0.0	0.00023857896	0.0
segsize2	0.0	0.0005770155	0.08692912	0.0035122596	0.0	0.0002554273	0.0012585372	7.665181e-05	0.0001402665	0.0
segsize3	0.0	0.0009865436	0.11767318	0.0	0.0	0.0015368259	0.0038804265	0.005847582	0.0	0.0
segsize4	0.0	0.002667497	0.12864557	0.0	0.0	0.0008807275	0.025794417	0.035615735	0.0	0.0
segsize5	0.0	0.0027859912	0.05438807	0.0029713775	0.0	0.0	0.06300796	0.053736314	0.0	0.0
segsize6	0.0	0.0014774924	0.012285489	0.01790955	1.9385252e-36	0.0	0.086521596	0.057331406	0.0	1e-45
segsize7	0.0	0.0028929664	0.0024873654	0.041879278	0.0003263419	1.2279888e-20	0.08585527	0.060397085	0.0	0.0
segsize8	0.0	0.0018425705	0.0	0.052294552	0.0	0.0044967695	0.027625479	0.021164449	5.806024e-37	0.0
segsize9	0.0	0.00079101336	0.0	0.041333366	0.0	0.005942059	0.0045982064	0.0	0.00036405798	0.0
segsize10	1e-45	0.0009454161	0.0	0.0604219	0.0	0.013828966	0.0038279344	8.51634e-40	0.00035722484	0.0
segsize11	0.0	0.0	0.0	0.050705202	0.0	0.02001058	0.004031177	2.3205427e-15	7.916e-42	0.0
segsize12	1e-45	0.0016120478	0.0	0.04142492	0.0	0.02322369	0.0	0.0044048163	0.00018543634	0.0
segsize13	0.002550849	0.0	0.0	0.019836165	0.0	0.02105491	0.0	0.0042071906	0.0	0.0
segsize14	0.0	0.00043768826	8.709963e-05	0.005635152	0.0012789313	0.014599371	5.6614745e-21	0.0078572575	0.0	1e-45
segsize15	0.0	0.0	0.0	0.0	0.0015694858	0.02208314	0.0	0.016170414	0.0024987066	0.0
segsize16	0.0	0.0	0.00043919397	1.26860095e-05	1e-45	0.010900196	0.0	0.0024046265	0.006802197	0.0
segsize17	0.0	0.00060486933	0.0	0.0004904313	0.0	0.016152345	0.0	8.023884e-26	0.0076916306	0.0
segsize18	0.0	0.00093143753	0.0	0.0	0.017547674	0.0076485416	0.0	0.0	0.00581198	0.0
segsize19	0.0	0.0	0.0	0.0	0.0013947557	0.005903849	0.0	2.0256884e-06	0.006506092	0.0
segsize20	0.0	0.0	0.0	0.0	0.0	0.0011523918	0.0	0.0	0.00729165	0.0
segsize21	0.0	0.0	0.0	0.0	0.0	0.0030113708	2.564053e-07	2.5844413e-11	0.012227847	0.0
segsize22	0.0	2.6286846e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.020601958	0.0
changepoint1	0.23906055	0.0065536103	0.03746165	0.0	0.0	0.0058347997	0.0120567465	0.0	0.009066144	0.0
changepoint2	0.7576337	0.0	0.011779349	0.033963542	0.0	0.007958758	0.0	0.0	0.0013770662	0.0
changepoint3	0.0	0.01736432	0.0	0.0	0.0	0.06342986	0.31405514	0.0	0.003802475	0.0
changepoint4	0.0	0.0060868426	7.268762e-28	0.008761661	0.0	0.039180245	0.17120938	0.096114494	0.009550039	0.0
changepoint5	0.0	0.0	0.0	0.0	0.0	0.00551813	1.2570979e-09	0.3332324	0.012990673	0.0
changepoint6	0.0	0.0	0.0	0.0	0.19744568	2.1315664e-17	0.0	0.09207386	0.00063308945	0.0
changepoint7	0.0	0.0	0.0	5.782063e-07	0.31009483	0.0	0.0	0.041914355	1.255344e-07	0.0
changepoint8	0.0	0.0	0.0008517835	0.00027042217	0.2610745	0.0	0.0	0.037035733	0.00010840327	0.018787617
changepoint9	0.0	0.0	0.0012312518	0.0012955145	0.19656114	0.0	7.376693e-05	0.016922735	2.52458e-05	0.1065791
changepoint10	0.0	0.0	0.00094062363	0.00020790988	0.012706668	0.0	0.0	0.004460174	1.4745872e-05	0.8746333
bp10MB1	0.0	0.59656113	2.2e-44	2.766539e-10	0.0	0.28853765	1.9110032e-33	4.1418225e-27	0.5655754	0.0
bp10MB2	0.0	0.22835693	0.0	0.16825248	0.0	0.25302783	0.03582156	2.0188625e-16	0.21233705	0.0
bp10MB3	0.0	0.008688929	0.052255604	0.035431918	0.0	0.012929358	0.08157202	0.058006644	0.0031093983	0.0
bpchrarm1	0.0	0.08542079	0.0	0.0	0.0	0.0069020307	0.0	0.0	0.0769676	0.0
bpchrarm2	0.0	0.029101059	0.0	0.0	0.0	0.05269649	0.0	0.0	0.032926176	0.0
bpchrarm3	0.0	0.0026444313	0.0061349627	0.020658216	0.0	0.02258474	0.015219042	0.015652804	6.6983026e-05	0.0
bpchrarm4	0.0	0.0	0.007945911	0.008831683	0.0	0.0	0.0118017495	1.6740562e-06	0.0	2.6109e-40
bpchrarm5	0.0	0.0	0.003111805	0.0	0.0	0.0	0.0008112725	0.0	0.0	0.0
osCN1	0.0	0.0	0.33045155	0.3144907	0.0	0.056527782	0.0	0.0	0.000731773	0.0
osCN2	0.0	0.0006667895	0.072140194	0.062693045	0.0	0.0121910935	0.04387775	0.033463806	0.0	0.0
osCN3	0.00075493235	0.0	0.00049167156	0.0	0.0	0.0	0.0071003595	0.001905797	0.0	0.0
