	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.014730825	0.007856713	0.0	0.00063645345	0.0	0.022539372	0.27414677	0.0	0.0	1.64023e-40
segsize2	0.039874494	0.0030476777	0.042533122	0.017446883	0.0	1e-45	0.15132512	0.0	0.00029815544	0.043892454
segsize3	0.07435472	0.0	0.06564682	0.03736847	0.0	0.0	0.059502617	0.0	0.00066230766	0.099346176
segsize4	0.09032569	0.0	0.06783395	0.04491772	0.0	0.022683155	0.0	0.0	2.9196987e-26	0.13106762
segsize5	0.034549035	1.391801e-07	0.00845823	0.024075136	0.0	0.05581732	0.0	0.0	0.002423679	0.04882414
segsize6	0.019904984	0.002541308	0.0014564918	0.022925843	0.0	0.060597546	0.0	0.0	0.0026481892	0.018416977
segsize7	0.010252575	0.0070217103	2.4694682e-16	0.021217952	0.0	0.062238198	0.0	0.0	0.0028449637	0.0
segsize8	0.0024754389	0.008867076	3.3699453e-29	0.017413793	0.0	0.035231516	0.0	0.0	0.00216199	0.0
segsize9	0.0	0.0069123805	0.0011801893	0.011326576	0.0	0.01938803	0.00051000714	0.0	0.001921719	0.0
segsize10	1.1777731e-23	0.014447027	0.0013864955	0.01048644	0.0	0.025905073	0.001016435	0.0	0.00034673713	0.0
segsize11	2.4272687e-32	0.019624474	0.0029426368	0.006085617	0.0	0.025308823	0.0	0.0	0.0	0.0
segsize12	0.0010594132	0.025794579	0.0153100295	0.0024975215	0.0	0.016450519	0.0	0.0	0.0	0.0
segsize13	0.0001925184	0.021790108	0.015383173	0.0018850655	0.0	0.007413264	0.0	0.0	0.0	0.0
segsize14	0.0011906399	0.015478222	0.008253791	0.001066904	0.0	0.0016882559	0.0	0.012212117	0.0	0.0
segsize15	0.0010994481	0.022024903	0.012837639	0.0036603194	0.0	0.0	0.0	0.051625203	0.0	0.0
segsize16	0.0006720587	0.00967986	0.0013626005	0.00069703755	0.0	0.0	0.0	0.06421874	0.0	0.0
segsize17	0.0011542543	0.013768978	0.0	0.0	0.0	0.0	0.0	0.06393385	0.0016387594	0.0
segsize18	0.00018085598	0.0049875574	0.0	0.0	0.0	0.0	0.0	0.11823255	0.00062278716	0.0
segsize19	5.6314373e-05	0.004080534	0.0	0.0	4.517041e-33	0.0	2.5805464e-05	0.11636039	0.0	0.0
segsize20	0.0	0.0	0.0	0.0	0.0016967738	0.0	0.0	0.11812306	0.00016481733	0.0
segsize21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20422709	0.0012481171	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24898541	6.3280568e-06	0.0
changepoint1	5.0877955e-16	0.0	0.0	0.17536671	0.0	0.0012341299	0.0	0.0	0.0	0.0
changepoint2	0.0	0.003390283	0.0	0.18373792	0.0	0.0051391087	0.006274526	0.0	0.0060066646	0.016555166
changepoint3	0.0	0.10328362	0.0	0.0	0.0	0.10959151	0.08687386	0.0	0.01863576	0.274396
changepoint4	0.028569913	0.048777785	0.17412859	0.006740195	0.0	0.08242454	0.04488372	0.0	0.0077580693	0.101532675
changepoint5	0.08490966	0.01072812	0.5390656	0.0	0.0	0.054145098	0.0	0.0	0.0	0.011464861
changepoint6	0.0662373	0.0	0.02936053	0.0	0.0	0.008840742	0.0	0.0	0.0	0.0
changepoint7	0.056929298	2.2356983e-06	0.0	0.0	0.0	0.00070598425	0.0	0.0	0.0	0.0
changepoint8	0.052968267	3.2792536e-19	0.0	0.0	0.0	1.7980756e-12	0.0025798948	0.0020816007	3.5923775e-05	0.0
changepoint9	0.03612141	0.0	0.0	0.0	0.102382556	0.0	0.0016411629	7.96996e-40	3.1771302e-05	0.0
changepoint10	0.01166984	0.0	0.0	0.0	0.8959207	0.0	0.0002826166	0.0	9.860383e-07	0.0
bp10MB1	0.025301881	0.23380509	0.0	1.9958681e-09	0.0	0.00984404	0.0	0.0	0.58785915	0.017819375
bp10MB2	0.0	0.25134984	0.0	0.043019846	0.0	0.056570034	0.0	0.0	0.23579471	0.033854235
bp10MB3	0.01060013	0.039798953	2.6228036e-10	0.03919954	0.0	0.0718831	0.027694814	0.0	0.007277552	0.074094
bpchrarm1	0.00014199328	0.0	0.00028828092	0.0	0.0	0.0029818737	0.0	0.0	0.07096154	0.0
bpchrarm2	0.0	0.029897263	0.0	0.0	0.0	0.0	0.0	0.0	0.044422124	0.0
bpchrarm3	0.0	0.045438234	0.0	0.0079186475	0.0	0.0	0.0	0.0	0.004227166	0.009661406
bpchrarm4	4.2276535e-27	0.0020249907	0.0	0.004202861	0.0	0.017264202	0.0025105772	0.0	0.0	0.00938427
bpchrarm5	0.002753435	0.0	0.0	0.0	0.0	0.0018704629	0.0050403145	0.0	0.0	0.0033091363
osCN1	0.2901866	0.01949316	0.0	0.2835302	0.0	0.14370368	0.25184828	0.0	0.0	0.042136256
osCN2	0.04153705	0.023682818	0.005772826	0.03257634	0.0	0.076521724	0.0828802	0.0	0.0	0.04670165
osCN3	0.0	0.0004043602	0.006799013	0.0	0.0	0.002018575	0.0009631803	0.0	0.0	0.01754359
