	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0023472256	0.0	0.022719262	0.0025745982	0.002755198	0.07639433	1.561e-42	0.0	0.0	0.009253008
segsize2	0.008681847	0.0	0.0	0.0039895778	0.0	0.06035296	0.0010641455	0.0	0.006688302	8.509014e-19
segsize3	0.015952835	0.0	0.0	0.0053455024	0.0	0.07949364	0.0033287473	0.0	0.0	0.0
segsize4	0.06030358	0.0	0.0	0.006217472	0.0	0.07834492	0.0058652707	0.0	0.0	0.0
segsize5	0.0890173	0.0	0.0	0.0050114407	0.0032048163	0.023697047	0.0037176525	0.0	0.0	0.0
segsize6	0.09493652	6.3822564e-28	1.47e-42	0.0027823835	0.0140629355	0.0	0.0036833708	0.0	0.0	0.0
segsize7	0.07963456	0.000638856	0.0	0.00231572	0.03806315	0.0	0.0057368944	0.0	0.0	0.0
segsize8	0.031542618	0.000278535	0.0	0.00063846086	0.043590825	0.0	0.006671286	0.0	0.0	0.0
segsize9	0.0058155004	0.0004082115	6.6879073e-28	0.0	0.037022263	0.0015859575	0.006164504	0.0	0.0	0.0
segsize10	0.008321307	0.00037099118	0.0	3e-45	0.054238588	3.2232723e-08	0.01337945	0.0	0.0	0.0
segsize11	0.0028970249	1.2317366e-20	0.00057486776	9.586189e-09	0.053791307	0.0	0.018209744	0.0	0.0	0.0009883161
segsize12	0.0	9.850677e-05	0.0	0.00091758947	0.046992842	0.0	0.021770103	0.0	7.497763e-32	0.0043859486
segsize13	0.0	1.9044953e-17	0.0	0.0	0.023005495	0.0	0.01989591	0.0	1.3373352e-07	8.385071e-27
segsize14	0.0	0.0002870175	0.0	0.00013088016	0.009315436	0.0	0.013939536	1e-45	0.0	2.9041853e-21
segsize15	0.0	0.00221744	0.0	0.0	0.0044409637	0.0	0.021791523	7e-45	0.0	0.022695065
segsize16	0.0	0.006504738	0.0	0.0	0.00083526334	0.00065393315	0.011377786	0.0	0.0	0.0
segsize17	0.0	0.00757606	0.0	9.4646806e-05	0.0	0.0	0.0155573245	0.0	0.0	0.0
segsize18	0.0	0.006099457	0.0	0.00040581275	0.0	0.00024686428	0.007919926	0.0012871923	0.0	0.0
segsize19	0.0	0.0064405864	0.0	0.0	0.0	0.0	0.0060807653	0.0	0.0	0.0
segsize20	0.0	0.0073856628	0.0	0.0	0.0	0.0	0.0017365466	0.0	0.0	0.0
segsize21	0.00013585655	0.0123404	0.0	0.0	0.0	0.0	0.0030603549	9.713135e-25	0.0	0.0
segsize22	0.0	0.02137804	0.0	2.5685229e-06	2.5640834e-06	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0084777195	0.009312923	0.0	0.007204063	0.0	0.00768457	0.008719898	0.0	0.2557397	0.0
changepoint2	0.0	0.0013927303	0.0	0.0	0.046307504	0.0	0.0057637105	0.0	0.73743194	0.0
changepoint3	0.060817566	1.4157304e-34	0.75244725	0.02166682	0.041870475	0.0	0.03511918	0.0	0.0	0.0
changepoint4	0.106405266	0.0076757623	0.21965083	0.0078046382	0.025870383	0.0	0.0318966	0.0	0.0	0.08041958
changepoint5	0.11309389	0.005684824	0.0	0.0	0.0	0.0	0.0047379425	0.0	0.0	0.7659664
changepoint6	0.019012744	0.0	0.0	0.0	0.0	0.0	0.00022191317	0.28466567	0.0	0.09003622
changepoint7	0.00472247	1.2187671e-08	0.0	0.0	6.228021e-17	0.0065583196	1.397388e-08	0.31044537	0.0	0.012295444
changepoint8	0.0058039147	8.881999e-05	0.0	0.0	1.7620352e-05	0.020065315	2.3436527e-05	0.23978211	0.0	0.013959938
changepoint9	0.0036775477	0.00015375289	0.0	0.0	5.3885997e-05	0.045679823	2.6193135e-05	0.15016921	0.0	0.0
changepoint10	0.00072637905	5.5862205e-05	0.0	0.0	8.8338646e-05	0.24758954	2.1557509e-29	0.013650471	0.0	1.7237877e-25
bp10MB1	3.8818435e-10	0.57100785	0.0	0.5800645	0.005223964	0.0	0.29701337	0.0	0.0	0.0
bp10MB2	1.7328193e-05	0.21564661	0.0	0.22474623	0.19202325	0.0	0.24354643	0.0	0.0	0.0
bp10MB3	0.08864054	0.003722943	0.0	0.010756907	0.035485134	0.01891943	0.01787886	0.0	0.0	0.0
bpchrarm1	0.0	0.080038816	0.0	0.0818324	6.888398e-39	0.0	0.007565906	0.0	0.0	0.0
bpchrarm2	0.0	0.032961678	0.0	0.029305438	0.0	0.0	0.049996857	0.0	0.0	0.0
bpchrarm3	0.008460705	0.00023293674	0.0	0.0036229873	0.028142903	1.3771966e-26	0.023454929	0.0	0.0	2.4238659e-15
bpchrarm4	0.013284295	0.0	0.0	9.05503e-06	0.0054925885	0.002859683	0.0	0.0	0.0	0.0
bpchrarm5	0.0011574468	0.0	0.0	0.0	0.0	0.0026439787	0.0	0.0	0.0	0.0
osCN1	0.09286825	2.3732524e-13	0.0	0.0	0.23976944	0.28216693	0.06709709	0.0	0.0	0.0
osCN2	0.06816709	0.0	0.0	0.0023224	0.048210394	0.04506272	0.015986742	0.0	0.0	0.0
osCN3	0.005080567	0.0	0.004607847	0.00023797735	0.00012249094	0.0	0.0	0.0	0.00013990053	0.0
