	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0057117166	0.017189031	0.0	0.026749577	0.0	5.6367714e-21	0.0	0.008363688	0.44086075	3.073514e-22
segsize2	2.09819e-27	0.06657591	0.0	0.0	0.0	0.06827595	0.043747567	0.0	0.10041573	0.054838583
segsize3	0.0	0.102382086	0.0	0.0	0.0	0.09202602	0.067605786	0.024943251	0.0	0.0855683
segsize4	0.0	0.081258774	0.0	0.011554412	0.0	0.04877035	0.036057346	0.11825081	0.0	0.058117606
segsize5	0.002658464	0.015601091	0.0	0.024917679	0.0012117036	0.005269108	0.0	0.10430836	0.0	2.1209662e-06
segsize6	0.0031919468	0.0012411939	0.0	0.03018473	0.0014156566	0.0013233421	0.0	0.07544909	0.0	6.276588e-20
segsize7	1e-45	0.0	0.0	0.039243087	0.0020001635	0.00070706574	0.0	0.04704374	0.0	2.790262e-25
segsize8	0.00065734994	1.5578488e-09	6.57e-43	0.030891523	0.002412655	0.0	0.0025914917	0.017077995	0.0	0.0011903744
segsize9	0.0014362268	2.4824677e-36	0.014001716	0.020329835	0.0015029195	0.0	0.0038690453	0.0052307677	0.0	0.002584646
segsize10	0.0025746848	0.0	0.0	0.032422133	0.00097473105	1.3244919e-33	0.0029522767	0.00421501	0.0	0.00061051385
segsize11	0.006259436	0.0033255443	0.0	0.035298064	0.00015109633	0.0	6.414917e-09	0.0016216162	0.0	4.3672732e-11
segsize12	0.016820984	0.0031530715	0.0	0.026086079	0.0	0.00031481966	0.0	0.0	0.0	0.0039668814
segsize13	0.01620528	0.0017811657	0.0	0.01589773	0.0	0.0006753003	0.00016391925	0.0	0.0	0.001338603
segsize14	0.015837053	0.0	0.0	0.006200884	0.0	1e-45	4.2980646e-05	0.0	0.0	0.002954756
segsize15	0.02578218	0.0	2.2726856e-06	0.005592622	0.00037298322	0.0	0.0007649814	0.0	0.0	0.003913958
segsize16	0.014185272	0.0	0.040984556	0.0013342177	0.0	0.00021599712	0.0	0.0	0.0	0.0001381047
segsize17	0.021480102	0.0	0.021100523	0.0010491303	0.0010126597	0.0010670428	2.1068145e-17	0.0	0.0	3.9688166e-05
segsize18	0.011369289	0.0	0.055895966	0.0	0.0009355679	0.00026953625	0.0003925569	1.9507945e-05	0.0	0.0002634222
segsize19	0.008743802	0.0	0.070901275	0.0	0.0	0.0003998392	2.7894474e-05	0.0	0.0	7.201279e-05
segsize20	0.0030331516	0.0	0.10552802	0.0	0.0	4.906053e-05	0.0	0.0	0.0	0.0
segsize21	0.0062047048	0.0	0.27087027	0.0	0.0	1.3259542e-07	0.0	0.0	0.0	0.0
segsize22	0.0	0.0	0.33805442	0.0	0.0011129571	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0051806294	0.0020302352	0.0	0.013657629	0.0012045718	0.0	0.21492843	0.0	0.0	0.0
changepoint2	2.8489902e-09	0.0	0.0	0.044799186	0.0024972064	0.0	0.33651972	0.023953248	0.002588646	5.3872167e-34
changepoint3	0.06587332	0.3125703	0.0	0.09521851	0.0125928	0.0	0.0	0.13377479	0.032821596	0.0
changepoint4	0.030578539	0.11185564	0.0	0.057261046	0.0067592417	0.0	0.0	0.07073089	0.016840715	0.14199051
changepoint5	0.0072762086	0.019856418	0.080858484	0.015746068	0.0	2.8879543e-09	0.0	1.4005683e-20	2.3467452e-15	0.40452763
changepoint6	0.0	0.0	0.0018024935	0.0011582868	0.0	0.02283533	0.0	1.2839138e-24	1.9162544e-06	0.105917335
changepoint7	0.0	0.0	0.0	4.1536154e-05	0.0	0.035478115	0.0	0.0	0.0	0.048271235
changepoint8	8.6290514e-05	0.0	0.0	0.00041229694	5.200577e-06	0.039316878	5.9515713e-08	9.058666e-34	0.00010351744	0.031315304
changepoint9	1.9995536e-05	0.0	0.0	0.00032618066	4.501302e-06	0.052022226	0.0	0.00062093604	0.0	0.015050069
changepoint10	1.2368194e-05	0.00015051219	0.0	9.341621e-05	9.475465e-06	0.30991796	0.0	0.00020389522	2.5138013e-06	0.0005709742
bp10MB1	0.3289504	0.02667169	0.0	0.03572302	0.6024221	0.002887875	1.8880209e-36	5.388534e-09	0.014035257	3.892945e-08
bp10MB2	0.2574894	0.069413856	0.0	0.10548913	0.23442739	0.0	4.7359356e-33	6.3077506e-37	0.0	0.0
bp10MB3	0.019400094	0.080234714	0.0	0.075706005	0.0076436657	0.00995399	3.4092822e-11	0.057432853	0.008836791	0.0032000241
bpchrarm1	0.0	0.0	0.0	3.6438374e-12	0.078769244	9.1842005e-33	0.0	8.289101e-28	0.0	0.0011924517
bpchrarm2	0.050063647	1.49582e-40	0.0	0.00049343525	0.037997056	0.0	0.001962194	2.2889957e-11	4e-45	3.5976774e-16
bpchrarm3	0.043315742	0.013527618	0.0	0.012913896	0.002564363	1.6245415e-10	0.0	0.0	0.0	0.0
bpchrarm4	0.0	0.012878099	0.0	0.015165661	0.0	0.0011684919	0.0	0.0036997846	0.0	7.475604e-08
bpchrarm5	0.0	2.9683639e-15	0.0	0.0	0.0	0.0	0.0	0.008567364	0.0068383077	0.0
osCN1	0.021245457	0.0	0.0	0.1526186	0.0	0.29343253	0.28820062	0.21545781	0.2668207	1.3648797e-05
osCN2	0.008356171	0.037210193	0.0	0.06431354	0.0	0.013623008	4.8653527e-18	0.07654744	0.1083093	0.028921546
osCN3	0.0	0.021092873	7.624109e-08	0.0011108454	0.0	0.0	0.00017319713	0.002487101	0.0015243039	0.0034295563
