	W1	W2	W3	W4	W5
segsize1	0.005935542	0.0010396163	1.491954e-10	0.08343497	0.0015294512
segsize2	0.0034427955	0.00048090893	0.00097408873	0.051864292	0.0003689787
segsize3	0.0073474995	0.00050539826	0.002315171	0.06532272	9.0060374e-17
segsize4	0.032733582	0.00037867448	0.0060507115	0.08212835	0.003117983
segsize5	0.046512812	0.00027209928	0.007328596	0.043414973	0.0026300193
segsize6	0.045145895	0.00068612833	0.00966075	0.028775191	0.0033016494
segsize7	0.048950415	0.00050871953	0.014064637	0.018052194	0.0056539923
segsize8	0.028469123	5.953816e-05	0.012342775	0.0032221144	0.004566249
segsize9	0.020963218	1.1508994e-33	0.008168397	0.0	0.003798059
segsize10	0.023163917	0.0	0.016042622	4.7206683e-23	0.006304112
segsize11	0.021389356	0.00013712453	0.020246854	0.0031296832	0.0073060817
segsize12	0.011598265	0.0	0.022236547	0.0	0.011045784
segsize13	0.0013560893	0.0	0.01829166	0.0	0.010578453
segsize14	2.2161981e-07	0.0	0.012089038	0.0	0.0093500335
segsize15	0.0	0.0013115125	0.016563343	0.0	0.017699752
segsize16	0.0	0.0037496493	0.0061699613	0.0	0.014701257
segsize17	0.0	0.004372944	0.010051444	0.0	0.018123277
segsize18	0.0	0.004314131	0.0026947036	0.0	0.013752073
segsize19	0.0	0.0032548236	0.002104906	0.0	0.013001535
segsize20	0.0	0.0036137854	0.0	0.0	0.0074106064
segsize21	0.0	0.008215637	0.0	0.0	0.01564494
segsize22	0.0	0.013616072	0.0	0.0	0.008554787
changepoint1	0.0	0.01081254	0.012349857	0.022368427	1.3e-44
changepoint2	0.0	0.0070762387	0.028629158	0.047758862	0.0
changepoint3	0.0	0.014760549	0.09157206	0.042476233	0.0
changepoint4	1.402236e-38	0.008471753	0.0450223	0.067641035	0.045230296
changepoint5	1.7466e-41	0.0	0.006355502	0.062357508	0.115654804
changepoint6	0.022550331	0.0	2.9443924e-18	0.012226854	0.030462436
changepoint7	0.039809864	0.0	0.0	0.0	0.021670891
changepoint8	0.05313298	0.0	1.7118668e-05	0.0018371606	0.013610901
changepoint9	0.06706639	7.257882e-07	0.00013539463	0.0	0.0060260766
changepoint10	0.1668554	0.00010979703	0.0	0.0	4.2799017e-23
bp10MB1	0.0	0.57606906	0.22249018	7.6967813e-22	0.28505135
bp10MB2	4.817438e-13	0.21915792	0.2227396	0.0	0.18983108
bp10MB3	0.04365775	0.004267734	0.021780072	0.07466463	0.010279445
bpchrarm1	0.0	0.07920449	0.0055747866	0.0	0.018101975
bpchrarm2	0.0	0.03321804	0.039952602	0.0	0.04376529
bpchrarm3	0.013572927	0.0003293036	0.0207834	0.033275988	0.008647974
bpchrarm4	0.008560245	5.35926e-07	0.0	0.0074477075	0.0
bpchrarm5	0.0	0.0	0.0	0.00063662796	0.0
osCN1	0.2489657	0.0	0.074142784	0.1844389	0.027272237
osCN2	0.0388197	0.0	0.02064401	0.061888848	0.0059561967
osCN3	0.0	4.5466645e-06	0.00041495642	0.0016367192	0.0
