	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.060035765	0.0025452564	0.0	0.010186012	0.0	0.023918364	0.17847297	0.0
segsize2	0.031251535	0.0010845738	0.0	0.0033466402	0.008606979	0.012927775	0.07801549	0.0
segsize3	0.030453267	0.00070757704	0.0	0.00183845	0.024199206	0.016039962	0.05726531	0.0
segsize4	0.03626001	0.0023009647	0.0	0.002093154	0.066761576	0.027245553	0.03279348	0.0
segsize5	0.02248977	0.0026417912	0.0015523116	0.0014073525	0.06443813	0.024675237	0.0016217153	0.0
segsize6	0.017120473	0.0029971825	0.0060628834	0.0023260962	0.05607361	0.023186188	0.0	0.0
segsize7	0.014038308	0.0019910715	0.014005036	0.0031132249	0.044026036	0.026514547	0.0	0.0
segsize8	0.010001333	0.0011166708	0.015491869	0.0	0.022658363	0.019288698	0.0	0.0
segsize9	0.00046481699	0.0006238246	0.013289801	0.00019600865	0.01138077	0.012465136	0.0	0.0
segsize10	1.1906126e-15	0.0	0.023356259	0.00036698047	0.0130562605	0.019229025	2.0333076e-37	0.0
segsize11	0.0015544316	0.001452603	0.028050113	0.00011256851	0.008622504	0.022912608	0.0028441208	0.0
segsize12	0.0	0.002628386	0.029671093	0.000417959	0.006056126	0.018440964	0.0021380242	0.0
segsize13	0.0	0.0024786268	0.02387971	0.0	0.0	0.0130340075	0.0	0.0
segsize14	0.0	0.0036413854	0.014135483	0.0	0.0	0.008334047	0.0	0.0
segsize15	3e-45	0.011882922	0.018587627	0.00036202229	0.0	0.010660785	0.0	0.0
segsize16	0.0	0.009259578	0.008153892	0.0	0.00034916666	0.0033153633	0.0	0.0
segsize17	0.009898588	0.014241855	0.008419705	0.0	0.0	0.0053994153	0.0	0.0
segsize18	0.0047830665	0.012363551	0.0022211804	0.0	0.0	0.0013187776	0.0	0.008209112
segsize19	0.0014246493	0.009653312	0.0028138715	0.0007864339	0.0	0.00087681867	0.0	0.0026568184
segsize20	0.0020939894	0.0073530683	0.0	0.0009155957	0.00027250525	0.00021060213	0.0	0.0
segsize21	0.0	0.014267338	0.0	0.0033510774	0.00033539778	0.0001327647	1.7566158e-17	0.0
segsize22	0.0	0.013191859	0.0	0.0043601072	0.0	0.0	0.0	0.0
changepoint1	0.14844902	0.011080906	0.009760385	0.0111279795	0.009249934	0.0	0.009234813	0.0
changepoint2	0.27486816	0.013632999	0.04709153	0.0037654834	0.03222048	0.0	0.040790167	0.0
changepoint3	0.0	0.02275123	0.08835008	0.0140739875	0.1367793	0.0	0.11290277	0.0
changepoint4	0.0	0.03160806	0.0397388	0.0	0.08337789	0.04291418	0.1046886	0.0
changepoint5	0.0	0.02626738	7.6652165e-37	0.0	0.024651695	0.11665978	0.05358477	0.0
changepoint6	0.0	0.0	0.0	0.0	0.0	0.055601798	0.0060209967	0.0
changepoint7	0.0	0.0	0.0	0.0	0.0	0.035253108	1.2476978e-07	0.027892083
changepoint8	3.313878e-05	0.00010514185	0.0	1.9119998e-05	0.00013756809	0.02760107	0.0005816085	0.07854129
changepoint9	5.6530913e-05	4.449941e-05	0.0	2.2351936e-05	0.00030289168	0.014696466	3.328898e-08	0.18320386
changepoint10	0.0	0.00016983274	0.0	0.0	0.0010426528	0.0	0.0	0.6946664
bp10MB1	0.0	0.45754632	0.17772026	0.57165223	0.020685326	0.04889987	0.049179032	0.0
bp10MB2	1e-45	0.21139777	0.23148148	0.23844975	0.06700937	0.088181406	0.0	0.0
bp10MB3	0.02882989	0.007038878	0.024796715	0.00956831	0.06645167	0.038233437	0.059095208	0.0
bpchrarm1	0.0	0.037342552	0.0028738477	0.062254876	0.00026505033	0.0	0.0035790678	0.0
bpchrarm2	0.00085144705	0.05331672	0.02428017	0.048431292	0.0	0.001458161	0.0	0.0
bpchrarm3	0.008204233	0.009254884	0.034806967	0.004546426	0.015187102	0.015255255	0.0	0.0
bpchrarm4	0.00052490464	0.0	0.0	0.0	0.010899416	0.003962601	0.016614065	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0029849298	0.0048304945
osCN1	0.26955733	0.0	0.08217009	1.9234492e-26	0.14501595	0.17738654	0.10822264	0.0
osCN2	0.0267553	0.0	0.027086642	0.0009085585	0.05508443	0.043769673	0.07615193	0.0
osCN3	0.0	1.9369638e-05	0.00015226503	0.0	0.004802587	0.0	0.003218109	0.0
