	W1	W2	W3	W4	W5	W6
segsize1	0.0	0.0	0.0	0.0	0.035505835	0.06460344
segsize2	0.07991834	0.0	0.0	0.0	0.024950078	0.05280454
segsize3	0.14579147	2.9387848e-10	0.0	0.0	0.03715361	0.038810223
segsize4	0.08848473	0.00046180046	0.040128365	0.0	0.06841434	0.040239573
segsize5	0.0	0.0	0.07189107	0.0	0.049572546	0.030628206
segsize6	0.0	1.5435637e-33	0.062351637	0.005505159	0.03154796	0.023974212
segsize7	0.0	0.0002755445	0.04970367	0.014868209	0.022763208	0.02328599
segsize8	0.0	0.0	0.024916092	0.014876122	0.010808799	0.01388774
segsize9	0.0	0.0002572149	0.010885616	0.008528123	0.0066675204	0.008470267
segsize10	0.0	2.1893908e-05	0.018785415	0.016929911	0.009234735	0.014109564
segsize11	0.0	0.00011889711	0.016495978	0.024793109	0.007712089	0.016424015
segsize12	0.0	0.00016078098	0.005420396	0.037221108	0.005328215	0.015393843
segsize13	0.010070475	0.0	1e-45	0.033665895	0.0027854012	0.0076927487
segsize14	0.0059908926	3.7877696e-23	0.0	0.024009755	0.0004919707	0.0027975629
segsize15	0.0	0.00058521464	0.006515147	0.03420329	0.0019504804	0.0061972463
segsize16	1.0175653e-07	0.0020859945	5.3630823e-34	0.018687038	0.0010529996	0.0011111373
segsize17	0.0022125638	0.0010994724	0.0	0.031389974	0.0012231729	0.0030544563
segsize18	0.0022121011	0.0017446319	0.0	0.019749383	0.0	0.0010094275
segsize19	0.002116477	0.001386372	0.0	0.015990337	0.0	0.0017004387
segsize20	0.001312141	0.0026503955	0.0	0.0013646412	0.00081687805	0.0004906829
segsize21	0.002400234	0.0050270744	0.0	0.015507368	0.00078202895	0.0008389432
segsize22	0.0021345564	0.009129325	0.0	0.0052244235	0.0	0.00014011867
changepoint1	0.0	0.0	0.0	0.0	0.0	0.0
changepoint2	0.0	4.4472044e-06	0.0	2.4769448e-05	2.4651914e-05	0.0
changepoint3	0.0	0.017186917	0.0	0.09581614	0.0953636	0.0
changepoint4	0.0	0.0070710033	0.0008781879	0.08258515	0.08374241	0.0002034494
changepoint5	0.0	1e-45	0.07195465	0.111145794	0.109993026	0.0024955454
changepoint6	0.026579875	0.0	0.1431665	0.0015062164	0.019277541	0.0
changepoint7	0.09868864	0.0	0.072726	0.0	0.0	0.0014782142
changepoint8	0.15471856	4.2475e-41	0.04520831	0.00062093843	0.0010237022	0.0063347714
changepoint9	0.15024008	2.2385226e-05	0.018580876	0.0002689553	0.00024941112	0.014874516
changepoint10	0.0	3.864847e-05	0.003829532	0.000187889	0.0	0.1569189
bp10MB1	1.38856e-40	0.60525423	2.0164462e-22	1.0327986e-15	0.041315604	0.054741647
bp10MB2	0.0	0.23088077	0.028787252	0.2455154	0.06278969	0.060048502
bp10MB3	0.026181934	0.00473562	0.0529901	0.018135449	0.07317787	0.06101646
bpchrarm1	0.0	0.07814169	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.029410733	0.0	0.06635647	0.0025072813	0.0009029956
bpchrarm3	0.0	0.0022488486	0.014714207	0.021945596	0.02030587	0.015932856
bpchrarm4	0.009927185	0.0	0.0024098388	0.0	0.006984686	0.0067173797
bpchrarm5	0.0040618815	0.0	0.0	0.0	0.0016027096	0.0014971596
osCN1	0.121115886	1.0873563e-08	0.17899518	0.024687229	0.08620372	0.18044268
osCN2	0.06572153	0.0	0.05839379	0.008590861	0.06805299	0.06861358
osCN3	0.00012047745	0.0	0.0002722235	9.935214e-05	0.008623392	0.00011697062
