	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.15281363	0.0	0.0	0.0016407302	4.556508e-19	0.0	0.0
segsize2	0.0	0.0	0.002581081	0.13133304	0.0	0.0	0.002161003	0.0	0.0029234427	0.0
segsize3	1e-45	0.0	0.020645738	0.16215612	0.0	0.0	0.0021457453	0.0	0.020625463	0.0
segsize4	7.465525e-10	2.3098707e-15	0.05971642	0.14365491	0.0	0.0	2.5199783e-30	0.030487066	0.0644649	0.0
segsize5	0.0	0.0	0.04447111	0.017375287	0.0	0.0	0.0	0.056966785	0.056693353	0.0
segsize6	1.2059086e-13	0.0	0.03388323	0.0	0.0	0.0	0.0	0.06811128	0.04808873	0.0
segsize7	0.0012478393	0.0	0.016767042	0.0	0.0	0.0	0.0088739665	0.072266094	0.03346158	0.0
segsize8	0.0007373735	0.0	0.0051813223	0.0	0.0	0.0	0.012241679	0.04429716	0.014238362	0.0
segsize9	0.00027524264	0.0	0.00012464999	0.0	0.0	0.0	0.009874389	0.026259208	0.006558715	0.0
segsize10	0.00022218727	0.0	0.0018378648	0.0	0.0	0.0	0.019465376	0.034950674	0.0073672296	0.0
segsize11	0.0	0.0	0.0040121065	0.0	0.0	0.0	0.025573676	0.03053759	0.0074038287	0.0
segsize12	0.0	0.0	0.0059232395	0.0	0.0	0.0	0.029279897	0.020291425	0.005987569	0.0
segsize13	0.00060761906	0.0	0.0060389685	0.0	0.0	0.0	0.022489227	0.009913282	0.0033381179	0.0
segsize14	0.0008901315	0.0	0.0054349904	0.0	0.0	0.0	0.015152157	0.004083184	0.0007542451	0.0
segsize15	0.0024741841	5.086142e-13	0.013655963	0.0	2.6913365e-13	0.0	0.023762206	0.0019337285	2.8439524e-29	0.0
segsize16	0.0018771775	0.0	0.006394494	0.0	0.077589594	3.1946057e-36	0.010331587	3.1628932e-24	5.6740834e-38	0.0
segsize17	0.0027367747	0.0	0.004775853	0.0	0.0960758	0.0063673304	0.014979875	0.0	0.0	0.0
segsize18	0.002012141	0.0	0.0023307407	0.0	0.07500234	0.002854474	0.0075597013	0.0	0.0	0.0
segsize19	0.0015967216	0.0	0.0015434735	0.0	0.10304445	0.0015955047	0.0058928034	0.0	0.0	0.0
segsize20	0.0010743263	0.0	0.0	0.0	0.11807761	0.0	0.002073595	0.0	0.0	0.0
segsize21	0.0028379182	0.0	0.0	0.0	0.18858549	0.002043588	0.0033829445	0.0	0.0	0.0
segsize22	0.003302179	0.0	0.0	0.0	0.34162474	0.0	0.0	0.0	0.0	0.0
changepoint1	0.007123041	0.37388733	0.00643143	0.012208392	0.0	0.0	0.0059039053	0.0	0.0	0.0
changepoint2	0.0018146922	0.6261073	0.0	0.0	0.0	0.0	0.020309066	0.025576778	0.003974748	0.0
changepoint3	0.0056396318	0.0	0.0	0.0	0.0	0.0	0.05623093	1.41350725e-33	0.29786807	0.0
changepoint4	0.0040619792	0.0	0.14308996	0.0	0.0	0.0	0.0394379	0.004757941	0.15604378	0.0
changepoint5	0.00085019466	0.0	0.44167686	1.6122106e-34	0.0	0.0	0.01768986	4.4842424e-28	0.0040414454	0.0
changepoint6	0.0	0.0	0.05268545	0.0	0.0	0.2566929	0.0012752871	0.0048442674	0.0	0.0
changepoint7	0.0	0.0	0.015118501	0.0	0.0	0.26951402	3.0210575e-07	0.00051894103	0.0	0.0
changepoint8	0.0	0.0	0.014527046	0.00015886812	0.0	0.23983312	0.00016844482	0.0017682505	1.2487224e-38	0.0
changepoint9	4.7476256e-06	0.0	0.0044453945	0.00011182882	0.0	0.17024246	2.405798e-05	0.001557396	0.00013246997	0.09949294
changepoint10	2.792304e-06	0.0	0.0012445152	0.00020495962	0.0	0.050856587	5.533314e-30	0.00070943456	0.0	0.89478445
bp10MB1	0.6021674	0.0	1.6865279e-20	1.5491627e-32	0.0	0.0	0.21248567	2.6276232e-06	0.028004434	0.0
bp10MB2	0.23416428	0.0	2.5576265e-18	0.0	0.0	0.0	0.23561463	0.07715156	0.09030549	0.0
bp10MB3	0.0033754185	0.0	0.04998382	0.06830025	0.0	0.0	0.017401695	0.056430925	0.07365183	0.0
bpchrarm1	0.07665412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.040089823	0.0	0.0	0.0	0.0	0.0	0.040510964	0.0	0.0	0.0
bpchrarm3	0.0010360301	0.0	0.009747799	0.017584994	0.0	0.0	0.029799366	0.005834519	0.026983155	0.0
bpchrarm4	0.0	0.0	0.00065746333	0.007355489	0.0	0.0	0.0	0.01619109	0.005069079	0.0
bpchrarm5	0.0	0.0	0.0	0.006708737	0.0	0.0	0.0	0.0	0.0	0.0057226275
osCN1	0.0011239005	0.0	0.0	0.1973001	0.0	0.0	0.08568464	0.32784888	0.0	0.0
osCN2	0.0	0.0	0.021842794	0.079259366	0.0	0.0	0.020582719	0.07670993	0.035248697	0.0
osCN3	0.0	5.4263282e-06	0.0032307056	0.0034740362	0.0	0.0	0.0	0.0	0.006771321	0.0
