	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.00014471792	0.0	0.0	0.0	0.1725024	0.0	0.0	0.0	0.0014786053	0.0
segsize2	0.0011532217	0.0	0.0	0.0033083553	0.14464524	0.0	0.0049346	0.0	4.123835e-06	0.0
segsize3	0.0015670792	0.0	0.0	0.021771489	0.17037103	0.0	0.027179794	0.0	0.0	0.0
segsize4	0.0	2.912e-42	0.0	0.05763364	0.12739451	0.036493905	0.08403474	0.006359608	0.02041758	0.0
segsize5	0.0	0.0	0.0	0.04027058	0.0026546626	0.033351883	0.072815485	0.0	0.04254832	0.0
segsize6	0.0	0.00030822327	0.0	0.0281078	0.0	5.667659e-12	0.055412326	0.0	0.057612438	0.0
segsize7	0.006876858	0.0015515259	0.0	0.012235782	0.0	0.0	0.03623591	0.0	0.063874505	0.0
segsize8	0.01007888	0.00076549273	0.0	0.0028148857	0.0	0.0	0.013256513	0.0	0.041067477	0.0
segsize9	0.008220451	0.0001758354	0.0	3.2206435e-25	0.0	0.0	0.004974765	0.0	0.024718063	0.0
segsize10	0.016553769	2.4326788e-21	0.0	0.0010916902	0.0	0.0	0.0031849882	0.0	0.035025924	0.0
segsize11	0.02192091	0.0	0.0	0.0011902272	0.0	0.0	0.00014801126	0.0	0.034077216	0.0
segsize12	0.025258796	0.0	0.0	0.0038640178	0.0	0.0	0.0	0.0	0.024765758	0.0
segsize13	0.020477949	0.0	0.0	0.007585418	0.0	0.0	0.0	0.0	0.01218076	0.0
segsize14	0.014462051	0.0	0.0	0.008245571	0.0	0.0	0.0	0.0	0.0046296944	0.0
segsize15	0.021564672	0.0	0.0	0.023825763	0.0	0.01198151	0.0	0.030932445	0.0	0.0
segsize16	0.009880578	0.0011579957	0.07877403	0.0065216087	0.0	0.006736132	0.0	0.0	2.3980696e-23	0.0
segsize17	0.0154355	0.0	0.13367279	0.00429841	0.0	0.015792552	0.0	0.0	0.0	0.0
segsize18	0.007243531	0.0015246451	0.07401918	0.0024493115	0.0	0.0076694	0.0	0.0	0.0	0.0
segsize19	0.0057517034	0.0011491372	0.10053505	0.0015215807	0.0	0.005462151	0.0	0.0	0.0	0.0
segsize20	0.0020280085	0.0009771327	0.11067162	0.00042320325	0.0	0.0009912099	0.0	0.0	0.0	0.0
segsize21	0.0035301114	0.0025403148	0.18023546	0.0	0.0	0.0037824912	0.0	0.0	0.0	0.0
segsize22	6.536071e-06	0.0034535548	0.32209185	0.0	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.006157087	0.006727048	0.0	0.008701664	0.013126802	0.0	0.0	0.36415458	0.0	0.0
changepoint2	0.018527396	0.0011722193	0.0	0.0	0.0	0.0	3.006741e-09	0.5985421	0.026463738	0.0
changepoint3	0.0667021	0.0036107048	0.0	0.0	0.0	0.0	0.3166528	0.0	3.408e-41	0.0
changepoint4	0.043084323	0.0027654283	0.0	0.14281985	0.0	0.0	0.16586874	0.0	0.010232498	0.0
changepoint5	0.014758905	1.579369e-07	0.0	0.45872936	4.86999e-40	0.0	0.0062661837	0.0	0.0070399945	0.0
changepoint6	0.0	0.0	0.0	0.05235408	0.0	0.22547036	0.0	0.0	0.007322844	0.0
changepoint7	0.0	0.0	0.0	0.013241549	0.0	0.23611036	0.0	0.0	0.001235917	0.0
changepoint8	7.480545e-05	2.0043972e-06	0.0	0.01325273	2.2766639e-05	0.21063977	3.5371623e-17	0.0	0.0020674295	0.0
changepoint9	1.0815608e-27	8.475118e-06	0.0	0.0036076184	6.3565763e-06	0.15399374	0.00019717979	0.0	0.0014121366	0.08664139
changepoint10	0.0	2.8105333e-06	0.0	0.0009156544	0.00021139428	0.05152449	0.0	0.0	0.0005526747	0.90712065
bp10MB1	0.24903941	0.61399597	0.0	2.3620075e-35	0.0	0.0	5.808098e-08	0.0	0.02573165	0.0
bp10MB2	0.24113417	0.23426127	0.0	8.18113e-40	0.0	0.0	0.04929243	0.0	0.10459171	0.0
bp10MB3	0.015951674	0.003474178	0.0	0.04692186	0.065456316	0.0	0.08228164	0.0	0.052406967	0.0
bpchrarm1	0.0043882937	0.08007054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.043370195	0.039045118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.028078105	0.00041808136	0.0	0.009927827	0.016098842	0.0	0.022609385	0.0	0.012152165	0.0
bpchrarm4	0.0	0.0	0.0	0.00017522881	0.0052121915	0.0	0.0078093633	0.0	0.012416489	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.007180976	0.0	0.0	0.0	0.0	0.0062379725
osCN1	0.0611985	0.00084200286	0.0	0.0	0.19068766	0.0	0.0	0.0	0.30128464	0.0
osCN2	0.015379726	0.0	0.0	0.018838268	0.08195273	0.0	0.038355723	0.0	0.07268868	0.0
osCN3	0.0	0.0	0.0	0.0033548966	0.0024761409	0.0	0.008489338	1.1268453e-05	0.0	0.0
