	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	6.88979e-40	0.0	0.0	0.0022301362	0.0	0.17069964	0.0	0.00016612603
segsize2	3.460427e-36	0.0	0.0057025943	0.0	0.0	2.304342e-30	0.0	0.14779645	0.0	0.0013946602
segsize3	0.020953551	0.0	0.026368253	0.0	1.0636446e-36	1.6178741e-29	0.0	0.17166339	0.0	0.001364657
segsize4	0.058990512	3.432047e-11	0.07461562	0.0	8.637393e-11	0.031403355	4.05294e-08	0.13622059	0.0	4.935794e-24
segsize5	0.042774305	0.014422403	0.06475732	0.0	3.2059653e-36	0.05384432	0.0	0.0043784236	0.0	0.0
segsize6	0.031670354	8.410826e-10	0.052382324	0.0	4.5419245e-08	0.06563437	0.0	0.0	0.0	4.6366448e-14
segsize7	0.014687683	0.0	0.03462504	0.0	0.0012986272	0.06943369	0.0	0.0	0.0	0.009188683
segsize8	0.0043185293	0.0	0.013622515	0.0	0.00077388046	0.04261441	0.0	0.0	0.0	0.012396475
segsize9	2.7322938e-07	0.0	0.005577247	0.0	0.00028760135	0.024935879	0.0	0.0	0.0	0.010111601
segsize10	0.0018352376	0.0	0.0053178957	0.0	0.0002167001	0.033987585	0.0	0.0	0.0	0.019606512
segsize11	0.0045318645	0.0	0.004763372	0.0	8.988047e-37	0.029759469	0.0	0.0	0.0	0.025818937
segsize12	0.007098021	0.0	0.0031156526	0.0	0.0	0.019702502	0.0	0.0	0.0	0.029556131
segsize13	0.00700977	0.0	0.0011765683	0.0	0.000599261	0.009698331	0.0	0.0	0.0	0.022666043
segsize14	0.0062541757	5.557035e-33	1.297993e-29	0.0	0.00079649914	0.0037431468	2.2905291e-26	0.0	0.0	0.015387407
segsize15	0.016699491	0.0071014105	0.0	0.0	0.002251606	6.61038e-11	0.010520071	0.0	1.7510685e-13	0.022810332
segsize16	0.005582811	0.0012293877	0.0	0.0	0.0017187721	3.9853891e-25	0.0	0.0	0.08095195	0.010289676
segsize17	0.0054583717	0.006846982	0.0	0.0	0.0026025842	0.0	0.0	0.0	0.09890208	0.014686543
segsize18	0.0027106546	0.004770029	0.0	0.0	0.0019191174	0.0	0.0	0.0	0.07558972	0.0072254166
segsize19	0.0016259326	0.0021363785	0.0	0.0	0.0015061875	0.0	0.0	0.0	0.1053058	0.005662747
segsize20	0.00035976584	8.945521e-19	0.0	0.0	0.0010995568	0.0	0.0	0.0	0.115074806	0.001978756
segsize21	1.4037664e-26	0.002122169	0.0	0.0	0.0027782414	0.0	0.0	0.0	0.18949954	0.0032167472
segsize22	0.0	0.0	0.0	0.0	0.0033355027	0.0	0.0	0.0	0.3346761	0.0
changepoint1	0.007533793	0.0	5.40613e-40	0.0	0.00711203	1.1084166e-33	0.37298158	0.012686826	1.1e-44	0.0055311327
changepoint2	0.0	0.0	0.0015107368	0.0	0.0019523153	0.024971016	0.61649	0.0	0.0	0.020733029
changepoint3	0.0	0.0	0.31067735	0.0	0.005444196	5.322233e-25	0.0	0.0	0.0	0.06340945
changepoint4	0.14236577	0.0	0.16374363	0.0	0.0039632837	0.005148847	0.0	1.6182079e-30	4.219311e-39	0.043325756
changepoint5	0.448227	0.0	0.0065501984	0.0	0.00067068427	1.2493953e-05	0.0	1.9712103e-05	0.0	0.017657802
changepoint6	0.05241916	0.25187	0.0	0.0	0.0	0.0049292897	0.0	0.0	0.0	0.0012608328
changepoint7	0.014894247	0.2623015	0.0	0.0	0.0	0.00048764	0.0	0.0	0.0	2.6516877e-11
changepoint8	0.014384054	0.23206373	3.6359653e-23	0.0	6.8661654e-07	0.0017643851	0.0	0.00010301088	0.0	0.00015549132
changepoint9	0.0042753182	0.1655229	0.00018497588	0.09829418	5.2292403e-06	0.001442863	0.0	5.2025443e-06	0.0	1.0298801e-05
changepoint10	0.0012015376	0.049613055	2.5490124e-10	0.8911621	3.680256e-07	0.0006682379	0.0	0.00021945048	0.0	9.368e-42
bp10MB1	1.03915215e-13	0.0	0.002932678	0.0	0.60253793	0.014101708	0.0	4.690277e-21	0.0	0.20918202
bp10MB2	3.6689791e-09	0.0	0.06469619	0.0	0.23485698	0.08528489	0.0	8.826016e-36	0.0	0.23652765
bp10MB3	0.047844917	0.0	0.07999963	0.0	0.003458731	0.05652776	0.0	0.065349326	0.0	0.017706871
bpchrarm1	0.0	0.0	0.0	0.0	0.076526865	0.0	0.0	0.0	0.0	3.7406393e-31
bpchrarm2	0.0	0.0	0.0	0.0	0.04005767	0.0	0.0	0.0	0.0	0.03956606
bpchrarm3	0.009562174	0.0	0.025428547	0.0	0.0010727377	0.0071572354	0.0	0.01822601	0.0	0.030394161
bpchrarm4	0.0005207498	0.0	0.0061427723	0.0	0.0	0.015294868	0.0	0.005903595	0.0	0.0
bpchrarm5	0.0	0.0	0.0010036607	0.01054381	0.0	0.0	0.0	0.0025161253	0.0	0.0
osCN1	0.0	0.0	0.0	0.0	0.0011560543	0.3198089	0.0	0.183717	0.0	0.08068506
osCN2	0.020939661	0.0	0.03719833	0.0	0.0	0.07541272	0.0	0.07742146	0.0	0.020326914
osCN3	0.003270293	0.0	0.007906877	0.0	0.0	0.0	8.371249e-06	0.0030737857	0.0	0.0
