	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.0	0.0010807216	0.14907478	3.2581412e-35	0.0	0.0
segsize2	0.0029787726	0.0	0.0	0.0	0.0	0.0020079173	0.13062996	0.0	0.0	0.0
segsize3	0.02097087	0.018557945	0.0	0.0	0.0	0.0019655924	0.1601502	0.0	0.0	0.0
segsize4	0.065198876	0.056429036	0.0	0.0	1.1993682e-25	9.4463e-41	0.14369719	0.030406086	0.0	9.467798e-07
segsize5	0.057979167	0.042457044	0.0	0.0	5.569603e-11	0.0	0.018900432	0.05609869	0.0	0.0
segsize6	0.049156703	0.032309458	0.0	0.0	6e-45	0.0	0.0	0.0671066	0.0	1.2870574e-08
segsize7	0.034008004	0.015495265	0.0	0.0	0.0	0.008681229	0.0	0.07135535	0.0	0.0013157368
segsize8	0.0145093845	0.004757358	0.0	0.0	0.0	0.012096399	0.0	0.043676917	0.0	0.0007639781
segsize9	0.0065740603	0.00024584326	0.0	0.0	0.0	0.0099471435	0.0	0.02536084	0.0	0.0002889187
segsize10	0.007350543	0.0018683507	0.0	0.0	0.0	0.019353872	0.0	0.034623235	0.0	0.00023184385
segsize11	0.0072578695	0.0046828813	0.0	0.0	0.0	0.025351372	0.0	0.03034908	0.0	0.0
segsize12	0.005270535	0.006554006	0.0	0.0	0.0	0.0294012	0.0	0.020472992	0.0	0.0
segsize13	0.0029150632	0.0069810622	0.0	0.0	0.0	0.022473631	0.0	0.009916863	0.0	0.00063079025
segsize14	0.00054592214	0.0055416496	0.0	0.0	0.0	0.015190911	0.0	0.004498081	0.0	0.0008803143
segsize15	1.893809e-29	0.015680015	2.5481928e-10	8.9698665e-12	0.0	0.023502987	0.0	0.0020822582	0.0	0.0025021234
segsize16	0.0	0.006370402	0.0	0.07711292	0.0015157544	0.010395017	0.0	1.9989764e-27	0.0	0.0018684182
segsize17	0.0	0.0065628006	0.0	0.09572388	0.005007379	0.014909937	0.0	0.0	0.0	0.002731225
segsize18	0.0	0.0029582889	0.0	0.07214169	0.0034366786	0.0075478456	0.0	0.0	0.0	0.0020375983
segsize19	0.0	0.0022375952	0.0	0.1034095	0.0015355307	0.0059078843	0.0	0.0	0.0	0.0016054194
segsize20	0.0	0.00035817543	0.0	0.11796281	0.0	0.0019711703	0.0	0.0	0.0	0.0011331416
segsize21	0.0	4e-44	0.0	0.1897635	0.0021275943	0.0034821255	0.0	0.0	0.0	0.0028840755
segsize22	0.0	0.0	0.0	0.3438857	0.0	0.0	0.0	0.0	0.0	0.003368153
changepoint1	0.0	0.0064662932	0.37420124	0.0	0.0	0.0059416974	0.012295525	0.0	0.0	0.0071300208
changepoint2	0.0038421077	0.0	0.62579876	0.0	0.0	0.020599956	0.0	0.024794618	0.0	0.0018688282
changepoint3	0.29626462	0.0	0.0	0.0	0.0	0.058309246	0.0	1.89328e-40	0.0	0.0055324496
changepoint4	0.15763485	0.14485073	0.0	0.0	0.0	0.040015437	3.989496e-38	0.0068014953	0.0	0.0038715706
changepoint5	0.011442173	0.450358	0.0	0.0	0.0	0.016603144	4.0687382e-06	0.003955983	0.0	0.00033657628
changepoint6	0.0	0.05240488	0.0	0.0	0.2557709	0.0011953912	0.0	0.006603223	0.0	0.0
changepoint7	0.0	0.014692092	0.0	0.0	0.2715014	1.4081935e-07	0.0	0.0011379371	0.0	0.0
changepoint8	9.557257e-09	0.014270657	0.0	0.0	0.23989779	0.00014103098	0.00038276438	0.002367341	0.00018542555	1.1290375e-06
changepoint9	0.00016343393	0.0043098703	0.0	0.0	0.16948931	1.199632e-05	0.000120252735	0.0017466482	0.10220291	3.972159e-06
changepoint10	4.711595e-05	0.0012617512	0.0	0.0	0.049717717	8.2254635e-25	0.00013506137	0.00068428024	0.8908117	3.9852986e-07
bp10MB1	0.026118346	5.3708276e-29	0.0	0.0	0.0	0.2134959	1.08606726e-26	7.2990486e-05	0.0	0.60228974
bp10MB2	0.081752926	4.1052905e-24	0.0	0.0	0.0	0.23689169	0.0	0.081233144	0.0	0.23420556
bp10MB3	0.07422292	0.048809562	0.0	0.0	0.0	0.017037366	0.07022548	0.056345027	0.0	0.0034278037
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07672722
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.04046656	0.0	0.0	0.0	0.040077846
bpchrarm3	0.025997864	0.009690496	0.0	0.0	0.0	0.029951874	0.017823191	0.0067948746	0.0	0.0010380985
bpchrarm4	0.005338316	7.971006e-05	0.0	0.0	0.0	0.0	0.007234504	0.015556655	0.0	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0	0.00615921	0.0	0.006800002	0.0
osCN1	0.0	0.0	0.0	0.0	0.0	0.083885334	0.19944406	0.31982183	0.0	0.0012461104
osCN2	0.035470303	0.019627322	0.0	0.0	0.0	0.020186214	0.0803823	0.07613691	0.0	0.0
osCN3	0.006989208	0.00313143	0.0	0.0	0.0	0.0	0.0033410226	0.0	0.0	0.0
