	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0003643054	0.00168785	0.0	0.0	0.0	0.13881098	0.0	0.0	0.0	0.0
segsize2	0.0015610373	0.0	0.0	0.0	0.0	0.120515585	0.0	1.2780421e-10	2.718752e-39	0.0044694627
segsize3	0.0017173464	0.0	0.0	0.0	0.0	0.14694107	0.0	0.01752566	1.5021606e-14	0.022544783
segsize4	8.1804497e-22	0.0	0.0	0.0	0.0	0.14268565	0.024803052	0.07366965	0.0	0.07901022
segsize5	0.0	0.044059932	0.015482985	0.0	0.0	0.023256114	0.0	0.049474623	0.0	0.06534314
segsize6	6.0614667e-29	0.062493086	7.010277e-12	0.0	0.0	1.4093756e-34	1.4297e-41	0.039305456	0.0001451128	0.05402302
segsize7	0.0075293067	0.07082094	0.0	0.0	0.0	0.0	0.0	0.022527289	0.0013816048	0.03792586
segsize8	0.010995904	0.045817945	0.0	0.0	0.0	0.0	0.0	0.008355428	0.00078186486	0.015485895
segsize9	0.009218257	0.027756583	0.0	0.0	0.0	0.0	0.0	0.0017915767	0.00026448566	0.006822615
segsize10	0.018106442	0.038524292	0.0	0.0	0.0	0.0	0.0	0.0033982468	0.00021540778	0.006719261
segsize11	0.024428427	0.035541166	0.0	0.0	0.0	0.0	0.0	0.0044660587	0.0	0.004934649
segsize12	0.028660221	0.02510248	0.0	0.0	0.0	0.0	0.0	0.004909603	0.0	0.0025358663
segsize13	0.022363873	0.013168922	0.0	0.0	0.0	0.0	0.0	0.0047251023	0.000567512	0.00024962705
segsize14	0.015116927	0.0054345964	0.0	0.0	0.0	0.0	1.0167163e-26	0.0047929636	0.0007412775	1.1406068e-30
segsize15	0.023338687	0.0016943965	2.2835117e-15	0.0035746081	0.0	0.0	0.005703443	0.013591667	0.0020544836	0.0
segsize16	0.010375172	8.214819e-25	0.0042417343	0.07951693	0.0	0.0	0.0	0.004576004	0.0016483552	0.0
segsize17	0.015079095	0.0	0.01163116	0.099268466	0.0	0.0	0.0	0.0033967765	0.0023529178	0.0
segsize18	0.007581802	0.0	0.0070021027	0.07611167	0.0	0.0	0.0	0.0011138114	0.0018122424	0.0
segsize19	0.0058574122	0.0	0.0039815023	0.10302881	0.0	0.0	0.0	0.0009916793	0.0014560733	0.0
segsize20	0.0020630585	0.0	0.0	0.11542674	0.0	0.0	0.0	0.00026965496	0.0010373918	0.0
segsize21	0.003403946	0.0	0.0023199175	0.18837367	0.0	0.0	0.0	0.0	0.002690014	0.0
segsize22	0.0	0.0	0.0	0.3346991	0.0	0.0	0.0	0.0	0.0033051313	0.0
changepoint1	0.0057781716	0.0	0.0	0.0	0.0	0.011559782	0.36367738	0.00590233	0.0071513555	0.0
changepoint2	0.01885904	0.029936664	0.0	0.0	0.0	0.0	0.6058122	0.0	0.0020474547	0.0028552716
changepoint3	0.061285242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006345262	0.29173186
changepoint4	0.043591443	4.9803136e-15	0.0	3.537e-42	0.0	0.0	0.0	0.13281421	0.004681796	0.15458594
changepoint5	0.018890264	0.0	0.0	0.0	0.0	2.7206739e-34	0.0	0.4174982	0.0012531554	5.6058286e-10
changepoint6	0.00108188	0.005574661	0.24338621	0.0	0.0	0.0	0.0	0.053789783	0.0	0.0
changepoint7	2.5101258e-07	0.0010153238	0.2589172	0.0	0.0	0.0	0.0	0.016182812	0.0	0.0
changepoint8	0.00013932255	0.0020074677	0.23226519	0.0	3.113842e-16	0.00051643327	0.0	0.01526211	3.407581e-06	3.5952342e-32
changepoint9	3.664879e-06	0.0016193256	0.16839932	0.0	0.09530299	0.00010864984	0.0	0.0049838405	4.2356014e-06	0.00022634698
changepoint10	0.0	0.0006522204	0.052372675	0.0	0.89463276	0.0001298462	0.0	0.0014358076	1.914123e-06	4.5897817e-05
bp10MB1	0.22177033	7.553423e-13	0.0	0.0	0.0	5.499613e-25	0.0	1.9777257e-12	0.6019674	0.021374354
bp10MB2	0.23911817	0.093752705	0.0	0.0	0.0	0.0	0.0	1.0524811e-15	0.2332824	0.07263481
bp10MB3	0.0171175	0.051767554	0.0	0.0	0.0	0.06902021	0.0	0.052122276	0.0035651287	0.07815949
bpchrarm1	1.1567134e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.077472836	0.0
bpchrarm2	0.041510254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03938699	0.0
bpchrarm3	0.029948022	0.00878247	0.0	0.0	0.0	0.017351665	0.0	0.007463544	0.001095006	0.023568502
bpchrarm4	0.0	0.0141247725	0.0	0.0	0.0	0.0058782697	0.0	0.0028285987	0.0	0.0069044814
bpchrarm5	0.0	0.0	0.0	0.0	0.010064231	0.0021469758	0.0	0.0	0.0	0.00093988184
osCN1	0.07472813	0.34501362	0.0	0.0	0.0	0.23717335	0.0	1e-45	0.0012877197	3.734661e-39
osCN2	0.018417113	0.073651075	0.0	0.0	0.0	0.0815214	0.0	0.027671348	0.0	0.039631616
osCN3	0.0	0.0	0.0	0.0	0.0	0.0023839918	3.938324e-06	0.0031639498	0.0	0.007277162
