	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.16570672	0.0	0.0020854974	0.0	0.0	0.0001727309
segsize2	0.0	0.004557839	0.0	0.0	0.13940501	0.0	0.0005603296	0.0033571147	0.0	0.0012094481
segsize3	0.0	0.02639144	0.0	0.0	0.16594483	0.0	0.0	0.02236851	0.0	0.0015545363
segsize4	0.0	0.0796733	9.241898e-20	0.0	0.13681363	0.0	0.027707865	0.05920318	0.0	0.0
segsize5	0.0	0.07092256	0.0	0.0	0.008205928	0.0	0.04796914	0.041061908	0.017852182	0.0
segsize6	0.0	0.05630686	0.00022271236	0.0	0.0	0.0	0.06144066	0.028428832	1.2177137e-20	0.0
segsize7	0.0	0.037543233	0.0014685226	0.0	0.0	0.0	0.06668402	0.012786657	0.0	0.007976882
segsize8	0.0	0.0142560005	0.0007426948	0.0	0.0	0.0	0.04177169	0.0039469223	0.0	0.011355823
segsize9	0.0	0.0052780216	0.00021224243	0.0	0.0	0.0	0.02490065	1.2329714e-08	0.0	0.009430067
segsize10	0.0	0.0042150705	4.4907116e-05	0.0	0.0	0.0	0.03469362	0.0014192263	0.0	0.018604765
segsize11	0.0	0.0009443699	0.0	0.0	0.0	0.0	0.03268433	0.0032630933	0.0	0.024459742
segsize12	0.0	0.0	0.0	0.0	0.0	0.0	0.022794878	0.0053124805	0.0	0.028198339
segsize13	0.0	5.3125134e-36	0.0	0.0	0.0	0.0	0.010285939	0.009360588	0.0	0.022489177
segsize14	0.0	0.0	0.0	0.0	0.0	0.0	0.0035063494	0.009173944	0.0	0.015731327
segsize15	0.010971664	0.0	0.0	0.03897175	0.0	0.0	0.00045446752	0.015144558	0.011514733	0.02349466
segsize16	0.0	0.0	0.001116121	0.07857911	0.0	0.0	0.0	0.006398714	0.002853999	0.010270805
segsize17	0.0	0.0	0.0	0.13260995	0.0	0.0	0.0	0.003832315	0.012588698	0.015772041
segsize18	0.0	0.0	0.0014978702	0.07410999	0.0	0.0	0.0	0.002456066	0.005715668	0.007370906
segsize19	0.0	0.0	0.0011167817	0.09662445	0.0	0.0	0.0	0.0018526484	0.0028551244	0.0057085548
segsize20	0.0	0.0	0.00080050685	0.10589498	0.0	0.0	0.0	0.00032068507	0.0	0.002008738
segsize21	0.0	0.0	0.0023458193	0.17476429	0.0	0.0	0.0	0.0	0.0028309363	0.0032157097
segsize22	0.0	0.0	0.0029762883	0.2984455	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.37231725	0.0	0.0070342496	0.0	0.0122063225	0.0	0.0	0.007928913	0.0	0.0056740697
changepoint2	0.61670005	3.110775e-05	0.0014937412	0.0	0.0	0.0	0.02572772	0.0	0.0	0.020189801
changepoint3	0.0	0.31518057	0.004209309	0.0	0.0	0.0	0.0	0.0	0.0	0.06820319
changepoint4	0.0	0.16547579	0.0032254346	0.0	0.0	0.0	0.008484358	0.14259511	0.0	0.044365294
changepoint5	0.0	0.007356618	0.00025664998	0.0	0.0	0.0	0.0044680946	0.4499649	0.0	0.015613128
changepoint6	0.0	0.0	0.0	0.0	0.0	0.0	0.0072742132	0.05377306	0.24233991	0.0
changepoint7	0.0	0.0	0.0	0.0	0.0	0.0	0.00093259424	0.014547292	0.25536662	0.0
changepoint8	0.0	6.533099e-05	5.93796e-07	0.0	1.1336203e-06	0.0	0.0019477006	0.014046718	0.22813249	8.2689534e-05
changepoint9	0.0	0.00020270242	7.0536e-06	0.0	9.955133e-06	0.09543197	0.0014619934	0.0040530493	0.16392288	9.168036e-29
changepoint10	0.0	4.0830517e-05	8.639132e-07	0.0	0.00011419751	0.89958894	0.0006212186	0.0011294173	0.05073338	0.0
bp10MB1	0.0	0.00015955695	0.6124626	0.0	0.0	0.0	0.014050174	3.5451e-41	0.0	0.21898621
bp10MB2	0.0	0.051503267	0.23522805	0.0	0.0	0.0	0.095361345	1.00669304e-22	0.0	0.23948044
bp10MB3	0.0	0.08234183	0.0033963332	0.0	0.06566795	0.0	0.05421532	0.047499564	0.0	0.017359065
bpchrarm1	0.0	0.0	0.07865206	0.0	0.0	0.0	0.0	0.0	0.0	4.8980603e-08
bpchrarm2	0.0	0.0	0.039973192	0.0	0.0	0.0	0.0	0.0	0.0	0.04098147
bpchrarm3	0.0	0.022865338	0.0005071624	0.0	0.019047756	0.0	0.008853115	0.011162261	0.0	0.030576719
bpchrarm4	0.0	0.0072165215	0.0	0.0	0.005535897	0.0	0.013800012	0.00011310012	0.0	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.0047953445	0.0049790232	0.0	0.0	0.0032934456	0.0
osCN1	0.0	0.0	0.0010083851	0.0	0.1945205	0.0	0.31095064	0.0	0.0	0.07169692
osCN2	0.0	0.039119482	0.0	0.0	0.07906882	0.0	0.07431211	0.02022627	0.0	0.01776665
osCN3	1.094857e-05	0.008352335	0.0	0.0	0.0029560064	0.0	0.0	0.0032727718	0.0	0.0
