	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	1.6551668e-16	0.0	0.14862783	0.0	0.0010871264	0.0
segsize2	0.003015444	0.0	0.0	0.0020788559	0.0	0.0	0.12786573	0.0	0.001771127	1.8608648e-21
segsize3	0.020958627	0.0	0.0	0.019448198	0.0	0.0	0.1581066	0.0	0.0019134628	1.047053e-39
segsize4	0.06556647	1.8582116e-15	1.2619815e-09	0.05954191	0.030913645	0.0	0.14190648	0.0	8.894029e-29	3.815707e-16
segsize5	0.059367795	0.009458315	0.0	0.046150737	0.055692956	0.0	0.017034162	0.0	0.0	0.0
segsize6	0.050561108	5.6218292e-18	0.0	0.03645848	0.06881056	0.0	0.0	0.0	3.170902e-18	3.2031224e-24
segsize7	0.035871767	0.0	0.0	0.019936059	0.072411515	0.0	0.0	0.0	0.0087993825	0.0011834903
segsize8	0.015049841	0.0	0.0	0.007069564	0.044286035	0.0	0.0	0.0	0.01228932	0.0007389441
segsize9	0.0070476364	0.0	0.0	0.0011305757	0.025841216	0.0	0.0	0.0	0.010037997	0.00024802674
segsize10	0.00764191	0.0	0.0	0.0024866313	0.034970365	0.0	0.0	0.0	0.019576665	0.00021598469
segsize11	0.0071329116	0.0	0.0	0.0046731415	0.030397765	0.0	0.0	0.0	0.025794784	0.0
segsize12	0.0049333144	0.0	0.0	0.0059134667	0.019645678	0.0	0.0	0.0	0.029922955	0.0
segsize13	0.0022047034	0.0	0.0	0.0054955822	0.009766069	0.0	0.0	0.0	0.0228027	0.0006883131
segsize14	0.00019289208	0.0	1.23e-43	0.005120582	0.0037776493	0.0	1e-44	0.0	0.015447006	0.00087320583
segsize15	0.0	2.1073592e-19	0.004930944	0.01413373	0.0002084859	2.5057395e-06	0.0	0.0	0.02367016	0.0024804603
segsize16	0.0	0.0011474974	0.0	0.004996342	4.4285e-41	0.07837034	0.0	0.0	0.010186379	0.0018615216
segsize17	0.0	0.0066388147	0.0	0.0038437238	0.0	0.09939447	0.0	0.0	0.014893068	0.0026436786
segsize18	0.0	0.0042210845	0.0	0.0013936616	0.0	0.07655661	0.0	0.0	0.0074861143	0.0019539534
segsize19	0.0	0.0016796797	0.0	0.001301149	0.0	0.10147547	0.0	0.0	0.0057909247	0.0016099788
segsize20	0.0	0.0	0.0	2.1031304e-28	0.0	0.11740207	0.0	0.0	0.0020059785	0.0011236329
segsize21	0.0	0.001027378	0.0	0.0	0.0	0.18936995	0.0	0.0	0.0032975415	0.0028253829
segsize22	0.0	0.0	0.0	0.0	0.0	0.33742854	0.0	0.0	0.0	0.0033229725
changepoint1	0.0	0.0	0.37204108	0.0064918525	0.0	0.0	0.011964606	0.0	0.005496851	0.007200224
changepoint2	0.003860115	0.0	0.623028	0.0	0.025688285	0.0	0.0	0.0	0.02003725	0.0019500304
changepoint3	0.30167848	0.0	0.0	0.0	1.0812e-41	0.0	0.0	0.0	0.05701239	0.0056261634
changepoint4	0.15683405	0.0	0.0	0.14187603	0.0043724054	0.0	6.000946e-37	0.0	0.040583692	0.0041272882
changepoint5	0.0014949521	0.0	0.0	0.4393895	6.2516814e-31	0.0	1.9877174e-15	0.0	0.018790266	0.0010131905
changepoint6	0.0	0.25467345	0.0	0.051381502	0.004694068	0.0	0.0	0.0	0.0013645049	0.0
changepoint7	0.0	0.26506907	0.0	0.0142222885	0.00045938403	0.0	0.0	0.0	7.7907185e-07	0.0
changepoint8	1.1598369e-23	0.23524004	0.0	0.014094238	0.0015458207	0.0	0.000104802886	0.0	0.00018434243	2.4044718e-06
changepoint9	0.00015856758	0.16748004	0.0	0.0042423843	0.0013890928	0.0	8.901888e-05	0.09813647	2.3649412e-05	5.819649e-06
changepoint10	2.5419436e-07	0.05133496	0.0	0.0011740477	0.0006703116	0.0	0.00022643612	0.8973507	0.0	2.2299214e-06
bp10MB1	0.024614451	0.0	0.0	1.510223e-16	9.661419e-10	0.0	4.5404157e-27	0.0	0.2096828	0.60155463
bp10MB2	0.08414995	0.0	0.0	2.959864e-16	0.07555562	0.0	0.0	0.0	0.23608193	0.23420748
bp10MB3	0.07414513	0.0	0.0	0.049816012	0.056821186	0.0	0.07207878	0.0	0.017749498	0.003405604
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07654091
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03955202	0.04013951
bpchrarm3	0.025697019	0.0	0.0	0.0076066046	0.0061533004	0.0	0.017296925	0.0	0.03040125	0.0011105905
bpchrarm4	0.005547246	0.0	0.0	0.0016167394	0.015708227	0.0	0.0075547635	0.0	0.0	0.0
bpchrarm5	0.0	0.002029654	0.0	0.0	0.0	0.0	0.005434436	0.004512802	0.0	0.0
osCN1	0.0	0.0	0.0	0.0	0.33371398	0.0	0.20729499	0.0	0.08545405	0.0013444079
osCN2	0.035109494	0.0	0.0	0.023699263	0.076506354	0.0	0.08140435	0.0	0.020812003	0.0
osCN3	0.007165863	0.0	0.0	0.0032171076	0.0	0.0	0.0030101342	0.0	0.0	0.0
