	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.14596666	0.0	0.0	0.00103204	0.0	2.8802245e-34	0.0
segsize2	0.0019095845	0.0	0.0	0.124991655	0.003134413	0.0	0.0017914498	0.0	0.0	0.0
segsize3	0.019393636	0.0	1.674323e-29	0.15272376	0.021696825	0.0	0.001948643	0.0	0.0	0.0
segsize4	0.07751062	0.0	0.0	0.14734858	0.07881129	0.0	0.0	0.0	0.0	0.026285326
segsize5	0.04843923	0.0	0.0	0.019531975	0.06446787	0.017410394	0.0	0.0	0.048021555	0.0
segsize6	0.035341676	0.0	3.7710506e-05	0.0	0.05126943	6.444649e-21	0.0015340325	0.0	0.06556547	0.0
segsize7	0.01936712	0.0	0.0013132631	0.0	0.036179125	0.0	0.008372272	0.0	0.07352355	0.0
segsize8	0.00631107	0.0	0.00077139423	0.0	0.014714077	0.0	0.011579427	0.0	0.04679174	0.0
segsize9	0.0008239021	0.0	0.00029227353	0.0	0.0062165307	0.0	0.009447476	0.0	0.027939297	0.0
segsize10	0.0018507772	0.0	0.00022345885	0.0	0.006187507	0.0	0.01866523	0.0	0.038729362	0.0
segsize11	0.003964752	0.0	0.0	0.0	0.005285159	0.0	0.024787923	0.0	0.034506436	0.0
segsize12	0.005043105	0.0	0.0	0.0	0.0028474787	0.0	0.028878821	0.0	0.023898471	0.0
segsize13	0.005367411	0.0	0.00059139373	0.0	0.00093572144	0.0	0.022295428	0.0	0.012031363	0.0
segsize14	0.0044887173	0.0	0.0008087164	0.0	1.3437438e-20	0.0	0.015074011	0.0	0.0050783087	0.0
segsize15	0.013733185	4.6564484e-05	0.0022031863	0.0	0.0	0.008923769	0.022889191	0.0	2.9251135e-08	0.010205469
segsize16	0.004804191	0.07842392	0.0017698182	0.0	0.0	0.0024225449	0.010295391	0.0	0.0	0.0
segsize17	0.003246446	0.09830604	0.0025385937	0.0	0.0	0.010319025	0.014897324	0.0	0.0	0.0
segsize18	0.0017239151	0.075587474	0.0019186947	0.0	0.0	0.0045714006	0.0074783424	0.0	0.0	0.0
segsize19	0.00044563806	0.103396304	0.0014935557	0.0	0.0	0.0046758996	0.0058664954	0.0	0.0	0.0
segsize20	0.0	0.11710975	0.0011177066	0.0	0.0	0.0	0.002042168	0.0	0.0	0.0
segsize21	0.0	0.18982472	0.0028075427	0.0	0.0	0.0018542467	0.0033663693	0.0	0.0	0.0
segsize22	0.0	0.33730522	0.0034525937	0.0	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.006102994	0.0	0.0071248007	0.011522976	0.0	0.0	0.0058176904	0.0	0.0	0.36130032
changepoint2	0.0	0.0	0.0019180815	0.0	0.002824863	0.0	0.019530645	0.0	0.028640214	0.60220367
changepoint3	0.0	0.0	0.006417129	0.0	0.29727587	0.0	0.059018034	0.0	0.0	0.0
changepoint4	0.13672188	0.0	0.0047471747	0.0	0.15721828	0.0	0.04245847	0.0	4.353904e-09	0.0
changepoint5	0.42186403	0.0	0.0014638478	6.802845e-05	2.8984146e-05	0.0	0.020235592	0.0	0.0	0.0
changepoint6	0.053538725	0.0	0.0	0.0	0.0	0.24434604	0.0013446388	0.0	0.0043694493	0.0
changepoint7	0.016011719	0.0	0.0	0.0	0.0	0.2556901	7.6561626e-08	0.0	0.00032070978	0.0
changepoint8	0.015147703	0.0	2.247568e-06	0.00015711048	1.91746e-39	0.22919992	0.00019337388	0.0	0.0013985981	0.0
changepoint9	0.004718751	0.0	4.791664e-06	0.00014382503	0.00019770041	0.16639975	1.27707535e-05	0.09249784	0.0013141801	0.0
changepoint10	0.0013292643	0.0	6.6841245e-26	0.00018608109	3.483018e-05	0.05280211	0.0	0.9050172	0.0005931093	0.0
bp10MB1	1.597569e-39	0.0	0.6011035	2.4e-44	0.022769745	0.0	0.21616673	0.0	5.3338476e-09	0.0
bp10MB2	4.887199e-33	0.0	0.23348656	0.0	0.07426601	0.0	0.23622555	0.0	0.090113655	0.0
bp10MB3	0.051851977	0.0	0.0035824035	0.07034072	0.07678772	0.0	0.017512152	0.0	0.053227056	0.0
bpchrarm1	0.0	0.0	0.07693812	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.03970415	0.0	0.0	0.0	0.04060888	0.0	0.0	0.0
bpchrarm3	0.0077016093	0.0	0.0011197998	0.017797505	0.024738314	0.0	0.029838925	0.0	0.0074451487	0.0
bpchrarm4	0.0020074712	0.0	0.0	0.006450237	0.006368323	0.0	0.0	0.0	0.01524148	0.0
bpchrarm5	0.0	0.0	0.0	0.0059494786	0.0	0.0013848224	0.0	0.0024849586	0.0	0.0
osCN1	0.0	0.0	0.0010474067	0.21403791	0.0	0.0	0.07929744	0.0	0.34601912	0.0
osCN2	0.025945215	0.0	0.0	0.08044861	0.038324494	0.0	0.019496989	0.0	0.07523161	0.0
osCN3	0.0032937112	0.0	0.0	0.0023348255	0.0074194395	0.0	0.0	0.0	0.0	5.2084647e-06
