	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.15174761	0.0	0.0	0.0	0.0010218775	0.0	0.0	0.0
segsize2	0.0	0.0	0.13840443	0.0	0.0	0.0	0.0025215126	6.92757e-39	0.0	0.0
segsize3	0.0	0.0	0.16397326	0.02126863	0.019283207	1.2301988e-24	0.0021512974	1e-45	0.0	0.0
segsize4	0.0	0.0	0.14265798	0.06988958	0.05790574	0.03238541	1.9409366e-30	0.00012556571	0.0	0.0
segsize5	0.0	9.693899e-07	0.016531046	0.06372727	0.044852644	0.057512786	0.0	0.0	0.0	0.0
segsize6	0.0	1.301852e-29	0.0	0.054311033	0.03434241	0.06864509	1.1228005e-06	2.0897929e-21	0.0	0.0
segsize7	0.0	0.0	0.0	0.037848596	0.01732643	0.07162815	0.0090606045	0.0012196128	0.0	0.0
segsize8	0.0	0.0	0.0	0.015587511	0.00585308	0.043600015	0.012368082	0.0007597648	0.0	0.0
segsize9	0.0	0.0	0.0	0.006982456	0.0004914546	0.025176	0.0101687955	0.0002807319	0.0	0.0
segsize10	0.0	0.0	0.0	0.0071110516	0.002588148	0.033911284	0.01971702	0.00021771704	0.0	0.0
segsize11	0.0	0.0	0.0	0.0059103235	0.0054402594	0.029318305	0.026081437	0.0	0.0	0.0
segsize12	0.0	0.0	0.0	0.0038235944	0.0069310465	0.018612482	0.029922169	0.0	0.0	0.0
segsize13	0.0	0.0	0.0	0.0013060903	0.006877003	0.008981353	0.022720883	0.0006567831	0.0	0.0
segsize14	4e-45	0.0	0.0	1.4826357e-26	0.006337225	0.003052093	0.015436305	0.0008555497	0.0	0.0
segsize15	0.0045838053	0.0050615915	0.0	0.0	0.013603591	1.0152023e-05	0.023230137	0.0021522287	0.010680444	0.0
segsize16	0.0	2.1620543e-05	0.0	0.0	0.0049285637	0.0	0.010120342	0.0017007944	0.081120074	0.0
segsize17	0.0	0.005947058	0.0	0.0	0.0042936136	0.0	0.014482598	0.0025167859	0.10177416	0.0
segsize18	0.0	0.0032956607	0.0	0.0	0.001927282	0.0	0.007221283	0.0018801427	0.078440815	0.0
segsize19	0.0	0.0013870171	0.0	0.0	0.0015056022	0.0	0.0055393837	0.0014464718	0.10337011	0.0
segsize20	0.0	0.0	0.0	0.0	3.7132763e-19	0.0	0.0019026526	0.0011176034	0.11345082	0.0
segsize21	0.0	0.0015251726	0.0	0.0	0.0	0.0	0.0031049105	0.0027506915	0.18611118	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032598742	0.3250524	0.0
changepoint1	0.37383443	0.0	0.012030765	0.0	0.00658948	0.0	0.0054638833	0.0071819215	0.0	0.0
changepoint2	0.6215738	0.0	0.0	0.0030239106	0.0	0.024838615	0.020652266	0.0019580508	0.0	0.0
changepoint3	0.0	0.0	0.0	0.31365994	0.0	0.0	0.060440887	0.006049135	0.0	0.0
changepoint4	0.0	0.0	4.738499e-36	0.16443479	0.14320508	0.004615906	0.04180125	0.004291575	0.0	0.0
changepoint5	0.0	0.0	2.4252634e-14	0.0030780286	0.44492757	1.1751263e-15	0.018080052	0.0008790378	0.0	0.0
changepoint6	0.0	0.25538835	0.0	0.0	0.052724827	0.005328711	0.0012099462	0.0	0.0	0.0
changepoint7	0.0	0.26825014	0.0	0.0	0.015298519	0.00058548397	7.64465e-08	0.0	0.0	0.0
changepoint8	0.0	0.23839551	9.771494e-05	3.222536e-24	0.014679318	0.0018948471	0.00014998966	2.105183e-06	0.0	0.0
changepoint9	0.0	0.16982108	5.1847448e-05	0.00019543666	0.004392598	0.0016670487	5.8983587e-06	4.794948e-06	0.0	0.09786036
changepoint10	0.0	0.050905842	0.00015265195	3.0321313e-05	0.0012403423	0.0007412451	0.0	3.877378e-24	0.0	0.89276683
bp10MB1	0.0	0.0	7.8273563e-28	0.0027529977	8.9783326e-27	0.006184354	0.20686182	0.60184824	0.0	0.0
bp10MB2	0.0	0.0	0.0	0.07088011	9.755932e-19	0.076535314	0.23612	0.23456101	0.0	0.0
bp10MB3	0.0	0.0	0.07074488	0.07833443	0.04821863	0.056864712	0.01820485	0.003496601	0.0	0.0
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07615731	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.0	0.03859406	0.040145095	0.0	0.0
bpchrarm3	0.0	0.0	0.021255856	0.024435991	0.00901546	0.0057687075	0.030510178	0.0012022833	0.0	0.0
bpchrarm4	0.0	0.0	0.007639338	0.006107024	0.00048854086	0.015831016	0.0	0.0	0.0	0.0
bpchrarm5	0.0	0.0	0.002963642	0.0009194269	0.0	0.0	0.0	0.0	0.0	0.009372877
osCN1	0.0	0.0	0.18825261	0.0	0.0	0.33030573	0.08396557	0.0012825895	0.0	0.0
osCN2	0.0	0.0	0.079772785	0.036705744	0.021636717	0.076005235	0.021166908	0.0	0.0	0.0
osCN3	8.032387e-06	0.0	0.0037235196	0.0076756864	0.003095703	0.0	0.0	0.0	0.0	0.0
