	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0012162474	0.0	0.0	0.17163299	0.0	0.0	0.0	5.9667596e-12	0.0	0.0
segsize2	0.001736467	0.0	0.0	0.14460291	0.0	0.0037315255	0.0031167902	1.873444e-14	0.0	0.0
segsize3	0.001882638	0.0	0.0	0.17388594	5.36119e-39	0.023229899	0.022141052	1.5559038e-12	0.0	0.0
segsize4	1.858769e-27	8.886401e-31	0.0	0.1404296	5.1198796e-05	0.06974704	0.060062665	0.033829734	0.0	0.0
segsize5	0.0	1.5572887e-14	0.0	0.0067945616	1.291e-41	0.061142884	0.044393793	0.058996916	0.0	0.0
segsize6	1.3548699e-07	1.87616e-40	0.0	0.0	2.1070208e-16	0.05077219	0.032048576	0.06883134	0.0	0.0
segsize7	0.009453623	0.0	0.0	0.0	0.0012612873	0.034460668	0.0148521345	0.0713176	0.0	0.0
segsize8	0.0126172425	0.0	0.0	0.0	0.00076062675	0.013955886	0.004259599	0.043211654	0.0	0.0
segsize9	0.010201978	0.0	1.596e-42	0.0	0.00028991577	0.0060889516	1.223144e-05	0.025429707	0.0	0.0
segsize10	0.019787204	0.0	0.0	0.0	0.00023623933	0.006652365	0.0014907788	0.033404663	0.0	0.0
segsize11	0.025960285	0.0	0.0	0.0	2.3838215e-22	0.0061624656	0.0044239154	0.029016476	0.0	0.0
segsize12	0.029822068	0.0	0.0	0.0	1.106399e-35	0.0043732086	0.006678925	0.01835299	0.0	0.0
segsize13	0.022794837	0.0	0.0	0.0	0.0005959257	0.0022993577	0.0064557274	0.008901358	0.0	0.0
segsize14	0.015260014	0.0	0.0	0.0	0.00091926195	1.9995106e-05	0.0061627803	0.0032392018	0.0	0.0
segsize15	0.023562333	2.5985212e-06	5.298368e-08	0.0	0.0023463499	0.0	0.013508055	0.0010011886	0.0	0.0070643094
segsize16	0.010184415	1.7946046e-23	0.0	0.0	0.0018029343	0.0	0.005304467	1.3888087e-38	0.0	0.07945393
segsize17	0.014589858	0.00764458	0.0	0.0	0.0025762285	0.0	0.0042016055	0.0	0.0	0.100576065
segsize18	0.007304071	0.0035806315	0.0	0.0	0.0019082981	0.0	0.0019025345	0.0	0.0	0.07733798
segsize19	0.005671256	0.0012672241	0.0	0.0	0.0015664265	0.0	0.0010674583	0.0	0.0	0.10330674
segsize20	0.0018843532	9.6306e-41	0.0	0.0	0.0010402426	0.0	0.00021484963	0.0	0.0	0.11652331
segsize21	0.0032171863	0.0013381881	0.0	0.0	0.0027799925	0.0	0.0	0.0	0.0	0.1871679
segsize22	0.0	0.0	0.0	0.0	0.0032946838	0.0	0.0	0.0	0.0	0.3285698
changepoint1	0.0056129815	0.0	0.3740723	0.012645475	0.007117712	0.0	0.0069093267	0.0	0.0	3.8e-44
changepoint2	0.020554213	0.0	0.6259221	0.0	0.0017834675	0.0034882117	0.0	0.023777405	0.0	0.0
changepoint3	0.058273375	0.0	0.0	1.8714002e-26	0.005529911	0.31398356	0.0	1.730493e-15	0.0	0.0
changepoint4	0.04090159	0.0	0.0	1.3040008e-33	0.0039672162	0.16344172	0.14518853	0.0047197808	0.0	0.0
changepoint5	0.018986912	0.0	0.0	7.683573e-27	0.00082567526	0.0022367707	0.44601104	5.6674047e-08	0.0	0.0
changepoint6	0.0013406407	0.26200762	0.0	0.0	0.0	0.0	0.05131191	0.005219155	0.0	0.0
changepoint7	3.1050098e-07	0.27264643	0.0	0.0	0.0	0.0	0.013890775	0.0010993348	0.0	0.0
changepoint8	0.00015959449	0.23829609	0.0	4.0108924e-05	1.4305364e-06	1.6026158e-24	0.014026465	0.00221709	0.008276444	0.0
changepoint9	2.5157467e-05	0.16635533	0.0	2.9965375e-07	4.886375e-06	0.00015084069	0.004237081	0.0017827435	0.10836863	0.0
changepoint10	1.5417302e-24	0.046861235	0.0	7.870573e-05	1.7567093e-06	2.1029664e-05	0.0013025003	0.00075233454	0.8757999	0.0
bp10MB1	0.20884213	0.0	0.0	7.7863377e-25	0.60223234	0.0060121045	9.5834795e-21	0.005536061	0.0	0.0
bp10MB2	0.2352362	0.0	0.0	0.0	0.23478879	0.07527883	1.2660167e-23	0.0759216	0.0	0.0
bp10MB3	0.017754259	0.0	0.0	0.069332324	0.0033919043	0.077407755	0.048128095	0.058351487	0.0	0.0
bpchrarm1	1.56e-43	0.0	0.0	0.0	0.07643332	0.0	0.0	1.77e-42	0.0	0.0
bpchrarm2	0.039076302	0.0	0.0	0.0	0.04013783	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.029978054	0.0	0.0	0.019342551	0.0010984801	0.02648183	0.010200175	0.005310747	0.0	0.0
bpchrarm4	0.0	0.0	0.0	0.006580397	0.0	0.005332659	0.00053579506	0.01633748	0.0	0.0
bpchrarm5	0.0	0.0	0.0	0.0045524873	0.0	0.0	0.00092388265	0.0	0.0075550573	0.0
osCN1	0.08521877	0.0	3.81e-43	0.17013139	0.0012556358	0.0	0.0	0.32620704	0.0	0.0
osCN2	0.020893391	0.0	0.0	0.07626719	0.0	0.036065593	0.021726461	0.07723481	0.0	0.0
osCN3	0.0	0.0	5.5502956e-06	0.00368294	0.0	0.0074625798	0.0033099812	0.0	0.0	0.0
