	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.0	0.15537766	1.0727298e-37	0.0	0.0010073213	0.0
segsize2	0.0031702886	0.0	0.0	0.0	0.0	0.13592833	0.0	0.0	0.0019212184	0.0
segsize3	0.021937365	0.018997727	0.0	0.0	0.0	0.16537899	0.0	0.0	0.0018842982	0.0
segsize4	0.06664193	0.056251824	1.1243694e-38	5.032201e-05	0.0	0.14254554	0.033911433	0.0	7.06416e-40	0.0
segsize5	0.05934798	0.04267152	1.9818273e-18	0.0	0.0	0.014205667	0.05955064	0.0	0.0	0.0
segsize6	0.04987035	0.032036126	0.0	2.3054059e-11	0.0	0.0	0.0701515	0.0	1.0298196e-11	0.0
segsize7	0.034373544	0.015163444	0.0	0.0012343135	0.0	0.0	0.07259303	0.0	0.009247538	0.0
segsize8	0.014189449	0.0046847183	0.0	0.0007001407	0.0	0.0	0.04381632	0.0	0.012564715	0.0
segsize9	0.006399682	0.0002904918	0.0	0.00022612688	0.0	0.0	0.025374645	0.0	0.010188656	0.0
segsize10	0.007009139	0.0017958469	0.0	9.983323e-05	0.0	0.0	0.033573095	0.0	0.020017691	0.0
segsize11	0.00599738	0.0043008975	0.0	0.0	0.0	0.0	0.029380439	0.0	0.026009316	0.0
segsize12	0.0044574114	0.0065203104	0.0	0.0	0.0	0.0	0.018464852	0.0	0.029851576	0.0
segsize13	0.004177665	0.0092859	0.0	0.0	0.0	0.0	0.0072141243	0.0	0.023293357	0.0
segsize14	0.0005102763	0.0063408837	0.0	0.0007830107	0.0	0.0	0.0031045051	0.0	0.015337819	0.0
segsize15	0.0	0.014778492	7.078807e-31	0.002220374	0.007166734	0.0	0.00055465073	1.8972131e-29	0.023686362	0.0
segsize16	0.0	0.0059141275	7.363149e-16	0.0016947951	0.08047802	0.0	0.0	0.0	0.010211348	0.0
segsize17	0.0	0.005177303	0.0047870297	0.0025198448	0.09984193	0.0	0.0	0.0	0.014674102	0.0
segsize18	0.0	0.0020133124	0.0034631502	0.0018902556	0.07725776	0.0	0.0	0.0	0.007278291	0.0
segsize19	0.0	0.0017374465	4.476559e-07	0.0014594552	0.105181925	0.0	0.0	0.0	0.005705114	0.0
segsize20	0.0	1.5644246e-11	0.0	0.0010371794	0.11473737	0.0	0.0	0.0	0.0018892275	0.0
segsize21	0.0	0.0	1.054331e-14	0.0027445895	0.1896699	0.0	0.0	0.0	0.0032123027	0.0
segsize22	0.0	0.0	0.0	0.0033203207	0.32566634	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0	0.00641867	0.0	0.007295148	3.75139e-40	0.012412461	0.0	0.37331223	0.005736989	0.0
changepoint2	0.0028154224	0.0	0.0	0.0019675735	0.0	0.0	0.024058495	0.6266803	0.020924076	0.0
changepoint3	0.30294782	0.0	0.0	0.0052985963	0.0	0.0	1.004619e-39	0.0	0.05821468	0.0
changepoint4	0.16071776	0.14606416	0.0	0.0037473876	0.0	2.2e-44	0.0066001373	0.0	0.040041313	0.0
changepoint5	0.010054826	0.45398927	0.0	0.0003207512	0.0	0.00041381005	0.0042085545	0.0	0.016623022	0.0
changepoint6	0.0	0.05195549	0.26485798	0.0	0.0	0.0	0.006645787	0.0	0.0011305514	0.0
changepoint7	0.0	0.014129756	0.27450162	0.0	0.0	0.0	0.0016454364	0.0	8.656091e-08	0.0
changepoint8	2.890273e-25	0.01410767	0.23861398	0.0	0.0	0.00021675066	0.0028086968	0.0	0.00013260497	0.010609147
changepoint9	0.00017911292	0.0042358516	0.1673434	3.967791e-06	0.0	1.0417487e-05	0.0020525476	0.0	1.0144653e-05	0.10987983
changepoint10	5.1012983e-05	0.0012735592	0.046432436	8.0411615e-07	0.0	0.0001004353	0.0008237375	0.0	1.9315974e-15	0.8739748
bp10MB1	0.017188763	7.286065e-36	0.0	0.60437113	0.0	1.624756e-31	1.9304178e-05	0.0	0.20887063	0.0
bp10MB2	0.07975488	4.4121144e-22	0.0	0.23468548	0.0	0.0	0.07176033	0.0	0.23654193	0.0
bp10MB3	0.074689195	0.047011815	0.0	0.0033978939	0.0	0.07247877	0.058505997	0.0	0.017570263	0.0
bpchrarm1	0.0	0.0	0.0	0.07673708	0.0	0.0	0.0	0.0	3.9183065e-19	0.0
bpchrarm2	0.0	0.0	0.0	0.040406335	0.0	0.0	0.0	0.0	0.038942136	0.0
bpchrarm3	0.025383737	0.009845244	0.0	0.0009277782	0.0	0.019322585	0.005138132	0.0	0.030502371	0.0
bpchrarm4	0.005693565	7.25965e-05	0.0	0.0	0.0	0.007291121	0.016083974	0.0	0.0	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0063604233	0.0	0.0	0.0	0.0055361534
osCN1	0.0	0.0	0.0	0.0008595237	0.0	0.18511343	0.32486805	0.0	0.08590321	0.0
osCN2	0.03519792	0.019862501	0.0	0.0	0.0	0.0792133	0.07709159	0.0	0.020875739	0.0
osCN3	0.0072435206	0.0030730348	0.0	0.0	0.0	0.0036303343	0.0	7.481181e-06	0.0	0.0
