	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.00022392803	0.0	0.0	0.16188316	0.0021137146	0.0	0.0	0.0
segsize2	0.005323898	0.0	0.001475913	0.0	0.0	0.14060052	3.3126402e-20	0.0	0.0	2.478077e-13
segsize3	0.024725059	0.0	0.0014679766	0.0	0.0	0.16577588	5.290506e-17	1.95656e-40	0.0	0.02044243
segsize4	0.07159657	4.7508343e-24	4.4866113e-28	0.0	0.0	0.13924663	0.028619248	4.77114e-05	9.7652834e-17	0.05928175
segsize5	0.06315138	0.014670897	0.0	0.0	0.0	0.010080569	0.05062075	0.0	0.0	0.044092476
segsize6	0.0519824	3.1609207e-15	0.0	0.0	0.0	0.0	0.06295743	9.770983e-18	0.0	0.033444695
segsize7	0.03506821	0.0	0.008686366	0.0	0.0	0.0	0.06779404	0.0012943579	0.0	0.0164065
segsize8	0.014169595	0.0	0.01196707	0.0	0.0	0.0	0.04238161	0.0007590674	0.0	0.0052371616
segsize9	0.0059246523	0.0	0.009755315	0.0	0.0	0.0	0.025260773	0.00028420257	0.0	0.0002051865
segsize10	0.0059976415	0.0	0.01917648	0.0	0.0	0.0	0.034758084	0.0002467334	0.0	0.0015285077
segsize11	0.0053624716	0.0	0.025245722	0.0	0.0	0.0	0.030894097	3.0032312e-18	0.0	0.00440913
segsize12	0.0032150168	0.0	0.029326163	0.0	0.0	0.0	0.021442827	1.760325e-37	0.0	0.0060133785
segsize13	0.001044193	0.0	0.022325931	0.0	0.0	0.0	0.011515382	0.0006069441	0.0	0.0062734955
segsize14	8.3057e-16	0.0	0.015289668	0.0	0.0	0.0	0.0048273625	0.00083181995	2.2181285e-33	0.005064332
segsize15	0.0	1.0206451e-09	0.023066206	0.0	0.0010598442	0.0	0.0014985056	0.0022113882	0.009766514	0.016241342
segsize16	0.0	7.6309177e-16	0.010395221	0.0	0.07681063	0.0	1.3028017e-06	0.001828125	0.0	0.0064613465
segsize17	0.0	0.008217182	0.014990733	0.0	0.09803436	0.0	0.0	0.0024967347	0.0	0.005477135
segsize18	0.0	0.0049645756	0.0075522317	0.0	0.077133395	0.0	0.0	0.0018855776	0.0	0.0019380747
segsize19	0.0	0.0018393495	0.0059288745	0.0	0.104935355	0.0	0.0	0.0014485138	0.0	0.001639489
segsize20	0.0	2.1389682e-37	0.002060842	0.0	0.11742375	0.0	0.0	0.0010382255	0.0	4.6769605e-14
segsize21	0.0	1.4334726e-05	0.003492351	0.0	0.19058861	0.0	0.0	0.0026924186	0.0	0.0
segsize22	0.0	0.0	0.0	0.0	0.33401406	0.0	0.0	0.0033387537	0.0	0.0
changepoint1	2.8594797e-36	0.0	0.005598311	0.0	1.068411e-26	0.013485702	1.5375787e-31	0.0070714685	0.37054065	0.007114566
changepoint2	0.0025914006	0.0	0.019600721	0.0	0.0	0.0	0.025815858	0.0018395528	0.619687	0.0
changepoint3	0.30530107	0.0	0.06226296	0.0	0.0	0.0	8.621473e-22	0.00566156	0.0	0.0
changepoint4	0.15975127	0.0	0.042705722	0.0	2.3787907e-28	1.8642007e-33	0.0055882856	0.0041384483	0.0	0.14172988
changepoint5	0.0037760034	0.0	0.018417869	0.0	1e-43	0.00021742904	7.44554e-10	0.0008335975	0.0	0.44403005
changepoint6	0.0	0.25235957	0.001284982	0.0	0.0	0.0	0.0045557683	0.0	0.0	0.052358624
changepoint7	0.0	0.26529673	2.1291275e-07	0.0	0.0	0.0	0.0004537897	0.0	0.0	0.014769783
changepoint8	1.3869662e-26	0.23493262	0.0001677561	0.0	2.544601e-39	0.00013570594	0.0015679416	3.7556536e-20	0.0	0.014393041
changepoint9	0.00019304916	0.1673341	1.4032456e-05	0.09819173	0.0	9.010691e-06	0.0013264668	4.7753456e-06	0.0	0.0043524527
changepoint10	5.397014e-05	0.05037065	6.537002e-14	0.89112	0.0	0.00011579706	0.00057224324	2.201005e-13	0.0	0.001261666
bp10MB1	0.014828375	0.0	0.21319787	0.0	0.0	2.562924e-22	0.015584433	0.6023352	0.0	5.1830247e-17
bp10MB2	0.07107131	0.0	0.23690937	0.0	0.0	4.58e-43	0.09084387	0.23470089	0.0	7.192108e-18
bp10MB3	0.07771559	0.0	0.017247641	0.0	0.0	0.06786196	0.054231334	0.003442398	0.0	0.049614474
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07661533	0.0	0.0
bpchrarm2	0.0	0.0	0.041144397	0.0	0.0	0.0	0.0	0.040096603	0.0	0.0
bpchrarm3	0.025462857	0.0	0.029932948	0.0	0.0	0.0175351	0.008401131	0.0010533638	0.0	0.0098382905
bpchrarm4	0.0058879876	0.0	0.0	0.0	0.0	0.00634097	0.014390689	0.0	0.0	0.00094902917
bpchrarm5	0.0009933528	0.0	0.0	0.010688264	0.0	0.00234962	0.0	0.0	0.0	0.0
osCN1	0.0	0.0	0.0793715	0.0	0.0	0.19138049	0.31853616	0.0011962018	0.0	0.0
osCN2	0.03729321	0.0	0.019716682	0.0	0.0	0.07986394	0.07344688	0.0	0.0	0.022192206
osCN3	0.007519599	0.0	0.0	0.0	0.0	0.0031173942	0.0	0.0	5.838697e-06	0.003239589
