	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	2.6159705e-33	0.00050703966	0.18154043	0.0027348825	0.0	0.0	0.0	0.0	0.0	0.0
segsize2	0.00085413264	0.006757636	0.14962369	0.0	0.0	0.0	0.0	0.0	0.0	0.0050474713
segsize3	0.0011571965	0.02954071	0.17209649	0.0	0.0	0.0	0.0	0.0	0.0	0.024357462
segsize4	0.0	0.08371904	0.12358764	0.02571111	0.003970558	0.0	0.02615794	0.0	0.0	0.059183642
segsize5	0.0	0.07075767	1.8299232e-05	0.049240347	0.0	0.0	0.023019906	0.0	0.0	0.041509304
segsize6	0.0	0.054412007	0.0	0.063271075	0.0	0.00025198274	0.0	0.0	0.0	0.028836528
segsize7	0.008654853	0.035064	0.0	0.06788427	0.0	0.0014505052	0.0	0.0	0.0	0.013004054
segsize8	0.01183996	0.012630821	0.0	0.042641167	0.0	0.0007793444	0.0	0.0	0.0	0.003656657
segsize9	0.009730515	0.0048627867	0.0	0.02513311	0.0	0.00024003895	0.0	0.0	0.0	5.236663e-07
segsize10	0.019024245	0.003373256	0.0	0.034677986	0.0	8.902057e-05	0.0	0.0	0.0	0.0017224787
segsize11	0.025033977	0.0012382355	0.0	0.031592313	0.0	0.0	0.0	0.0	0.0	0.0042346143
segsize12	0.028773202	0.0	0.0	0.021781322	0.0	0.0	0.0	0.0	0.0	0.006596924
segsize13	0.022823956	3.4145762e-23	0.0	0.0100602405	0.0	0.0	0.0	0.0	0.0	0.009130177
segsize14	0.015080205	0.0	0.0	0.0041122576	1.6446845e-22	0.00059405033	1.9042497e-30	0.0	0.0	0.006938233
segsize15	0.02354143	0.0	0.0	2.338193e-09	0.013598539	0.0	0.010626451	0.0	0.042576384	0.015018065
segsize16	0.010066269	0.0	0.0	0.0	0.0	0.0014667962	0.004349706	0.0	0.078771204	0.0060611083
segsize17	0.0144959865	0.0	0.0	0.0	0.0	0.0021042554	0.011740143	0.0	0.102143325	0.004626728
segsize18	0.007334691	0.0	0.0	0.0	0.0	0.0017205168	0.0064781928	0.0	0.074050486	0.0021735674
segsize19	0.0056502228	0.0	0.0	0.0	0.0	0.0013653907	0.004035729	0.0	0.10015131	0.0014839554
segsize20	0.0018842849	0.0	0.0	0.0	0.0	0.0010174621	0.0	0.0	0.110333435	0.00035951543
segsize21	0.003109141	0.0	0.0	0.0	0.0	0.0027454824	0.0037112767	0.0	0.17876802	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.003373131	0.0	0.0	0.31320584	0.0
changepoint1	0.00564496	0.0	0.012314204	0.0	0.37056956	0.0069547636	0.0	0.0	0.0	0.007984488
changepoint2	0.020429494	7.3357e-41	0.0	0.0256884	0.6118588	0.0015232475	0.0	0.0	0.0	0.0
changepoint3	0.069770314	0.31557393	0.0	4e-44	0.0	0.0046437928	0.0	0.0	0.0	0.0
changepoint4	0.045435272	0.16399005	0.0	0.0067456746	0.0	0.0036564828	0.0	0.0	0.0	0.14054313
changepoint5	0.016071511	0.0008358902	0.0	9.345654e-18	0.0	0.00080337736	0.0	0.0	0.0	0.44503322
changepoint6	0.0	0.0	0.0	0.0062369322	0.0	0.0	0.2338564	0.0	0.0	0.053135704
changepoint7	0.0	0.0	0.0	0.00076661445	0.0	0.0	0.24690796	0.0	0.0	0.014243606
changepoint8	6.468542e-05	2.0083635e-13	3.5045614e-10	0.0018738259	0.0	3.8991916e-06	0.21895583	0.0	0.0	0.013957551
changepoint9	0.0	0.00015648833	2.1621339e-16	0.001565341	0.0	7.388224e-06	0.15797514	0.09231796	0.0	0.0040628854
changepoint10	0.0	0.0	0.00015078063	0.0006524378	0.0	4.434775e-07	0.05218532	0.8970046	0.0	0.0011472453
bp10MB1	0.2138214	9.598413e-08	0.0	0.0148973195	0.0	0.6078205	0.0	0.0	0.0	4.071869e-34
bp10MB2	0.23880346	0.0549254	0.0	0.09304228	0.0	0.2345894	0.0	0.0	0.0	7.249121e-23
bp10MB3	0.017739879	0.08218035	0.06499778	0.05520849	0.0	0.0035233041	0.0	0.0	0.0	0.047875304
bpchrarm1	3.6714664e-22	0.0	0.0	0.0	0.0	0.0776681	0.0	0.0	0.0	0.0
bpchrarm2	0.04071749	0.0	0.0	0.0	0.0	0.039873034	0.0	0.0	0.0	0.0
bpchrarm3	0.030342039	0.023475628	0.017916482	0.0084356805	0.0	0.00074162026	0.0	0.0	0.0	0.012251956
bpchrarm4	0.0	0.007292942	0.004954373	0.013971027	0.0	0.0	0.0	0.0	0.0	0.00051244453
bpchrarm5	0.0	0.001186506	0.0022732976	0.0	0.0	0.0	0.0	0.010677419	0.0	0.0
osCN1	0.07358049	0.0	0.19063291	0.31694737	0.0	0.0009927036	0.0	0.0	0.0	0.0
osCN2	0.018524759	0.039064765	0.077512026	0.07512019	0.0	0.0	0.0	0.0	0.0	0.021778664
osCN3	0.0	0.008454793	0.0023815134	8.364742e-06	2.5928641e-06	0.0	0.0	0.0	0.0	0.0035327799
