	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0010279802	0.0	0.0	0.0	0.0	0.0	0.1640983	0.0	8.470045e-11	0.0
segsize2	0.0016094041	1.6463459e-36	0.0	0.0	0.0	0.0027520848	0.13882826	0.0	0.0	0.0036365332
segsize3	0.0016810423	0.0	0.0	0.0	0.0	0.021560306	0.16771814	0.0	5.108654e-15	0.02276004
segsize4	2.3393e-41	7.401741e-05	2.44002e-35	1.5841521e-18	0.0	0.05968283	0.13793296	0.0	0.034718204	0.06873032
segsize5	0.0	0.0	0.0	0.011867544	0.0	0.044134174	0.0078263255	0.0	0.059472598	0.06143997
segsize6	0.002776346	7.7897396e-25	0.0	1.3514e-31	0.0	0.029676676	0.0	0.0	0.07013196	0.047777563
segsize7	0.010419181	0.0012035252	0.0	0.0	0.0	0.015600041	0.0	0.0	0.07316873	0.034091204
segsize8	0.013131322	0.0007556113	0.0	0.0	0.0	0.004867618	0.0	0.0	0.044143	0.014058267
segsize9	0.010581877	0.00027243886	0.0	0.0	0.0	0.000119816345	0.0	0.0	0.02543547	0.0062879063
segsize10	0.020301344	0.00022334703	0.0	0.0	0.0	0.0021193335	0.0	0.0	0.033899505	0.0067182854
segsize11	0.026380152	0.0	0.0	0.0	0.0	0.0048164823	0.0	0.0	0.028878644	0.0062919394
segsize12	0.029789224	0.0	0.0	0.0	0.0	0.007372599	0.0	0.0	0.018407363	0.004945238
segsize13	0.0225275	0.00070134347	0.0	0.0	0.0	0.0075385068	0.0	0.0	0.008607573	0.0019410981
segsize14	0.015495144	0.0008894972	0.0	0.0	0.0	0.004967241	0.0	0.0	0.0035773118	2.5740322e-08
segsize15	0.023091936	0.0023583313	1.3820659e-18	6.616627e-10	0.0	0.014605208	0.0	0.009822871	0.0004380716	0.0
segsize16	0.010100977	0.0017595722	0.0	6.419772e-07	0.0	0.005257112	0.0	0.07979602	0.0	0.0
segsize17	0.014306651	0.0025901601	0.0	0.005617398	0.0	0.004864686	0.0	0.100481644	0.0	0.0
segsize18	0.007211679	0.001944141	0.0	0.0022392678	0.0	0.0018352751	0.0	0.077420115	0.0	0.0
segsize19	0.005573523	0.0014965804	0.0	0.0012877426	0.0	0.0014361464	0.0	0.10418279	0.0	0.0
segsize20	0.0018538613	0.0010453507	0.0	0.0	0.0	0.0	0.0	0.116184525	0.0	0.0
segsize21	0.0031216003	0.002734291	0.0	4.6919465e-07	0.0	0.0	0.0	0.18734446	0.0	0.0
segsize22	0.0	0.00328689	0.0	0.0	0.0	0.0	0.0	0.32476762	0.0	0.0
changepoint1	0.0054000863	0.0071511893	0.37466934	0.0	0.0	0.006955278	0.012120053	2.56e-43	0.0	0.0
changepoint2	0.020834802	0.0018602579	0.6253247	0.0	0.0	0.0	0.0	0.0	0.02443055	0.0029503896
changepoint3	0.057937503	0.005830922	0.0	0.0	0.0	0.0	0.0	0.0	2.5e-44	0.30428228
changepoint4	0.040763382	0.0042023584	0.0	0.0	0.0	0.14297743	0.0	1.4e-44	0.0049451645	0.15983218
changepoint5	0.01838394	0.00081735	0.0	0.0	0.0	0.4446376	0.0011207723	0.0	4.2084062e-16	0.0061452677
changepoint6	0.0015230246	0.0	0.0	0.25698203	0.0	0.052497342	0.0	0.0	0.0040225848	0.0
changepoint7	1.9076558e-07	0.0	0.0	0.26471454	0.0	0.014922179	0.0	0.0	0.00029913	0.0
changepoint8	0.00020901985	0.0	0.0	0.2347104	0.0	0.014387782	0.00014765149	0.0	0.0015705988	1.5951182e-18
changepoint9	2.7893633e-05	5.505345e-06	0.0	0.16811615	0.09678098	0.004253005	4.7733392e-05	0.0	0.001462889	0.00016952583
changepoint10	0.0	1.8429624e-26	0.0	0.051894937	0.899797	0.0011616716	0.00017722757	0.0	0.0007248343	1.9265757e-05
bp10MB1	0.20239368	0.6016925	0.0	0.0	0.0	1.1214361e-29	2.4476943e-35	0.0	1.3342813e-05	0.020435603
bp10MB2	0.233208	0.23482549	0.0	0.0	0.0	3.2310279e-21	0.0	0.0	0.07354278	0.07741459
bp10MB3	0.018513044	0.0034695424	0.0	0.0	0.0	0.049947724	0.068757966	0.0	0.058100715	0.0754532
bpchrarm1	0.0	0.07608551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.037896775	0.04048507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.030038673	0.0011154485	0.0	0.0	0.0	0.009772652	0.019464724	0.0	0.0051481784	0.02634778
bpchrarm4	0.0	0.0	0.0	0.0	0.0	0.00052071695	0.0069781975	0.0	0.016967362	0.0054810783
bpchrarm5	0.0	0.0	0.0	0.0025689015	0.0034220228	0.0	0.0053459825	0.0	0.0	0.0
osCN1	0.08978457	0.0011237469	0.0	0.0	0.0	0.0	0.18700694	0.0	0.33073553	0.0
osCN2	0.02210467	0.0	0.0	0.0	0.0	0.021580976	0.07854646	0.0	0.0771579	0.03549788
osCN3	0.0	0.0	5.926255e-06	0.0	0.0	0.0031794778	0.0038824137	0.0	0.0	0.0072925114
