	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.16953664	0.0	0.0	0.0	0.0	5.964584e-17	0.0023810414
segsize2	0.0	0.004785214	0.0	0.14175934	0.0	0.0	0.0	0.0037609318	0.0010899833	0.00054094987
segsize3	0.0	0.026763773	0.0	0.16729996	0.0	0.0	0.0	0.022802496	0.0014494772	0.0
segsize4	0.0	0.0807899	2.1478931e-34	0.12861598	0.028925717	0.0042969	0.0	0.05818274	0.0	0.023985323
segsize5	0.0	0.07056926	0.0	0.005598096	0.026614439	0.0	0.0	0.04104414	0.0	0.047262188
segsize6	0.0	0.055194337	0.00024861575	0.0	1.8818004e-19	0.0	0.0	0.028798345	0.0	0.062187746
segsize7	0.0	0.03663505	0.0014461823	0.0	0.0	0.0	0.0	0.013511449	0.007961307	0.06759763
segsize8	0.0	0.013804148	0.0007900588	0.0	0.0	0.0	0.0	0.003708854	0.011319691	0.04254833
segsize9	0.0	0.0055740527	0.00021725877	0.0	0.0	0.0	0.0	1.0015666e-14	0.009377644	0.025269896
segsize10	0.0	0.004472041	6.428352e-05	0.0	0.0	0.0	0.0	0.0017551476	0.01853202	0.03491608
segsize11	0.0	0.0016107704	0.0	0.0	0.0	0.0	0.0	0.0029726222	0.024482276	0.032712866
segsize12	0.0	1.1154e-41	0.0	0.0	0.0	0.0	0.0	0.005320374	0.028346691	0.023091227
segsize13	0.0	3.813592e-33	0.0	0.0	0.0	0.0	0.0	0.008813262	0.022737663	0.010453674
segsize14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008630497	0.015902642	0.0036374943
segsize15	0.0	0.0	0.0	0.0	0.011013827	0.014547115	0.03700864	0.016376859	0.023537539	4.1946556e-18
segsize16	0.0	0.0	0.0013594778	0.0	0.0027923575	0.0	0.07996377	0.0060820985	0.010420887	0.0
segsize17	0.0	0.0	0.002089122	0.0	0.0114293825	0.0	0.09970427	0.00462947	0.014738181	0.0
segsize18	0.0	0.0	0.0016555745	0.0	0.005571101	0.0	0.07608741	0.0025524034	0.0073948517	0.0
segsize19	0.0	0.0	0.0013023367	0.0	0.0043291934	0.0	0.100175	0.0012963484	0.0057746354	0.0
segsize20	0.0	0.0	0.0010938925	0.0	0.0	0.0	0.1106534	0.0004777105	0.0019355214	0.0
segsize21	0.0	0.0	0.0026035612	0.0	0.0036131728	0.0	0.18129712	0.0	0.003238246	0.0
segsize22	0.0	0.0	0.0034491287	0.0	0.0	0.0	0.31511036	0.0	0.0	0.0
changepoint1	0.0	0.0	0.006965064	0.012284583	0.0	0.36860242	0.0	0.007839039	0.0057144985	0.0
changepoint2	0.0	0.00049824256	0.0014572185	0.0	0.0	0.6125427	0.0	0.0	0.019881574	0.026036378
changepoint3	0.0	0.31497815	0.004566087	0.0	0.0	0.0	0.0	0.0	0.06809156	0.0
changepoint4	0.0	0.16432117	0.0034082197	0.0	0.0	0.0	0.0	0.14245664	0.044699036	0.007579092
changepoint5	0.0	0.0038852463	0.0004069121	0.0	0.0	0.0	0.0	0.4506487	0.016053805	0.0018438261
changepoint6	0.0	0.0	0.0	0.0	0.23323007	0.0	0.0	0.052436203	0.0	0.0064348443
changepoint7	0.0	0.0	0.0	0.0	0.24303983	0.0	0.0	0.013703224	0.0	0.00062389043
changepoint8	0.0	3.9815786e-05	1.0335225e-06	1.4448914e-07	0.21672298	0.0	0.0	0.013619236	9.557228e-05	0.0015144139
changepoint9	0.09006915	0.00019209487	8.536652e-06	5.9030554e-05	0.15742457	0.0	0.0	0.0038559982	6.178947e-21	0.001198212
changepoint10	0.90706164	5.101592e-05	5.1025337e-33	0.00015285135	0.05145194	0.0	0.0	0.0010190402	0.0	0.00053006766
bp10MB1	0.0	2.6133873e-06	0.60936725	0.0	0.0	0.0	0.0	2.8787935e-36	0.21881235	0.016283717
bp10MB2	0.0	0.05616087	0.23443718	0.0	0.0	0.0	0.0	3.7702165e-32	0.23981011	0.09437479
bp10MB3	0.0	0.08143349	0.003464875	0.067013465	0.0	0.0	0.0	0.047817152	0.017322049	0.054876294
bpchrarm1	0.0	0.0	0.078267336	0.0	0.0	0.0	0.0	0.0	1.7345337e-15	0.0
bpchrarm2	0.0	0.0	0.039723348	0.0	0.0	0.0	0.0	0.0	0.041271765	0.0
bpchrarm3	0.0	0.024301196	0.00060960953	0.013886327	0.0	0.0	0.0	0.012299977	0.030278418	0.00899685
bpchrarm4	0.0	0.0071218805	0.0	0.0068126065	0.0	0.0	0.0	3.3172066e-05	0.0	0.013820644
bpchrarm5	0.002869243	0.0	0.0	0.004688799	0.0038413592	0.0	0.0	0.0	0.0	0.0
osCN1	0.0	0.0	0.0009978658	0.19907296	0.0	0.0	0.0	0.0	0.07158383	0.31458285
osCN2	0.0	0.038509652	0.0	0.08030945	0.0	0.0	0.0	0.020235438	0.01814623	0.07471963
osCN3	0.0	0.008305973	0.0	0.0029098254	0.0	1.0948125e-05	0.0	0.0033204474	0.0	0.0
