	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0025735034	0.0	0.1768788	3.6273304e-11	0.0	0.0	0.0	0.00071432255	0.0	0.0
segsize2	1.9387048e-08	0.0	0.14626537	0.000805078	0.0	0.0	0.0050852173	0.0064996355	0.0	0.0
segsize3	2.9336605e-28	0.0	0.17023386	0.0009283132	0.0	0.0	0.024647865	0.028093332	0.0	0.0
segsize4	0.029048862	0.0	0.13259064	3.5188e-41	7.0964727e-09	0.0	0.062111676	0.076935016	1.0869887e-29	1.5341006e-07
segsize5	0.050534364	0.0	0.0022568195	0.0	0.0	0.0	0.043560762	0.06609455	0.0	0.015086429
segsize6	0.06274331	0.0	0.0	0.0	0.0	0.0	0.031037388	0.05247273	0.00011021783	2.4795963e-28
segsize7	0.06724093	0.0	0.0	0.009028388	0.0	0.0	0.013966031	0.034266405	0.0013636372	0.0
segsize8	0.04228173	0.0	0.0	0.012058587	0.0	0.0	0.003705239	0.013057234	0.0008199761	0.0
segsize9	0.024609776	0.0	0.0	0.009899074	0.0	0.0	6.496344e-10	0.0055064657	0.00028616964	0.0
segsize10	0.0341899	0.0	0.0	0.01918933	0.0	0.0	0.0011591925	0.0050867884	0.00023289918	0.0
segsize11	0.03060014	0.0	0.0	0.025649464	0.0	0.0	0.0035599682	0.0037582477	5.062898e-24	0.0
segsize12	0.021047946	0.0	0.0	0.029218301	0.0	0.0	0.006273342	0.0025170208	0.0	0.0
segsize13	0.011109654	0.0	0.0	0.022690369	0.0	0.0	0.0060020443	2.5200296e-05	0.00057394337	0.0
segsize14	0.004479056	0.0	0.0	0.015182847	4.203272e-33	0.0	0.0057606823	0.0	0.0007858345	0.0
segsize15	0.0013584376	0.0034175448	0.0	0.023224702	0.0065601347	0.0	0.015979977	0.0	0.0021469689	4.7189824e-05
segsize16	7.720848e-16	0.07840437	0.0	0.010238448	0.0	0.0	0.0068724034	0.0	0.0017552557	1.0862179e-08
segsize17	0.0	0.09944594	0.0	0.014984188	0.0	0.0	0.0053655887	0.0	0.0024839912	0.008556505
segsize18	0.0	0.07601045	0.0	0.007362157	0.0	0.0	0.0024050146	0.0	0.0019040571	0.00580653
segsize19	0.0	0.10152625	0.0	0.005845789	0.0	0.0	0.0018343336	0.0	0.0015268893	0.002387969
segsize20	0.0	0.113912955	0.0	0.0020210962	0.0	0.0	6.9215115e-05	0.0	0.0011353096	9.319481e-06
segsize21	0.0	0.18898615	0.0	0.0034070434	0.0	0.0	0.0	0.0	0.0027691575	0.0027904154
segsize22	0.0	0.33829638	0.0	0.0	0.0	0.0	0.0	0.0	0.003256488	0.0
changepoint1	9.2e-44	0.0	0.012404531	0.0054426612	0.37385377	0.0	0.007931621	0.0	0.0070748734	0.0
changepoint2	0.026000077	0.0	0.0	0.019961493	0.6195773	0.0	0.0	1.0044398e-05	0.0019312616	0.0
changepoint3	9.9331775e-26	0.0	0.0	0.064586096	0.0	0.0	0.0	0.31683522	0.005341609	0.0
changepoint4	0.0058670375	2.9e-43	0.0	0.043930706	0.0	0.0	0.1396704	0.16405825	0.0040234323	0.0
changepoint5	1.105062e-14	0.0	0.0	0.018548736	0.0	0.0	0.4381446	8.626051e-06	0.0010159793	0.0
changepoint6	0.0044253846	0.0	0.0	0.001175658	0.0	0.0	0.0523379	0.0	0.0	0.25199816
changepoint7	0.00035335618	0.0	0.0	0.0	0.0	0.0	0.015308251	0.0	0.0	0.26377872
changepoint8	0.0015584885	0.0	8.663919e-10	0.00014013967	0.0	0.0	0.01473388	1.9576333e-23	1.8940901e-06	0.23435877
changepoint9	0.0013977402	0.0	1.1844774e-10	8.757856e-18	0.0	0.09948296	0.004524288	0.00017963546	5.9379868e-06	0.16603638
changepoint10	0.00063842064	0.0	0.00015270853	0.0	0.0	0.888334	0.001316069	1.5466663e-22	7.6737837e-07	0.04914348
bp10MB1	0.02132717	0.0	8.334494e-36	0.2119856	0.0	0.0	9.85891e-14	0.0005128815	0.6029593	0.0
bp10MB2	0.09215831	0.0	0.0	0.23678459	0.0	0.0	2.0279617e-16	0.06416873	0.23416558	0.0
bp10MB3	0.054615	0.0	0.06584853	0.017648203	0.0	0.0	0.049638424	0.07974895	0.003506569	0.0
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07678356	0.0
bpchrarm2	0.0	0.0	0.0	0.040991597	0.0	0.0	0.0	0.0	0.03975553	0.0
bpchrarm3	0.008333197	0.0	0.018224996	0.029872552	0.0	0.0	0.010160459	0.025628509	0.0010945622	0.0
bpchrarm4	0.01446348	0.0	0.004437618	0.0	0.0	0.0	0.00085329474	0.0063881245	0.0	0.0
bpchrarm5	0.0	0.0	0.0018647504	0.0	0.0	0.012183105	0.0	0.0010985498	0.0	0.0
osCN1	0.31369013	0.0	0.18911353	0.07771603	0.0	0.0	0.0	0.0	0.0011884077	0.0
osCN2	0.07335457	0.0	0.07726939	0.019482765	0.0	0.0	0.02257221	0.038371112	0.0	0.0
osCN3	0.0	0.0	0.0024584674	0.0	8.794344e-06	0.0	0.0034127212	0.007964415	0.0	0.0
