	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0010681883	0.0	0.0	0.1587556	4.3194e-41	0.0021718931	0.0	0.0
segsize2	0.0043677078	0.0	0.006349539	0.0	0.0	0.13189177	0.0007931586	0.0	0.0	0.0
segsize3	0.022543414	0.0	0.027335647	0.0	0.0	0.15405206	0.0010122893	0.0	0.0	0.0
segsize4	0.08030745	0.026740631	0.08818825	0.0	0.0	0.13413724	0.0	0.0	0.0	0.0
segsize5	0.04769244	0.0	0.06990157	0.0	0.0	0.011173058	0.0	0.043552928	0.0	0.022043714
segsize6	0.031960834	0.0	0.052834682	0.0	0.0	0.0	0.0016654067	0.061293203	0.0001574383	6.676736e-08
segsize7	0.016043179	0.0	0.035326377	0.0	0.0	0.0	0.008392775	0.07032569	0.0014974134	0.0
segsize8	0.0044533797	0.0	0.0133000305	0.0	0.0	0.0	0.011555392	0.045307633	0.000858222	0.0
segsize9	1.3190928e-05	0.0	0.0053156996	0.0	0.0	0.0	0.0094963405	0.027328467	0.00031550377	0.0
segsize10	0.0009795519	0.0	0.0044634766	0.0	0.0	0.0	0.018522203	0.038245887	0.00027321422	0.0
segsize11	0.0034045991	0.0	0.0028757802	0.0	0.0	0.0	0.024858963	0.034970324	2.025791e-39	0.0
segsize12	0.005598356	0.0	0.000618333	0.0	0.0	0.0	0.028803287	0.02458881	0.0	0.0
segsize13	0.0058798036	0.0	9.329154e-11	0.0	0.0	0.0	0.022247354	0.012808929	0.00054622354	0.0
segsize14	0.0053908653	0.0	0.0	0.0	0.0	0.0	0.015110681	0.0049959477	0.00074710377	0.0
segsize15	0.015487865	0.013324214	0.0	0.0	3.161588e-33	0.0	0.02287427	1.0784488e-22	0.0019611623	0.011108805
segsize16	0.0051125786	0.0	0.0	0.0	0.08034665	0.0	0.010264875	0.0	0.0016513085	0.0043390305
segsize17	0.004800699	0.0	0.0	0.0	0.09947331	0.0	0.015004321	0.0	0.0023739617	0.011419064
segsize18	0.0018162311	0.0	0.0	0.0	0.073600754	0.0	0.0073913718	0.0	0.0019478548	0.0074434853
segsize19	0.0013073069	0.0	0.0	0.0	0.099688165	0.0	0.0058335275	0.0	0.0015151497	0.004723707
segsize20	0.0002179318	0.0	0.0	0.0	0.11927131	0.0	0.00209487	0.0	0.0010051433	0.0
segsize21	0.0	0.0	0.0	0.0	0.18819498	0.0	0.0034114535	0.0	0.0027838554	0.0030864081
segsize22	0.0	0.0	0.0	0.0	0.33942482	0.0	0.0	0.0	0.003350292	0.0
changepoint1	0.0070715323	0.36116776	0.0	0.0	0.0	0.01198395	0.005699206	0.0	0.007048053	0.0
changepoint2	0.0	0.59876394	0.0006694124	0.0	0.0	0.0	0.019649405	0.02862975	0.0019048661	0.0
changepoint3	0.0	0.0	0.29991293	0.0	0.0	0.0	0.06583165	0.0	0.006202532	0.0
changepoint4	0.13422124	0.0	0.1593154	0.0	0.0	0.0	0.04583639	1.7515076e-13	0.004559571	0.0
changepoint5	0.41980925	0.0	1.7208927e-19	0.0	0.0	0.0	0.019075032	0.0	0.001179605	0.0
changepoint6	0.05397799	0.0	0.0	0.0	0.0	0.0	0.0011274345	0.004221555	0.0	0.2367596
changepoint7	0.015923155	0.0	0.0	0.0	0.0	0.0	1.5673256e-08	0.0005029233	0.0	0.25229555
changepoint8	0.015102436	0.0	2.1591986e-05	0.0	0.0	4.306762e-05	0.00016114207	0.0013840914	1.4214983e-06	0.226307
changepoint9	0.004738111	0.0	0.00022927822	0.09153585	0.0	1.2721055e-05	4.0213563e-06	0.0012592168	5.4565694e-06	0.16512622
changepoint10	0.0013398117	0.0	4.131699e-05	0.8983564	0.0	0.00010767199	0.0	0.00053975335	9.644085e-07	0.05344133
bp10MB1	3.0598035e-24	0.0	0.0104367025	0.0	0.0	0.0	0.21506985	0.014904447	0.6017559	0.0
bp10MB2	1.5196254e-24	0.0	0.060207885	0.0	0.0	0.0	0.237425	0.10136872	0.23386732	0.0
bp10MB3	0.050330218	0.0	0.081297405	0.0	0.0	0.06664523	0.017630853	0.051890135	0.0036222665	0.0
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07714649	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.0	0.041075468	0.0	0.039466675	0.0
bpchrarm3	0.008631468	0.0	0.023493545	0.0	0.0	0.018599425	0.02974093	0.010004113	0.0011299979	0.0
bpchrarm4	0.0017407452	0.0	0.0071520447	0.0	0.0	0.0053072325	0.0	0.014091046	0.0	0.0
bpchrarm5	0.0002909234	0.0	0.0011119733	0.010107798	0.0	0.0	0.0	0.0	0.0	0.0019060188
osCN1	0.0	0.0	0.0	0.0	0.0	0.22697188	0.07366555	0.33209884	0.001125063	0.0
osCN2	0.02607577	0.0	0.040797096	0.0	0.0	0.07836189	0.018675579	0.07351565	0.0	0.0
osCN3	0.0033699486	3.4908019e-06	0.007735855	0.0	0.0	0.001957146	0.0	0.0	0.0	0.0
