	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.0028591265	0.0	0.0	0.1661561	0.0001413157	0.0
segsize2	0.0	0.0052412553	0.0	0.0	0.0007006691	0.0	0.0	0.13885579	0.00094939116	0.0041858256
segsize3	0.0	0.026290506	0.0	0.0	1.6056544e-38	0.0	0.0	0.16508213	0.0011558037	0.023551872
segsize4	0.0	0.07503322	7.877505e-11	2.938563e-17	0.029132303	0.0	7.561284e-13	0.13530874	0.0	0.060967017
segsize5	0.0	0.06587589	0.01433444	0.0	0.050767645	0.0	0.0	0.0076044267	0.0	0.04369197
segsize6	0.0	0.053714834	5.6324305e-19	0.0	0.06331134	0.0	1.2550692e-11	0.0	0.0	0.03232999
segsize7	0.0	0.035942253	0.0	0.0	0.06803258	0.0	0.001330195	0.0	0.008820891	0.015165072
segsize8	0.0	0.014246602	0.0	0.0	0.042251084	0.0	0.0007795731	0.0	0.012046097	0.004936183
segsize9	0.0	0.0059820153	0.0	0.0	0.025301596	0.0	0.0002779974	0.0	0.009866834	7.6840605e-09
segsize10	0.0	0.005759976	0.0	0.0	0.03422228	0.0	0.00023093415	0.0	0.019261524	0.0014845044
segsize11	0.0	0.0047618174	0.0	0.0	0.030714132	0.0	1.058553e-38	0.0	0.025367152	0.0045263385
segsize12	0.0	0.002664982	0.0	0.0	0.02088463	0.0	0.0	0.0	0.02936129	0.0063487496
segsize13	0.0	0.0009552551	0.0	0.0	0.010684305	0.0	0.0005591389	0.0	0.022653189	0.0063414555
segsize14	0.0	0.0	0.0	1.12327554e-35	0.0042484757	0.0	0.00078427803	0.0	0.015194208	0.0061196126
segsize15	0.0	0.0	0.00853776	0.011714002	2.2099675e-05	0.0001772409	0.0021032707	0.0	0.022905145	0.016442206
segsize16	0.0	0.0	0.0022221182	0.0	6.69323e-30	0.08112014	0.0016879993	0.0	0.010176397	0.005854899
segsize17	0.0	0.0	0.010855212	0.0	0.0	0.097624406	0.0025600474	0.0	0.014667327	0.005082063
segsize18	0.0	0.0	0.00617369	0.0	0.0	0.076050766	0.0018851755	0.0	0.007421887	0.0017962372
segsize19	0.0	0.0	0.0031665007	0.0	0.0	0.10305446	0.001524888	0.0	0.0057536825	0.0015042626
segsize20	0.0	0.0	1.22241294e-29	0.0	0.0	0.11808705	0.00101839	0.0	0.0020170715	0.00026658396
segsize21	0.0	0.0	0.0026415887	0.0	0.0	0.18772894	0.002776121	0.0	0.003277021	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.33615702	0.0032741847	0.0	0.0	0.0
changepoint1	0.0	0.0	0.0	0.37016472	0.0	0.0	0.0071169776	0.013318273	0.0058009317	0.007057201
changepoint2	0.0	0.001896214	0.0	0.61812127	0.025305767	0.0	0.0018842316	0.0	0.02035862	0.0
changepoint3	0.0	0.3113654	0.0	0.0	0.0	0.0	0.005571677	0.0	0.0639777	0.0
changepoint4	0.0	0.16196421	0.0	0.0	0.0052894065	0.0	0.0041362178	0.0	0.043665938	0.14078046
changepoint5	0.0	0.0015790829	0.0	0.0	9.1994305e-33	0.0	0.00089894206	0.0	0.018108519	0.43969274
changepoint6	0.0	0.0	0.24759142	0.0	0.005063444	0.0	0.0	0.0	0.0010763514	0.05220187
changepoint7	0.0	0.0	0.26006338	0.0	0.0006484077	0.0	0.0	0.0	4.8861892e-09	0.014893444
changepoint8	0.0	6.985876e-20	0.23038213	0.0	0.0018235587	0.0	1.6556692e-06	1.8780052e-05	0.00014344045	0.014484374
changepoint9	0.096899725	0.00021236774	0.1645624	0.0	0.0015392037	0.0	4.2835827e-06	4.1813376e-08	6.713492e-19	0.0043790564
changepoint10	0.8928458	3.447618e-05	0.04946936	0.0	0.00065527565	0.0	4.255067e-29	0.00010743347	0.0	0.0012717238
bp10MB1	0.0	0.0033580244	0.0	0.0	0.014635389	0.0	0.60291064	0.0	0.21241328	8.933902e-19
bp10MB2	0.0	0.064610206	0.0	0.0	0.09155133	0.0	0.23432627	0.0	0.2371175	5.0402906e-19
bp10MB3	0.0	0.080253534	0.0	0.0	0.054881122	0.0	0.0035041661	0.06582171	0.01745609	0.0491223
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.07664052	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.0	0.039943803	0.0	0.040503904	0.0
bpchrarm3	0.0	0.024331328	0.0	0.0	0.008374363	0.0	0.0010851026	0.018752946	0.030386804	0.00897995
bpchrarm4	0.0	0.006555228	0.0	0.0	0.014538196	0.0	0.0	0.00567228	0.0	0.0008829823
bpchrarm5	0.010254466	0.0010670788	0.0	0.0	0.0	0.0	0.0	0.002326266	0.0	0.0
osCN1	0.0	0.0	0.0	0.0	0.3183297	0.0	0.0011834685	0.19953506	0.07852265	0.0
osCN2	0.0	0.038548853	0.0	0.0	0.074232586	0.0	0.0	0.07852435	0.019432042	0.022306176
osCN3	0.0	0.007755436	0.0	0.0	0.0	0.0	0.0	0.002915633	0.0	0.0033529194
