	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.00040169925	0.0	0.0	0.0019381568	0.0	0.16338459	0.0
segsize2	0.0	0.0	0.0	0.0015220013	0.0	0.0	4.7705616e-30	0.0	0.14227886	0.005217846
segsize3	0.0	0.0	0.020370057	0.0014175094	0.0	0.0	5.124849e-25	5.475463e-34	0.16819805	0.025035184
segsize4	0.0	9.618158e-31	0.057901014	5.6706496e-23	3.4723284e-20	0.0	0.032070294	5.0246046e-05	0.13955866	0.071356334
segsize5	0.0	1.6435896e-08	0.04447347	0.0	0.0	0.0	0.056250546	5.8909705e-36	0.010829825	0.06236973
segsize6	0.0	1.9245503e-29	0.032904774	1.0659257e-23	0.0	0.0	0.06681469	3.874762e-07	0.0	0.051638324
segsize7	0.0	0.0	0.016002666	0.009142482	0.0	0.0	0.070020005	0.001270317	0.0	0.035061363
segsize8	0.0	0.0	0.0055367234	0.012365633	0.0	0.0	0.042594235	0.0007600955	0.0	0.014142785
segsize9	0.0	0.0	0.00017873518	0.010167598	0.0	0.0	0.02511967	0.00026969795	0.0	0.005939547
segsize10	0.0	0.0	0.0020576909	0.019661533	0.0	0.0	0.034021024	0.00022360055	0.0	0.0059727044
segsize11	0.0	0.0	0.004763685	0.025769627	0.0	0.0	0.029352883	2.3504363e-38	0.0	0.0054920283
segsize12	0.0	0.0	0.0067185136	0.02960872	0.0	0.0	0.019400485	0.0	0.0	0.0038319933
segsize13	0.0	0.0	0.0065029454	0.022731548	0.0	0.0	0.009744379	0.0006178473	0.0	0.001455606
segsize14	0.0	0.0	0.006009588	0.015365358	0.0	0.0	0.003510228	0.000831831	0.0	2.8355638e-20
segsize15	0.0	8.0258833e-10	0.014136908	0.023513498	1.960635e-05	0.007475733	0.0012073121	0.0022686291	0.0	0.0
segsize16	0.0	0.0009147971	0.0060421713	0.010055232	0.0	0.081438914	2.3007945e-24	0.0016712194	0.0	0.0
segsize17	0.0	0.0073099243	0.0046614823	0.014623261	0.0	0.10057382	0.0	0.0024873703	0.0	0.0
segsize18	0.0	0.0040670848	0.0022898796	0.0072958283	0.0	0.07751881	0.0	0.0018628121	0.0	0.0
segsize19	0.0	0.0010530726	0.0017615431	0.0056170463	0.0	0.10388001	0.0	0.001490421	0.0	0.0
segsize20	0.0	6.08e-43	2.2131976e-38	0.0019534337	0.0	0.11563656	0.0	0.0009887321	0.0	0.0
segsize21	0.0	0.0022439875	0.0	0.0031481143	0.0	0.18706456	0.0	0.0027147953	0.0	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.32641155	0.0	0.0032733453	0.0	0.0
changepoint1	0.0	0.0	0.0069465144	0.0056537217	0.3756197	7.7629933e-25	4.6558027e-38	0.007107029	0.0128424475	0.0
changepoint2	0.0	0.0	0.0	0.020798182	0.62435377	0.0	0.024967903	0.0018552803	0.0	0.0019081011
changepoint3	0.0	0.0	0.0	0.06070095	0.0	0.0	6.868283e-27	0.0056986087	0.0	0.30777732
changepoint4	0.0	0.0	0.14294559	0.041747537	0.0	6.480597e-28	0.005055138	0.004078827	6.3078246e-27	0.16221923
changepoint5	0.0	0.0	0.4464334	0.017550603	0.0	8.9623235e-27	1.7615097e-09	0.000696718	0.00025710592	0.006890236
changepoint6	0.0	0.25513598	0.053507768	0.0012261437	0.0	0.0	0.005439435	0.0	0.0	0.0
changepoint7	0.0	0.26931143	0.01539958	2.0129445e-07	0.0	0.0	0.0008157746	0.0	0.0	0.0
changepoint8	0.0	0.23943113	0.014675394	0.00015432981	0.0	5.4174655e-33	0.002052302	5.4414697e-17	0.00019166454	4.999481e-19
changepoint9	0.099935904	0.17010416	0.004426981	1.1094394e-05	0.0	4.2160787e-33	0.0016668483	3.6761287e-06	4.302766e-06	0.0001993119
changepoint10	0.89018434	0.05042842	0.0012800909	1e-45	0.0	0.0	0.00071880285	5.7658338e-21	0.0001532403	3.177642e-05
bp10MB1	0.0	0.0	1.2237273e-20	0.21036719	0.0	0.0	0.008116465	0.6029431	3.534742e-21	0.008545475
bp10MB2	0.0	0.0	5.924627e-11	0.23644929	0.0	0.0	0.080424525	0.23437542	1.6375036e-34	0.072346784
bp10MB3	0.0	0.0	0.04720621	0.017986603	0.0	0.0	0.0571232	0.0035652146	0.067342654	0.07652911
bpchrarm1	0.0	0.0	0.0	1.9309629e-33	0.0	0.0	0.0	0.076521866	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.039578818	0.0	0.0	0.0	0.04007019	0.0	0.0
bpchrarm3	0.0	0.0	0.01001685	0.030267859	0.0	0.0	0.006553885	0.0010943986	0.019622786	0.024969239
bpchrarm4	0.0	0.0	0.0006060105	0.0	0.0	0.0	0.015541934	0.0	0.0066098277	0.0060838773
bpchrarm5	0.009879785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026109866	0.0008532885
osCN1	0.0	0.0	0.0	0.0826826	0.0	0.0	0.32344425	0.001208363	0.18375126	0.0
osCN2	0.0	0.0	0.021129714	0.020464793	0.0	0.0	0.07603563	0.0	0.07909466	0.036530513
osCN3	0.0	0.0	0.003113996	0.0	6.8799873e-06	0.0	0.0	0.0	0.0032690736	0.0076023727
