	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0028815554	0.0	0.0	0.0	0.1820574	0.0	0.0	0.0005595228	1.9513928e-09
segsize2	0.0	0.00078177557	0.004582368	0.0	0.0	0.14990771	0.0	0.0	0.006164505	0.0008552305
segsize3	0.0	0.0	0.024670878	0.0	0.0	0.1736413	0.0	0.0	0.028821245	0.0010862327
segsize4	0.021415178	0.027259301	0.060170233	0.0	0.0	0.12606303	3.44539e-40	2.3674842e-08	0.079978675	0.0
segsize5	0.021594733	0.04922812	0.04290293	0.0	0.0	6.964544e-09	0.0	0.0	0.06788642	0.0
segsize6	0.0	0.062433995	0.030676989	0.0	0.0	0.0	0.0001337294	0.0	0.05303637	0.0
segsize7	0.0	0.06711706	0.013375948	0.0	0.0	0.0	0.0013994743	0.0	0.03428777	0.009029235
segsize8	0.0	0.042013198	0.0038214137	0.0	0.0	0.0	0.00081123284	0.0	0.012604922	0.012157739
segsize9	0.0	0.024730802	5.0675183e-22	0.0	0.0	0.0	0.00027915416	0.0	0.0053439727	0.009754118
segsize10	0.0	0.034177873	0.000982334	0.0	0.0	0.0	0.00021835044	0.0	0.0041223285	0.019402795
segsize11	0.0	0.030999592	0.0034097289	0.0	0.0	0.0	0.0	0.0	0.002694757	0.025613755
segsize12	0.0	0.021384986	0.005970163	0.0	0.0	0.0	0.0	0.0	0.0011190713	0.029436335
segsize13	0.0	0.011257005	0.0061004953	0.0	0.0	0.0	0.0005751977	0.0	7.7241246e-08	0.022531787
segsize14	0.0	0.0042085657	0.0065116966	0.0	0.0	0.0	0.0007424806	0.0	0.0	0.015204836
segsize15	0.011243813	4.2032492e-14	0.016536368	0.0	2.3468793e-11	0.0	0.0020522496	0.013682285	0.0	0.022744654
segsize16	0.0027030758	0.0	0.0063465685	0.0	0.077488355	0.0	0.0014814404	0.0	0.0	0.010284064
segsize17	0.012035384	0.0	0.0044135507	0.0	0.09767993	0.0	0.0022551692	0.0	0.0	0.014859825
segsize18	0.0066098683	0.0	0.00213223	0.0	0.07735558	0.0	0.0016627014	0.0	0.0	0.007346991
segsize19	0.0041298	0.0	0.0013882325	0.0	0.10163597	0.0	0.0012347421	0.0	0.0	0.0058325315
segsize20	0.0	0.0	7.093683e-30	0.0	0.13431783	0.0007988889	0.0	0.0	0.0	0.0023745715
segsize21	0.0032066389	0.0	0.0	0.0	0.18561147	0.0	0.002304964	0.0	0.0	0.0034128083
segsize22	0.0	0.0	0.0	0.0	0.32591087	0.0	0.0027973973	0.0	0.0	0.0
changepoint1	0.0	0.0	0.0076431036	0.0	0.0	0.0134571185	0.0072154477	0.36893076	0.0	0.0057947403
changepoint2	0.0	0.025151001	0.0	0.0	0.0	0.0	0.0019144838	0.6173774	0.00015403226	0.020687466
changepoint3	0.0	1.74e-43	0.0	0.0	0.0	0.0	0.0051663616	0.0	0.31603506	0.06607336
changepoint4	0.0	0.005979016	0.14126225	0.0	0.0	0.0	0.0038990236	0.0	0.16431008	0.044574343
changepoint5	0.0	1.0241865e-17	0.44541556	0.0	0.0	0.0	0.0007482848	0.0	0.0025475738	0.01800665
changepoint6	0.2381094	0.004669342	0.05198657	0.0	0.0	0.0	0.0	0.0	0.0	0.0011195801
changepoint7	0.24811509	0.00059138116	0.014635088	0.0	0.0	0.0	0.0	0.0	0.0	0.0
changepoint8	0.22144113	0.0016341901	0.014086557	0.0	0.0	4.5263686e-08	1.4186313e-06	0.0	2.5173306e-25	0.00014833032
changepoint9	0.15933625	0.0013964609	0.004112713	0.09330217	0.0	5.7282535e-23	6.469608e-06	0.0	0.00020208488	7.8985085e-15
changepoint10	0.05005964	0.00063170807	0.0011344497	0.8961601	0.0	0.00013981243	2.5343404e-06	0.0	1.1758651e-12	0.0
bp10MB1	0.0	0.022247415	7.366303e-24	0.0	0.0	0.0	0.60540366	0.0	4.717038e-06	0.21037301
bp10MB2	0.0	0.0933046	2.717026e-32	0.0	0.0	0.0	0.23486555	0.0	0.06036267	0.23687613
bp10MB3	0.0	0.054694008	0.049497876	0.0	0.0	0.06409876	0.0035379883	0.0	0.08131939	0.01736867
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.07704502	0.0	0.0	7.454777e-12
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.0	0.040024266	0.0	0.0	0.040543474
bpchrarm3	0.0	0.009008218	0.0102142375	0.0	0.0	0.0160536	0.0010323129	0.0	0.025120283	0.030132221
bpchrarm4	0.0	0.01465859	0.0003189801	0.0	0.0	0.0056332806	0.0	0.0	0.0060513713	0.0
bpchrarm5	0.0	0.0	0.0	0.010537731	0.0	0.0025283862	0.0	0.0	0.0011905412	0.0
osCN1	0.0	0.313832	0.0	0.0	0.0	0.18590932	0.0011889141	0.0	0.0	0.07689631
osCN2	0.0	0.07372823	0.022520492	0.0	0.0	0.076623075	0.0	0.0	0.037793458	0.01947825
osCN3	0.0	0.0	0.0031800345	0.0	0.0	0.0030882666	0.0	9.450645e-06	0.008289071	0.0
