	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	9.622519e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.15707397	0.0
segsize2	0.0	0.0012642276	0.0045424853	0.0	0.0	0.0	0.0	0.0	0.13354811	0.0
segsize3	0.0	0.0017990451	0.02730662	0.0	0.0	0.019924432	0.0	0.0	0.16310337	0.0
segsize4	0.0	0.0	0.08351865	0.00013338895	0.0	0.049953572	0.023603296	0.049223993	0.12848556	0.0
segsize5	0.0	0.0	0.07399419	6.305972e-26	0.0	0.035269998	0.04398148	0.044532813	0.008417514	0.0
segsize6	0.0	0.00148845	0.055683028	0.0002764953	0.0	0.022610473	0.057482734	0.014647459	0.0	0.0
segsize7	0.0	0.008293439	0.036039323	0.0016482587	0.0	0.008859388	0.06432725	0.0	0.0	0.0
segsize8	0.0	0.011374701	0.012975181	0.00088393147	0.0	1.1355628e-10	0.0405516	0.0	0.0	0.0
segsize9	0.0	0.009165045	0.0050640935	0.00021161974	0.0	0.0	0.02352647	0.0	0.0	0.0
segsize10	0.0	0.018066444	0.0036901706	6.5693326e-05	0.0	1.0580997e-18	0.03335605	0.0	0.0	0.0
segsize11	0.0	0.023847558	0.00051876635	0.0	0.0	0.0027037924	0.031725395	0.0	0.0	0.0
segsize12	0.0	0.027277803	0.0	0.0	0.0	0.005979622	0.022691455	0.0	0.0	0.0
segsize13	0.0	0.02177064	0.0	0.0	0.0	0.009473013	0.011583321	0.0	0.0	0.0
segsize14	0.0	0.015374774	0.0	0.0	0.0	0.009664459	0.0039645187	0.0043181153	0.0	0.0
segsize15	0.034721784	0.0231309	0.0	0.0	0.0	0.016003544	0.00073742965	0.017695958	0.0	0.01437515
segsize16	0.07909138	0.010279467	0.0	0.00094631134	0.0	0.005565832	4.696784e-31	0.008964807	0.0	0.0
segsize17	0.1292886	0.015724173	0.0	0.0	0.0	0.0024015403	0.0	0.015023821	0.0	0.0
segsize18	0.075202495	0.0073181293	0.0	0.0012918196	0.0	0.0019591595	0.0	0.008013448	0.0	0.0
segsize19	0.099715844	0.005842435	0.0	0.0009471687	0.0	0.0	0.0	0.0055097914	0.0	0.0
segsize20	0.10531986	0.002033053	0.0	0.0007601513	0.0	0.0	0.0	0.0016592178	0.0	0.0
segsize21	0.17474513	0.0032810678	0.0	0.0021529163	0.0	0.0	0.0	0.0040341527	0.0	0.0
segsize22	0.30121005	0.0	0.0	0.0028520327	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0	0.0058026635	0.0	0.007097666	0.0	0.0097249225	0.0	0.0	0.013196635	0.3690098
changepoint2	0.0	0.01986712	6.552755e-05	0.0015995775	0.0	0.0	0.023483347	0.0	0.0	0.61450267
changepoint3	0.0	0.06965032	0.32236844	0.0038301714	0.0	0.0	1.07014566e-19	0.0	0.0	0.0
changepoint4	0.0	0.04407399	0.16471568	0.0033964582	0.0	0.15677157	0.025990183	0.0	0.0	0.0
changepoint5	2.2629315e-15	0.013259858	0.004451592	0.00046470162	0.0	0.5102866	0.03278089	0.089837074	3.46674e-38	0.0
changepoint6	0.0	0.0	0.0	0.0	0.0	0.044995416	0.0087155	0.20224547	0.0	0.0
changepoint7	0.0	0.0	0.0	0.0	0.0	0.005370956	0.0013414884	0.19433588	0.0	0.0
changepoint8	0.0	9.3337956e-05	6.6096224e-14	1.2172245e-05	0.0	0.008144374	0.0020321067	0.17120004	0.0002125424	0.0
changepoint9	0.0007049154	6.30217e-40	5.254861e-12	3.421854e-05	0.07922841	0.0	0.0013612517	0.122347675	0.0009733574	0.0
changepoint10	0.0	0.0	0.0	3.0003332e-07	0.917086	0.0	0.0004380325	0.04435858	0.00023128859	0.0
bp10MB1	0.0	0.22118369	2.1417253e-23	0.6133859	0.0	0.0	0.021052448	0.0	0.0	0.0
bp10MB2	0.0	0.23942411	0.048280753	0.23524441	0.0	0.0	0.09563497	0.0	0.0	0.0
bp10MB3	0.0	0.017897904	0.08048951	0.0035583258	0.0	0.04323676	0.05486682	0.0	0.0728143	0.0
bpchrarm1	0.0	9.119109e-09	0.0	0.079483084	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.04246102	0.0	0.03925099	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.0	0.029697008	0.022869997	0.0004721927	0.0	0.013468768	0.010125871	0.0	0.019288067	0.0
bpchrarm4	0.0	0.0	0.007319085	0.0	0.0	4.2629094e-07	0.0127870105	0.0	0.0052056676	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.00368557	0.0	0.0	0.0020516815	0.004569964	0.0
osCN1	0.0	0.07108235	0.0	0.0	0.0	0.0	0.2807686	0.0	0.20602271	0.002112147
osCN2	0.0	0.018079031	0.03762908	0.0	0.0	0.013667032	0.07107044	0.0	0.08341487	0.0
osCN3	0.0	0.0	0.008477915	0.0	0.0	0.003964315	2.0080804e-05	0.0	0.0034419924	2.1752946e-07
