	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0009987423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16655569	0.0
segsize2	0.0018148413	0.0	0.004777219	0.0	0.0	0.0	0.0	0.0	0.14271663	0.0
segsize3	0.0018639879	0.0	0.025830386	0.019826442	0.0	0.0	0.0	0.0	0.16889761	0.0
segsize4	7e-44	3.887662e-09	0.07503848	0.057108846	0.0	0.029485626	7.991639e-23	0.0	0.1391965	8.096941e-07
segsize5	0.0	0.0	0.06529615	0.040425867	0.0	0.050847728	0.0	0.0	0.008228869	0.012320085
segsize6	0.0	8.289481e-05	0.05266712	0.0296027	0.0	0.0615192	0.0	0.0	0.0	0.0
segsize7	0.008723991	0.0013553773	0.035034824	0.013091238	0.0	0.06564745	0.0	0.0	0.0	0.0
segsize8	0.011963355	0.00083998695	0.013354762	0.0033953246	0.0	0.04089542	0.0	0.0	0.0	0.0
segsize9	0.009790539	0.00027341172	0.005730958	5.724007e-13	0.0	0.023918292	0.0	0.0	0.0	0.0
segsize10	0.019195683	0.0002408921	0.004926445	0.0013403719	0.0	0.033264566	0.0	0.0	0.0	0.0
segsize11	0.025258385	1.1953975e-14	0.004110749	0.0045748367	0.0	0.029853437	0.0	0.0	0.0	0.0
segsize12	0.029220186	0.0	0.0021649168	0.0067077484	0.0	0.020983187	0.0	0.0	0.0	0.0
segsize13	0.022469847	0.00052977656	0.0007263239	0.00758014	0.0	0.010857074	0.0	0.0	0.0	0.0
segsize14	0.015143058	0.00081764604	6.817811e-38	0.005497394	0.0	0.0047965473	0.0	0.0	0.0	0.0
segsize15	0.02313589	0.0020565295	0.0	0.015758054	0.0110938605	0.0031186987	0.0	0.0	0.0	2.0621703e-38
segsize16	0.010329396	0.0016698111	0.0	0.007825823	0.07925838	6.401593e-05	0.0	0.0	0.0	9.331744e-12
segsize17	0.014680016	0.0025185542	0.0	0.0069494746	0.09741301	0.0	0.0	0.0	0.0	0.00987001
segsize18	0.007256885	0.0019348556	0.0	0.0039061222	0.07386769	0.0	0.0	0.0	0.0	0.0045949393
segsize19	0.005780281	0.0014461192	0.0	0.0025627208	0.10412097	0.0	0.0	0.0	0.0	0.0016768716
segsize20	0.001916241	0.0010900451	0.0	0.00092164037	0.115377195	0.0	0.0	0.0	0.0	0.0
segsize21	0.0033459463	0.0027580734	0.0	3.7788897e-05	0.18800502	0.0	0.0	0.0	0.0	0.0022293197
segsize22	0.0	0.0034358401	0.0	0.0	0.3308639	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0056798165	0.007003667	0.0	0.008019174	1.7e-44	0.0	0.3756397	0.0	0.012725945	0.0
changepoint2	0.020267775	0.0018412232	0.00026204193	0.0	0.0	0.025092328	0.6243579	0.0	0.0	0.0
changepoint3	0.06515268	0.005160066	0.316075	0.0	0.0	1.0204815e-19	0.0	0.0	0.0	0.0
changepoint4	0.04221667	0.0038042935	0.16655314	0.14396739	1.6527e-41	0.01081059	0.0	0.0	0.0	0.0
changepoint5	0.013663221	0.0003719164	0.0092584165	0.45587954	0.0	0.012116117	0.0	0.0	5.355811e-29	0.0
changepoint6	0.0	0.0	0.0	0.053503487	0.0	0.0072786063	0.0	0.0	0.0	0.25321808
changepoint7	0.0	0.0	0.0	0.01392662	0.0	0.0008574468	0.0	0.0	0.0	0.26588896
changepoint8	7.31263e-13	2.1499143e-06	0.00011800244	0.0139143	0.0	0.0021705828	0.0	0.0	5.247336e-05	0.23474054
changepoint9	1.7015857e-19	5.933294e-06	0.00015913282	0.0039602625	0.0	0.0015921815	0.0	0.10051508	1.5982823e-05	0.1660596
changepoint10	0.0	1.4655359e-07	0.0	0.0011155073	0.0	0.00069169025	0.0	0.8908347	0.00017941809	0.0494008
bp10MB1	0.21452488	0.6039275	3.884295e-11	1.41064e-39	0.0	0.022365268	0.0	0.0	1.5304469e-38	0.0
bp10MB2	0.23871824	0.2345153	0.060638264	2.3213668e-26	0.0	0.09310712	0.0	0.0	0.0	0.0
bp10MB3	0.017314266	0.0034808526	0.08010664	0.046497006	0.0	0.054325566	0.0	0.0	0.06701172	0.0
bpchrarm1	3.904666e-17	0.07698144	0.0	0.0	0.0	1.7625041e-37	0.0	0.0	0.0	0.0
bpchrarm2	0.04150149	0.03971479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.030031938	0.0009975941	0.024761647	0.010668233	0.0	0.008856408	0.0	0.0	0.019771658	0.0
bpchrarm4	0.0	0.0	0.006419396	0.0	0.0	0.013936375	0.0	0.0	0.0063789785	0.0
bpchrarm5	0.0	0.0	0.0010505816	0.0	0.0	0.0	0.0	0.00865029	0.0026655896	0.0
osCN1	0.07824109	0.0011434092	0.0	0.0	0.0	0.29963338	0.0	0.0	0.18228512	0.0
osCN2	0.01980059	0.0	0.037062835	0.018402241	0.0	0.071904354	0.0	0.0	0.079750344	0.0
osCN3	0.0	0.0	0.007876591	0.0030336757	0.0	1.0697916e-05	2.45197e-06	0.0	0.003567483	0.0
