	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.15876457	0.0	0.0	0.0	0.0011115981	0.0	0.0	0.0	0.0	1.1754e-41
segsize2	0.14140742	0.0	0.0	3.8824433e-15	0.002331608	0.0027633018	0.0	0.0	0.0	0.0
segsize3	0.16847381	0.0	0.0	0.0	0.0020490184	0.02072813	0.021506626	0.0	0.0	0.0
segsize4	0.14195403	1.6988215e-28	0.0	7.617595e-05	0.0	0.05651523	0.06900704	0.0	0.0	0.034098595
segsize5	0.011623933	0.0062788865	0.0	0.0	0.0	0.040614795	0.062452074	0.0	0.0	0.058223784
segsize6	0.0	9.511531e-27	0.0	4.650217e-15	0.0	0.030252285	0.0523364	0.0	0.0	0.06875593
segsize7	0.0	0.0	0.0	0.0012889549	0.009280791	0.013964714	0.035435732	0.0	0.0	0.07141008
segsize8	0.0	0.0	0.0	0.00076707546	0.012575757	0.00424222	0.014595032	0.0	0.0	0.04300018
segsize9	0.0	0.0	0.0	0.00028613314	0.010347439	7.21446e-06	0.0062036393	0.0	0.0	0.024821185
segsize10	0.0	0.0	0.0	0.0002228576	0.0200325	0.0017522007	0.006456359	0.0	0.0	0.03317863
segsize11	0.0	0.0	0.0	0.0	0.026143923	0.0050807935	0.005992831	0.0	0.0	0.028449247
segsize12	0.0	0.0	0.0	0.0	0.029912129	0.007259836	0.0042573535	0.0	0.0	0.01847723
segsize13	0.0	0.0	0.0	0.0005696851	0.022809347	0.007618189	0.00212525	0.0	0.0	0.008513272
segsize14	0.0	0.0	0.0	0.0008981495	0.015362042	0.0062072086	3.4654305e-32	0.0	0.0	0.003340284
segsize15	0.0	8.204815e-22	0.004730715	0.0022615078	0.023286637	0.01643845	0.0	0.004885602	0.0	0.00018298182
segsize16	0.0	1.0510052e-08	0.0	0.0017131444	0.010173687	0.0061337193	0.0	0.081401885	0.0	0.0
segsize17	0.0	0.0048243273	0.0	0.0025317871	0.014464157	0.005425584	0.0	0.102588184	0.0	0.0
segsize18	0.0	0.0023168055	0.0	0.0019313617	0.0071935738	0.0033254414	0.0	0.07552092	0.0	0.0
segsize19	0.0	0.00043553268	0.0	0.0014867168	0.0056125554	0.0020288855	0.0	0.103260465	0.0	0.0
segsize20	0.0	1e-45	0.0	0.0010199422	0.0018935589	0.00031422116	0.0	0.11818625	0.0	0.0
segsize21	0.0	0.0019728625	0.0	0.0027887572	0.0031145164	2.0820368e-29	0.0	0.18768254	0.0	0.0
segsize22	0.0	0.0	0.0	0.0033541864	0.0	0.0	0.0	0.3264742	0.0	0.0
changepoint1	0.011829735	0.0	0.3736518	0.007067509	0.0055899853	0.007218677	0.0	0.0	0.0	0.0
changepoint2	0.0	0.0	0.62160766	0.0017434882	0.021051679	0.0	0.0029020496	0.0	0.0	0.023690322
changepoint3	0.0	0.0	0.0	0.0055628023	0.0601626	0.0	0.31456858	0.0	0.0	0.0
changepoint4	0.0	0.0	0.0	0.0039571254	0.039972972	0.14452633	0.16674803	0.0	0.0	0.007620572
changepoint5	2.3996536e-08	0.0	0.0	0.0005244547	0.0139509505	0.44829473	0.011116783	0.0	0.0	0.006159364
changepoint6	0.0	0.25468823	0.0	0.0	0.0	0.054427125	4.9094955e-33	0.0	0.0	0.007284458
changepoint7	0.0	0.2685188	0.0	0.0	0.0	0.014749528	0.0	0.0	0.0	0.0006975491
changepoint8	9.933379e-05	0.23821448	0.0	8.342964e-07	6.3691514e-05	0.014315522	6.7905974e-05	0.0	0.0	0.002046792
changepoint9	6.5886816e-05	0.17001145	0.0	6.820808e-06	8.7119615e-21	0.00416485	0.00014855576	0.0	0.098247096	0.0016043333
changepoint10	0.00021499538	0.05061548	0.0	1.82e-43	0.0	0.0011463659	0.0	0.0	0.89733964	0.00076010684
bp10MB1	2.059279e-34	0.0	0.0	0.6026794	0.21033828	3.1968582e-36	0.00044654543	0.0	0.0	0.00782288
bp10MB2	0.0	0.0	0.0	0.23496893	0.23744434	1.4291588e-18	0.07089837	0.0	0.0	0.07603897
bp10MB3	0.069705114	0.0	0.0	0.0034598224	0.017747764	0.046600178	0.07780625	0.0	0.0	0.057650324
bpchrarm1	0.0	0.0	0.0	0.076287605	4.316338e-37	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.040287513	0.038959924	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.019683009	0.0	0.0	0.0010650605	0.030423716	0.011396807	0.026349353	0.0	0.0	0.004788869
bpchrarm4	0.007106175	0.0	0.0	0.0	0.0	1.676999e-05	0.0056000147	0.0	0.0	0.016099636
bpchrarm5	0.005275053	0.0021231151	0.0	0.0	0.0	0.0	0.0	0.0	0.004413239	0.0
osCN1	0.18209676	0.0	0.0	0.0011922517	0.085296065	0.0	0.0	0.0	0.0	0.31883994
osCN2	0.07744413	0.0	0.0	0.0	0.02130324	0.019529618	0.035524122	0.0	0.0	0.07644456
osCN3	0.004256004	0.0	9.789228e-06	0.0	0.0	0.0029411085	0.007455194	0.0	0.0	0.0
