	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.14102364	0.0	0.0012021717	0.0	0.0	0.0	0.0
segsize2	0.0	0.0	0.0	0.12459918	7.545464e-08	0.0021797398	0.0	0.0024925685	0.0	0.0
segsize3	0.0	0.0	0.017890636	0.1550532	2.4746687e-23	0.0021971008	0.0	0.019962346	0.0	0.0
segsize4	4.1166157e-34	0.02976097	0.058919787	0.14413255	0.00013957897	6.644666e-32	0.0	0.06520742	0.0	0.0
segsize5	0.011771389	0.054202754	0.047221422	0.0205922	0.0	0.0	0.0	0.060716823	0.0	0.0
segsize6	0.0009174126	0.06793118	0.038764007	0.0	0.0	0.0	0.0	0.052555997	0.0	0.0
segsize7	0.0	0.07182892	0.022640277	0.0	0.0011247126	0.008592203	0.0	0.038306553	0.0	0.0
segsize8	0.0	0.04404713	0.00814065	0.0	0.00069568376	0.011981533	0.0	0.016769832	0.0	0.0
segsize9	0.0	0.025796775	0.0018087291	0.0	0.00021757741	0.009948073	7.6e-44	0.007903817	0.0	0.0
segsize10	0.0	0.034967992	0.0035004476	0.0	0.00017147699	0.019354649	0.0	0.008571082	0.0	0.0
segsize11	0.0	0.030692633	0.004959537	0.0	0.0	0.025619814	0.0	0.0077607944	0.0	0.0
segsize12	0.0	0.020117981	0.0056609497	0.0	0.0	0.029531835	0.0	0.005347129	0.0	0.0
segsize13	0.0	0.009681629	0.005554958	0.0	0.00064527383	0.022680767	0.0	0.0024820387	0.0	0.0
segsize14	0.0	0.0039502294	0.004932114	0.0	0.0008930691	0.015265062	0.0	0.00020283747	0.0	0.0
segsize15	0.006767335	1.0711914e-05	0.01306502	0.0	0.0023668967	0.023286344	0.0074999426	0.0	0.0	5.3218443e-08
segsize16	4.188912e-15	0.0	0.004501159	0.0	0.0018905029	0.010308904	0.0	0.0	0.0	0.0766457
segsize17	0.007357759	0.0	0.0027366604	0.0	0.002547543	0.014900377	0.0	0.0	0.0	0.10178773
segsize18	0.0052205427	0.0	0.0011336752	0.0	0.0019484085	0.0073658135	0.0	0.0	0.0	0.076185204
segsize19	0.0031571297	0.0	7.7536533e-16	0.0	0.0015138069	0.0058936537	0.0	0.0	0.0	0.10514912
segsize20	0.0	0.0	0.0	0.0	0.0010309806	0.001970316	0.0	0.0	0.0	0.11691127
segsize21	9.4554096e-08	0.0	0.0	0.0	0.00271238	0.0033540255	0.0	0.0	0.0	0.19080435
segsize22	0.0	0.0	0.0	0.0	0.0033308147	0.0	0.0	0.0	0.0	0.33251658
changepoint1	0.0	0.0	0.00573837	0.011908891	0.007167536	0.005759234	0.37153435	0.0	0.0	0.0
changepoint2	0.0	0.026114859	0.0	0.0	0.0019413631	0.019980004	0.6209596	0.0048126127	0.0	0.0
changepoint3	0.0	0.0	0.0	0.0	0.0061465157	0.055748932	0.0	0.30102548	0.0	0.0
changepoint4	0.0	2.0114585e-13	0.1427054	3.5551412e-33	0.0043760575	0.04063548	0.0	0.15886801	0.0	0.0
changepoint5	0.0	0.0	0.43381035	0.00067194575	0.00127302	0.020019453	0.0	0.0008556215	0.0	0.0
changepoint6	0.2506628	0.0045380183	0.05267217	0.0	0.0	0.0014808215	0.0	0.0	0.0	0.0
changepoint7	0.26027793	0.00043631648	0.015207295	0.0	0.0	2.2870248e-07	0.0	0.0	0.0	0.0
changepoint8	0.23269147	0.0015464227	0.0145222	0.00017519898	2.641127e-06	0.00020158109	0.0	4.5171232e-33	0.0	0.0
changepoint9	0.16730437	0.0014573325	0.004414383	0.00013536551	5.1530496e-06	1.0651501e-05	0.0	0.00019291365	0.09430365	0.0
changepoint10	0.052664697	0.00068649836	0.0012577117	0.00019312842	4.7806176e-27	0.0	0.0	1.9605071e-05	0.9025556	0.0
bp10MB1	0.0	8.608303e-15	2.4998523e-38	1.840714e-30	0.6012711	0.21255405	0.0	0.016296979	0.0	0.0
bp10MB2	0.0	0.07824227	9.3688535e-26	0.0	0.23416348	0.23521498	0.0	0.07844342	0.0	0.0
bp10MB3	0.0	0.055596642	0.05053357	0.07282837	0.0034422532	0.017658858	0.0	0.07561502	0.0	0.0
bpchrarm1	0.0	0.0	0.0	0.0	0.07653361	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.04000313	0.039550744	0.0	0.0	0.0	0.0
bpchrarm3	0.0	0.006841643	0.0070353607	0.018448923	0.0011918279	0.02976274	0.0	0.025176443	0.0	0.0
bpchrarm4	0.0	0.015509291	0.0022287753	0.006773625	0.0	0.0	0.0	0.0062782504	0.0	0.0
bpchrarm5	0.0012070831	0.0	0.0	0.005847275	0.0	0.0	0.0	0.0	0.003140752	0.0
osCN1	0.0	0.34011444	0.0	0.21259293	0.0012535561	0.08538694	0.0	3.31023e-40	0.0	0.0
osCN2	0.0	0.07592736	0.02538481	0.081538595	0.0	0.020402923	0.0	0.037005667	0.0	0.0
osCN3	0.0	0.0	0.0030596112	0.0034850142	0.0	0.0	6.0920233e-06	0.0071307505	0.0	0.0
