	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.000963369	0.0	0.0	1.3592251e-24	0.0	0.1562953
segsize2	0.0035818429	0.0	0.0	2.1574183e-37	0.001830841	5.807352e-07	0.0	0.0	0.0	0.13589606
segsize3	0.02205356	0.0	0.0	9.2e-43	0.0017875449	0.01986724	0.0	0.0	0.0	0.16374487
segsize4	0.06728959	5.6834098e-33	2.986976e-34	8.806785e-05	2.1905144e-27	0.05852584	0.0	0.032950956	0.0	0.14010835
segsize5	0.059953466	0.0	2.3598374e-12	8.41e-43	0.0	0.045041304	0.0	0.058956467	0.0	0.01410578
segsize6	0.05074305	0.0	4.7512e-41	6.754988e-10	2.3905514e-33	0.03374011	0.0	0.070091695	0.0	0.0
segsize7	0.035314966	0.0	0.0	0.0012223901	0.009202704	0.016751764	0.0	0.07282368	0.0	0.0
segsize8	0.014469386	0.0	0.0	0.0007352829	0.012591017	0.0052992892	0.0	0.044305913	0.0	0.0
segsize9	0.0065149246	0.0	0.0	0.0002921012	0.010217505	0.00045594407	0.0	0.025622994	0.0	0.0
segsize10	0.007070887	0.0	0.0	0.00019913843	0.01991866	0.0021984892	0.0	0.034192715	0.0	0.0
segsize11	0.00646962	0.0	0.0	0.0	0.026129853	0.0046156575	0.0	0.02928357	0.0	0.0
segsize12	0.0046834094	0.0	0.0	0.0	0.029870814	0.0063582854	0.0	0.018886972	0.0	0.0
segsize13	0.0019356351	0.0	0.0	0.00064214744	0.022834744	0.006458816	0.0	0.008919194	0.0	0.0
segsize14	4.848488e-06	0.0	0.0	0.000857577	0.015630504	0.005472787	0.0	0.0034381521	0.0	0.0
segsize15	0.0	0.005783613	7.880763e-20	0.0023621698	0.02324806	0.015548158	0.0	3.8148936e-08	8.965695e-08	0.0
segsize16	0.0	0.0	0.0004398437	0.0017713365	0.010271882	0.0049413987	0.0	1.4546844e-29	0.08191879	0.0
segsize17	0.0	0.0	0.0051152348	0.0026434956	0.014599215	0.0045565492	0.0	0.0	0.100561984	0.0
segsize18	0.0	0.0	0.0033280866	0.0019616215	0.0071744253	0.0019316388	0.0	0.0	0.07778017	0.0
segsize19	0.0	0.0	0.0014827285	0.0015508452	0.0056698564	0.0013204216	0.0	0.0	0.10308355	0.0
segsize20	0.0	0.0	0.0	0.0010376811	0.0019689363	0.0	0.0	0.0	0.118101925	0.0
segsize21	0.0	0.0	1.7699102e-05	0.002796688	0.0031941812	0.0	0.0	0.0	0.18851481	0.0
segsize22	0.0	0.0	0.0	0.0033436	0.0	0.0	0.0	0.0	0.3300387	0.0
changepoint1	0.0	0.37179717	0.0	0.007102848	0.0057067745	0.006442948	0.0	0.0	4.5e-44	0.012240792
changepoint2	0.0035932155	0.62241924	0.0	0.0017622539	0.020742036	0.0	0.0	0.024660213	0.0	0.0
changepoint3	0.3035102	0.0	0.0	0.005969375	0.05809771	0.0	0.0	1.08100476e-26	0.0	4e-45
changepoint4	0.15839064	0.0	0.0	0.00427221	0.040830858	0.14398664	0.0	0.0044580437	0.0	8.680055e-30
changepoint5	0.0020931358	0.0	0.0	0.0009145267	0.018807843	0.44420078	0.0	1.3008555e-16	0.0	3.2427622e-10
changepoint6	0.0	0.0	0.25882876	0.0	0.0013693149	0.052257687	0.0	0.004809605	0.0	0.0
changepoint7	0.0	0.0	0.27145407	0.0	2.8447553e-07	0.014627791	0.0	0.00043721855	0.0	0.0
changepoint8	4.6251866e-31	0.0	0.23989855	2.8425108e-28	0.00017369844	0.014319422	0.0	0.0017677922	9.153256e-29	0.00012744356
changepoint9	0.00017750681	0.0	0.16901056	4.706247e-06	1.4912132e-05	0.0042731287	0.100982316	0.0016120384	0.0	3.9609924e-05
changepoint10	0.0	0.0	0.050424416	1.4096177e-06	0.0	0.0012210942	0.89029735	0.00072981755	0.0	0.00022003337
bp10MB1	0.021826433	0.0	0.0	0.6016772	0.2079994	3.895025e-21	0.0	5.3120682e-05	0.0	9.618491e-21
bp10MB2	0.079222284	0.0	0.0	0.23449546	0.23614173	2.8439723e-17	0.0	0.0741198	0.0	1.9537e-40
bp10MB3	0.07554029	0.0	0.0	0.0034670788	0.017705955	0.049325433	0.0	0.057537105	0.0	0.06941738
bpchrarm1	0.0	0.0	0.0	0.07637886	1.2939777e-09	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.04022687	0.039185815	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.025903616	0.0	0.0	0.0010959641	0.029819775	0.009952993	0.0	0.005454353	0.0	0.020356663
bpchrarm4	0.005700012	0.0	0.0	0.0	0.0	0.00031598954	0.0	0.016243009	0.0	0.007725926
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0009221536	0.008720342	0.0	0.0	0.0039120875
osCN1	0.0	0.0	0.0	0.0011270323	0.08546244	0.0	0.0	0.33195397	0.0	0.19357768
osCN2	0.03674598	0.0	0.0	0.0	0.020837381	0.021962292	0.0	0.07669154	0.0	0.07869376
osCN3	0.0072114803	0.0	0.0	0.0	0.0	0.003107372	0.0	0.0	0.0	0.0035381964
