	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0012093878	0.0	0.0	0.0	0.0	0.0007612934	0.16118258
segsize2	0.0	0.0032254974	0.0	0.0	0.0	0.0	0.0	0.003911667	0.0014917989	0.1370034
segsize3	0.0	0.02207119	0.0	0.0	0.0	0.0	0.0	0.023048924	0.0016137714	0.16546237
segsize4	1.9326348e-12	0.059264395	0.0	0.034657225	3.7743706e-12	7.191143e-17	0.0	0.06953466	4.0084213e-32	0.13791393
segsize5	0.0	0.042961027	0.0	0.059624474	0.0	0.010933033	0.0	0.06207208	0.0	0.009473383
segsize6	0.0	0.028584234	0.0	0.07031387	5.792214e-14	2.4111533e-30	0.0	0.048419558	0.0027637824	0.0
segsize7	0.0	0.01414342	0.0	0.073717475	0.0012807748	0.0	0.0	0.034372915	0.010335648	0.0
segsize8	0.0	0.0045701163	0.0	0.044277474	0.0007475243	0.0	0.0	0.01453922	0.0129576055	0.0
segsize9	0.0	4.032648e-05	0.0	0.025648316	0.0002885876	0.0	0.0	0.006287978	0.010448315	0.0
segsize10	0.0	0.0023892387	0.0	0.03399558	0.00022704319	0.0	0.0	0.0068908357	0.019960117	0.0
segsize11	0.0	0.005281981	0.0	0.028896058	1e-45	0.0	0.0	0.0061726044	0.026132764	0.0
segsize12	0.0	0.0077540795	0.0	0.01822138	0.0	0.0	0.0	0.0047623934	0.02954518	0.0
segsize13	0.0	0.0076459716	0.0	0.008388178	0.0006618971	0.0	0.0	0.0019049007	0.022554178	0.0
segsize14	2.092e-42	0.005885945	0.0	0.0033771375	0.0008840832	0.0	0.0	3.622307e-06	0.015137556	0.0
segsize15	3.3458036e-07	0.014858817	0.010385511	2.5908083e-05	0.0023026434	1.0571912e-15	0.0	0.0	0.023158068	0.0
segsize16	0.0	0.0057665957	0.079324536	0.0	0.0017757652	7.6128275e-13	0.0	0.0	0.00991834	0.0
segsize17	0.0	0.0051228995	0.100854285	0.0	0.0025740082	0.003548495	0.0	0.0	0.0143429395	0.0
segsize18	0.0	0.0021928058	0.07717279	0.0	0.0019529589	0.0034574214	0.0	0.0	0.007141626	0.0
segsize19	0.0	0.0016206641	0.1038205	0.0	0.0015316195	8.7766726e-05	0.0	0.0	0.0055469307	0.0
segsize20	0.0	7.3252623e-31	0.11437544	0.0	0.0010578226	0.0	0.0	0.0	0.0019419631	0.0
segsize21	0.0	0.0	0.18694498	0.0	0.002769313	0.001207	0.0	0.0	0.0031222734	0.0
segsize22	0.0	0.0	0.3271219	0.0	0.0033112227	0.0	0.0	0.0	0.0	0.0
changepoint1	0.37445095	0.006546732	0.0	0.0	0.0071879555	0.0	0.0	0.0	0.005575779	0.011957073
changepoint2	0.62554324	0.0	0.0	0.023732912	0.0018781009	0.0	0.0	0.003297795	0.021003103	0.0
changepoint3	0.0	0.0	0.0	0.0	0.0056326124	0.0	0.0	0.30510208	0.059055075	0.0
changepoint4	0.0	0.14382315	1.5e-44	0.0046940977	0.0040541166	0.0	0.0	0.15998887	0.040773068	0.0
changepoint5	0.0	0.4470558	0.0	7.269411e-24	0.0007888734	0.0	0.0	0.0037357882	0.01727434	9.4069045e-37
changepoint6	0.0	0.052331164	0.0	0.004816003	0.0	0.25403422	0.0	0.0	0.0013691903	0.0
changepoint7	0.0	0.014651087	0.0	0.00028335513	0.0	0.26642546	0.0	0.0	6.3882666e-08	0.0
changepoint8	0.0	0.014136106	0.0	0.0015286425	2.360432e-06	0.23716798	0.0	1.095109e-10	0.00018844228	2.296511e-05
changepoint9	0.0	0.0042021414	0.0	0.0014464183	6.0368325e-06	0.16872926	0.09807604	0.00016638915	2.6827118e-05	7.117831e-06
changepoint10	0.0	0.0011625291	0.0	0.0007229192	6.9795163e-07	0.051591955	0.89922273	3.5482124e-05	0.0	0.00012479564
bp10MB1	0.0	1.546689e-15	0.0	0.00035101146	0.60206336	0.0	0.0	0.015615211	0.20540573	7.6975875e-31
bp10MB2	0.0	4.6512744e-14	0.0	0.071400866	0.23459959	0.0	0.0	0.0786863	0.23395324	0.0
bp10MB3	0.0	0.047902633	0.0	0.059032265	0.0034799986	0.0	0.0	0.0761474	0.018349353	0.06899104
bpchrarm1	0.0	0.0	0.0	0.0	0.07633419	0.0	0.0	0.0	2.7107575e-30	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.04026594	0.0	0.0	0.0	0.038343437	0.0
bpchrarm3	0.0	0.010241423	0.0	0.0048819343	0.0011072342	0.0	0.0	0.025931584	0.030040191	0.018632269
bpchrarm4	0.0	0.000279516	0.0	0.016683703	0.0	0.0	0.0	0.005922645	0.0	0.006962041
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0028174033	0.002701264	0.0	0.0	0.005477707
osCN1	0.0	0.0	0.0	0.33011127	0.0012336293	0.0	0.0	0.0	0.08814304	0.19450545
osCN2	0.0	0.021062713	0.0	0.07796219	0.0	0.0	0.0	0.03590072	0.021624923	0.078818046
osCN3	5.5513096e-06	0.003225834	0.0	0.0	0.0	0.0	0.0	0.007548286	0.0	0.0034659458
