"V1"	"W1"	"W2"	"W3"	"W4"	"W5"	"W6"	"W7"	"W8"	"W9"	"W10"
"segsize1"	"14805.601"	"551.87646"	"5.301e-42"	"2.088e-42"	"511.93466"	"5.465e-42"	"3.59e-43"	"6.36e-43"	"2.389e-42"	"1.089e-42"
"segsize2"	"12692.185"	"1447.8574"	"616.7745"	"1.391e-42"	"7.355415e-29"	"9.11e-42"	"3.59e-43"	"9.54e-43"	"1165.5938"	"1.089e-42"
"segsize3"	"15545.45"	"1619.8093"	"4565.794"	"1.391e-42"	"1.384e-41"	"2.3685e-41"	"3.59e-43"	"9.54e-43"	"7453.798"	"1.452e-42"
"segsize4"	"13636.699"	"2.8272188e-29"	"13165.509"	"4.4177917e-10"	"11417.7"	"19.91545"	"3.59e-43"	"1.272e-42"	"23137.537"	"1.452e-42"
"segsize5"	"1491.843"	"1.2254e-41"	"9787.67"	"675.22974"	"20499.477"	"2.7328e-41"	"3.59e-43"	"9.54e-43"	"20874.002"	"3.268e-42"
"segsize6"	"3.936e-42"	"1.3616e-41"	"7532.212"	"5.200958e-07"	"25380.535"	"4.1904e-41"	"3.59e-43"	"1.272e-42"	"17544.6"	"2.905e-42"
"segsize7"	"1.749e-42"	"7885.5894"	"3970.4492"	"3.48e-42"	"26827.756"	"2126.024"	"3.59e-43"	"2.227e-42"	"12207.471"	"3.268e-42"
"segsize8"	"2.186e-42"	"11013.014"	"1273.765"	"2.435e-42"	"16616.39"	"1276.4758"	"3.59e-43"	"2.864e-42"	"5054.0815"	"5.445e-42"
"segsize9"	"2.186e-42"	"9017.755"	"208.94395"	"1.739e-42"	"9735.218"	"447.18436"	"1.8e-43"	"1.909e-42"	"2154.7183"	"6.171e-42"
"segsize10"	"2.186e-42"	"17582.71"	"536.53357"	"1.739e-42"	"13361.471"	"386.96585"	"3.59e-43"	"2.227e-42"	"2082.2856"	"4.357e-42"
"segsize11"	"2.623e-42"	"23375.195"	"1057.3754"	"1.739e-42"	"11737.562"	"1.2753e-41"	"1.8e-43"	"1.272e-42"	"1717.6179"	"3.268e-42"
"segsize12"	"2.623e-42"	"26936.926"	"1513.5458"	"1.739e-42"	"7860.5894"	"7.288e-42"	"1.8e-43"	"9.54e-43"	"907.6336"	"2.542e-42"
"segsize13"	"3.498e-42"	"20612"	"1435.1803"	"2.435e-42"	"3986.422"	"1088.5701"	"3.59e-43"	"1.272e-42"	"177.4088"	"5.083e-42"
"segsize14"	"4.81e-42"	"13945.495"	"1292.263"	"1.1481e-41"	"1501.3131"	"1379.9641"	"3.59e-43"	"3.819e-42"	"9.40399e-40"	"8.783085e-22"
"segsize15"	"3.498e-42"	"21096.697"	"3273.9214"	"426.0505"	"0.1399741"	"3579.0537"	"3.59e-43"	"313.43832"	"7.166e-42"	"497.74762"
