	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0014277728	0.0	0.0	0.0	0.00067297945	0.0	0.0	0.13957362	0.0	0.0
segsize2	0.0	0.0044815503	0.0	1.6303145e-11	0.0017156327	0.0	0.0	0.121491775	0.0	0.0
segsize3	0.0	0.023046773	0.0	1.3879066e-14	0.001850636	0.0	0.0	0.14716074	0.017737048	0.0
segsize4	0.0	0.07976245	0.0	0.0	4.070025e-20	0.0	0.0	0.14324762	0.07449871	0.025295252
segsize5	0.044739265	0.06565309	0.0	0.0	0.0	0.0	0.017627563	0.021883273	0.049033858	0.0
segsize6	0.06300753	0.054955855	0.0	3.8310356e-20	2.4030548e-22	0.0	2.3871819e-20	0.0	0.039089534	0.0
segsize7	0.07124739	0.038040455	0.0	0.0013151157	0.007643657	0.0	0.0	0.0	0.022205034	0.0
segsize8	0.046133544	0.01527258	0.0	0.00077426963	0.011078684	0.0	0.0	0.0	0.00780067	0.0
segsize9	0.027942091	0.006743345	0.0	0.00029207076	0.009178398	0.0	0.0	0.0	0.0015135236	0.0
segsize10	0.039018035	0.0063626547	0.0	0.00023852188	0.01819253	0.0	0.0	0.0	0.002618991	0.0
segsize11	0.035135176	0.0051451134	0.0	0.0	0.024383092	0.0	0.0	0.0	0.0046926686	0.0
segsize12	0.024676979	0.0022173794	0.0	0.0	0.028806932	0.0	0.0	0.0	0.0051234113	0.0
segsize13	0.012784607	0.0003812664	0.0	0.00060478854	0.022212068	0.0	0.0	0.0	0.00509441	0.0
segsize14	0.0053814203	1.3288355e-25	0.0	0.00073457236	0.015057625	0.0	0.0	0.0	0.0051019476	0.0
segsize15	0.00091510377	0.0	0.0	0.0020603552	0.023166478	0.0024507134	1.46832715e-08	0.0	0.014234682	0.0088705355
segsize16	4.2808833e-38	0.0	0.0	0.0016304877	0.0103056915	0.07996895	0.003078336	0.0	0.004807673	0.0
segsize17	0.0	0.0	0.0	0.0023430684	0.015081648	0.09957506	0.011165847	0.0	0.00298927	0.0
segsize18	0.0	0.0	0.0	0.001879913	0.0073812813	0.0760739	0.0065009883	0.0	0.0014713731	0.0
segsize19	0.0	0.0	0.0	0.0014509289	0.0059458916	0.10288611	0.0036755542	0.0	0.00044023775	0.0
segsize20	0.0	0.0	0.0	0.00097648223	0.0020701848	0.11676007	0.0	0.0	3.5e-44	0.0
segsize21	0.0	0.0	0.0	0.002614273	0.003355158	0.19004688	0.0023114628	0.0	0.0	0.0
segsize22	0.0	0.0	0.0	0.0033009946	0.0	0.3322383	0.0	0.0	0.0	0.0
changepoint1	0.0	0.0	0.0	0.007129931	0.005873678	0.0	0.0	0.011415876	0.0060902773	0.363677
changepoint2	0.030082501	0.0022056093	0.0	0.002033972	0.019421734	0.0	0.0	0.0	0.0	0.602154
changepoint3	0.0	0.2926965	0.0	0.006329391	0.061221518	0.0	0.0	0.0	0.0	0.0
changepoint4	3.3264878e-18	0.15491027	0.0	0.00469967	0.043602437	0.0	0.0	0.0	0.13362204	0.0
changepoint5	0.0	3.7227596e-07	0.0	0.0013279599	0.01899521	0.0	0.0	1.271785e-09	0.4179461	0.0
changepoint6	0.005357188	0.0	0.0	0.0	0.0010900002	0.0	0.24182627	0.0	0.053788014	0.0
changepoint7	0.0006206706	0.0	0.0	0.0	3.961539e-07	0.0	0.25942472	0.0	0.016089749	0.0
changepoint8	0.00164794	3.7971862e-05	0.0	1.3177188e-06	0.00014957045	0.0	0.23254025	0.00013373353	0.015226999	0.0
changepoint9	0.001444843	0.00023953218	0.093065746	3.752225e-06	8.752121e-08	0.0	0.16901039	9.701437e-05	0.0048016687	0.0
changepoint10	0.00059503975	4.7322e-05	0.8981808	3.703287e-33	0.0	0.0	0.052838646	0.00014018905	0.001399169	0.0
bp10MB1	1.7088871e-14	0.020574588	0.0	0.6017502	0.22131722	0.0	0.0	5.0697065e-34	3.628232e-20	0.0
bp10MB2	0.09335718	0.06980769	0.0	0.23377714	0.23837192	0.0	0.0	0.0	7.431666e-22	0.0
bp10MB3	0.051083714	0.07885953	0.0	0.003495377	0.017173927	0.0	0.0	0.07112855	0.051646803	0.0
bpchrarm1	0.0	0.0	0.0	0.077368475	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.039542764	0.041087553	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.008480837	0.023712313	0.0	0.0010688164	0.029842995	0.0	0.0	0.019687744	0.007753674	0.0
bpchrarm4	0.013922723	0.007162229	0.0	0.0	0.0	0.0	0.0	0.0054321215	0.002711843	0.0
bpchrarm5	0.0	0.00087588537	0.008753454	0.0	0.0	0.0	0.0	0.0025539699	0.0	0.0
osCN1	0.3469751	0.0	0.0	0.0012553419	0.075106785	0.0	0.0	0.23130853	0.0	0.0
osCN2	0.074023336	0.039364792	0.0	0.0	0.018646484	0.0	0.0	0.082668126	0.027336845	0.0
osCN3	0.0	0.007442948	0.0	0.0	0.0	0.0	0.0	0.0020770684	0.0031337852	3.2768817e-06
