	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0025240383	0.0	0.00022703352	0.0	0.0	0.0	0.0	7.4637855e-28	0.17905153
segsize2	0.0	0.0	0.00473031	0.006904476	0.0	0.0	0.0	0.0	0.0009087458	0.14834797
segsize3	0.0	0.0	0.023841068	0.030263001	0.0	0.0	0.0	0.0	0.0014192618	0.1715393
segsize4	1.767406e-25	0.020462142	0.058206696	0.08759579	0.008055592	0.0	0.0	0.040803026	0.0	0.12147857
segsize5	0.0	0.042372577	0.03932653	0.07437964	0.0	0.0	0.0	0.03512995	0.0	8.493336e-09
segsize6	0.0004344565	0.057404425	0.026181698	0.055277836	0.0	0.0	0.0	0.0	0.0	0.0
segsize7	0.0016210531	0.06355252	0.010835279	0.035531834	0.0	0.0	0.0	0.0	0.0073396717	0.0
segsize8	0.000832565	0.040787574	0.0024064789	0.012409619	0.0	0.0	0.0	0.0	0.010700702	0.0
segsize9	0.00019968393	0.024342109	1.4e-44	0.004739166	0.0	0.0	0.0	0.0	0.008733104	0.0
segsize10	2.8406932e-24	0.034758195	0.00105017	0.0027547018	0.0	0.0	0.0	0.0	0.017582813	0.0
segsize11	0.0	0.033467084	0.0015939965	4.917061e-18	0.0	0.0	0.0	0.0	0.02330383	0.0
segsize12	0.0	0.024170585	0.0048054354	0.0	0.0	0.0	0.0	0.0	0.026740141	0.0
segsize13	0.0	0.0117928665	0.0083344495	0.0	0.0	0.0	0.0	0.0	0.021798545	0.0
segsize14	0.0	0.004732174	0.008707416	0.0	0.0	0.0	0.0	1.1634483e-08	0.015127856	0.0
segsize15	0.0	0.0	0.024332838	0.0	0.02956773	0.0	0.0	0.012861781	0.022967594	0.0
segsize16	0.001275183	1.8230172e-12	0.007443513	0.0	0.0	0.07711026	0.0	0.0049561006	0.010461321	0.0
segsize17	0.0	0.0	0.005596499	0.0	0.0	0.1341071	0.0	0.014933365	0.016164651	0.0
segsize18	0.0015894941	0.0	0.0028868616	0.0	0.0	0.073318005	0.0	0.008077626	0.0075622727	0.0
segsize19	0.0011606476	0.0	0.0022537261	0.0	0.0	0.09949289	0.0	0.0044574016	0.00594012	0.0
segsize20	0.00091779605	0.0	0.00041965616	0.0	0.0	0.112134956	0.0	5.029951e-08	0.0021871468	0.0
segsize21	0.0025328244	0.0	0.0	0.0	0.0	0.18173558	0.0	0.004685012	0.003467031	0.0
segsize22	0.003299724	0.0	0.0	0.0	0.0	0.32210124	0.0	0.0	0.0	0.0
changepoint1	0.0067782686	0.0	0.009064512	0.0	0.3638986	0.0	0.0	0.0	0.0059414073	0.013354144
changepoint2	0.0012676042	0.025841279	0.0	1.0236232e-38	0.5984615	0.0	0.0	0.0	0.019385956	0.0
changepoint3	0.0038778088	2.494439e-39	0.0	0.31238177	0.0	0.0	0.0	0.0	0.0744356	0.0
changepoint4	0.002992561	0.011504417	0.141077	0.16406798	0.0	0.0	0.0	0.0	0.047059145	0.0
changepoint5	3.4329415e-07	0.009906121	0.45802557	0.006647709	0.0	0.0	0.0	0.0	0.014712123	0.0
changepoint6	0.0	0.0074647097	0.05115694	0.0	0.0	0.0	0.0	0.22668602	0.0	0.0
changepoint7	0.0	0.0012603534	0.012689442	0.0	0.0	0.0	0.0	0.23626073	0.0	0.0
changepoint8	0.0	0.0021876474	0.012932427	0.0	0.0	0.0	0.0	0.20971353	7.065632e-05	7.750004e-06
changepoint9	7.865058e-06	0.0014783852	0.0034444663	0.00019364599	0.0	0.0	0.08925057	0.152149	0.0	1.7565777e-19
changepoint10	3.086445e-07	0.0005518585	0.0009214629	4.2738844e-05	0.0	0.0	0.90033615	0.049286496	0.0	0.00012289736
bp10MB1	0.6134439	0.025984168	0.0	1.3582745e-16	0.0	0.0	0.0	0.0	0.22351857	0.0
bp10MB2	0.23438862	0.10530925	4.316993e-39	0.04430261	0.0	0.0	0.0	0.0	0.24116613	0.0
bp10MB3	0.003518622	0.05282195	0.044977874	0.08293897	0.0	0.0	0.0	0.0	0.017264973	0.06599197
bpchrarm1	0.079260185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.4650947e-07	0.0
bpchrarm2	0.039288256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043792035	0.0
bpchrarm3	0.00040311203	0.011242034	0.010412157	0.022432694	0.0	0.0	0.0	0.0	0.030123785	0.019497927
bpchrarm4	0.0	0.012754442	8.455216e-05	0.0075078	0.0	0.0	0.0	0.0	0.0	0.004582614
bpchrarm5	0.0	0.0	0.0	0.001358029	0.0	0.0	0.0104133	0.0	0.0	0.001575046
osCN1	0.0009091405	0.29891542	0.0	0.0	0.0	0.0	0.0	0.0	0.063599385	0.19343126
osCN2	0.0	0.07241175	0.01900495	0.039324597	0.0	0.0	0.0	0.0	0.016524592	0.07817315
osCN3	0.0	0.0	0.0032560576	0.008718443	1.6610697e-05	0.0	0.0	0.0	0.0	0.002845711
