	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.1516047	0.0	0.0	0.0	0.0	0.0	0.0012238998	0.0
segsize2	0.0	0.0	0.13540214	0.0	0.0	0.0	0.0	0.0	0.0023808572	0.0026330545
segsize3	0.0	0.0	0.16420768	0.0	0.0	0.0	0.0	0.019672943	0.0021336533	0.020252874
segsize4	0.032529294	0.0	0.14400512	0.0	0.0	0.0	0.000111832116	0.06460236	0.0	0.05834041
segsize5	0.05811628	0.0	0.016351696	2.7297903e-24	0.0	0.0	0.0	0.05933671	0.0	0.04460471
segsize6	0.0693287	0.0	0.0	0.0	0.0	0.0	1.7530901e-15	0.050467413	0.0	0.033876777
segsize7	0.07233773	0.0	0.0	0.0	0.0	0.0	0.0011642427	0.035773654	0.008956487	0.017594628
segsize8	0.043867577	0.0	0.0	0.0	0.0	0.0	0.00067237695	0.015230626	0.012286595	0.0060036858
segsize9	0.025697937	0.0	0.0	0.0	0.0	0.0	0.00020592165	0.007023949	0.0100118015	0.0011531009
segsize10	0.034364633	0.0	0.0	0.0	0.0	0.0	0.00013774972	0.007686895	0.01965617	0.0021406498
segsize11	0.030364431	0.0	0.0	0.0	0.0	0.0	0.0	0.0064118137	0.02586995	0.0041517024
segsize12	0.019498004	0.0	0.0	0.0	0.0	0.0	0.0	0.004848366	0.029501196	0.0060174055
segsize13	0.007865381	0.0	0.0	0.0	0.0	0.0	0.0	0.0046698055	0.023159778	0.008158557
segsize14	0.003636349	0.0	0.0	0.0	0.0	0.0	0.0008095839	0.00014434189	0.015320004	0.0058964086
segsize15	0.00075798517	0.0050730384	0.0	0.0	0.0	1.10440004e-10	0.0022974736	1.376456e-36	0.023670996	0.01431804
segsize16	0.0	0.08098996	0.0	4.9165482e-26	0.0	0.0	0.0017249874	0.0	0.010342705	0.0051295646
segsize17	0.0	0.09771265	0.0	0.00453912	0.0	0.0	0.002649982	0.0	0.014806926	0.004627904
segsize18	0.0	0.0756098	0.0	0.0031170214	0.0	0.0	0.001958298	0.0	0.0073605226	0.0025703758
segsize19	0.0	0.10447845	0.0	3.968563e-10	0.0	0.0	0.0015262365	0.0	0.0057682423	0.0014792591
segsize20	0.0	0.11485605	0.0	0.0	0.0	0.0	0.0011159603	0.0	0.0020180088	0.0
segsize21	0.0	0.18783338	0.0	1.5786748e-23	0.0	0.0	0.0028705967	0.0	0.003300341	0.0
segsize22	0.0	0.33344665	0.0	0.0	0.0	0.0	0.0034046783	0.0	0.0	0.0
changepoint1	0.0	0.0	0.012220649	0.0	0.0	0.3737728	0.0071472633	0.0	0.005715783	0.006169718
changepoint2	0.024708208	0.0	0.0	0.0	0.0	0.6262217	0.0016960527	0.004388077	0.020449104	0.0
changepoint3	0.0	0.0	0.0	0.0	0.0	0.0	0.0054513277	0.30565026	0.05724113	0.0
changepoint4	0.0046964926	0.0	4.472e-42	0.0	0.0	0.0	0.0039510573	0.15965596	0.039938193	0.1431601
changepoint5	1.3754304e-35	0.0	5.5890406e-15	0.0	0.0	0.0	0.00087280525	0.0027067566	0.017619286	0.44076863
changepoint6	0.004694431	0.0	0.0	0.2579113	0.0	0.0	0.0	0.0	0.0012690377	0.05197975
changepoint7	0.0004448083	0.0	0.0	0.2682476	0.0	0.0	0.0	0.0	4.0060795e-07	0.014704959
changepoint8	0.0015763638	0.0	8.2530714e-05	0.23827507	0.0	0.0	1.543629e-06	3.301806e-30	0.00017015453	0.014319659
changepoint9	0.0014935734	0.0	6.4539934e-05	0.1705528	0.09710595	0.0	5.6575664e-06	0.00016275968	1.68892e-05	0.004268326
changepoint10	0.0007003394	0.0	0.00023530929	0.05540656	0.89996576	0.0	8.131975e-07	0.0	0.0	0.0011519125
bp10MB1	3.683879e-07	0.0	5.1988107e-33	0.0	0.0	0.0	0.60367894	0.018856235	0.21044743	1.1411267e-26
bp10MB2	0.074218646	0.0	0.0	0.0	0.0	0.0	0.23435399	0.08309119	0.23610759	1.1437622e-21
bp10MB3	0.057914566	0.0	0.06992407	0.0	0.0	0.0	0.00333691	0.07501241	0.017631212	0.04902151
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0769528	0.0	1.1409131e-36	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.0	0.03995583	0.0	0.039470673	0.0
bpchrarm3	0.004860183	0.0	0.020454234	0.0	0.0	0.0	0.0009710369	0.026225425	0.030212991	0.008923331
bpchrarm4	0.016451772	0.0	0.006859292	0.0	0.0	0.0	0.0	0.0055473023	0.0	0.001087151
bpchrarm5	0.0	0.0	0.0056762737	0.0019504837	0.0029282726	0.0	0.0	0.0	0.0	0.0
osCN1	0.3324693	0.0	0.18923768	0.0	0.0	0.0	0.0009739945	0.0	0.085475095	0.0
osCN2	0.07740667	0.0	0.07997457	0.0	0.0	0.0	0.0	0.035788834	0.020466927	0.02237415
osCN3	0.0	0.0	0.0036994426	0.0	0.0	5.5421474e-06	0.0	0.0070458977	0.0	0.0031216384
