	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	6.1651203e-06	0.0	0.0030339328	0.18335421	0.0	5.4286527e-05	0.0	0.0	0.0	0.0006915457
segsize2	0.0	0.0	0.0	0.14917016	0.004919546	0.0009471163	0.0	0.0	0.0	0.006883834
segsize3	0.0	0.0	0.0	0.16838303	0.024244372	0.0013866198	0.0	0.0	0.0	0.028597195
segsize4	0.0	0.08831173	0.0	0.10468529	0.06646416	0.0	0.0	0.034120902	0.0	0.089449495
segsize5	0.0	0.04111715	0.04584171	2.3395716e-11	0.044042315	0.0	0.0	0.0	0.0	0.069283344
segsize6	0.00019062855	9.4538997e-23	0.06501258	0.0	0.029240137	0.002517701	0.0	0.0	0.0	0.04933515
segsize7	0.0015036523	0.0	0.07298899	0.0	0.013922752	0.009335477	0.0	0.0	0.0	0.03229015
segsize8	0.00086499157	0.0	0.046098713	0.0	0.0038028487	0.011987519	0.0	0.0	0.0	0.012010522
segsize9	0.00029964815	0.0	0.027250728	0.0	0.0001919842	0.009573989	0.0	0.0	0.0	0.004982949
segsize10	0.00024980368	0.0	0.037954994	0.0	0.0015703219	0.018806748	0.0	0.0	0.0	0.003882084
segsize11	1.68945e-40	0.0	0.03410558	0.0	0.0041904123	0.024934102	0.0	0.0	0.0	0.0025162797
segsize12	0.0	0.0	0.023561629	0.0	0.0064195995	0.028615652	0.0	0.0	0.0	0.0010603747
segsize13	0.00051128084	0.0	0.01183108	0.0	0.006919178	0.022105368	0.0	0.0	0.0	2.4762716e-05
segsize14	0.0007426163	0.0	0.004726418	0.0	0.006191973	0.014864955	0.0	1e-45	0.0	0.0
segsize15	0.0020192359	0.010113389	2.2575535e-16	0.0	0.01533781	0.022536429	0.0	0.01122179	0.0008087303	0.0
segsize16	0.0016422838	0.004618672	0.0	0.0	0.0055103935	0.0100914	0.0	0.0	0.07980027	0.0
segsize17	0.0024460286	0.011395177	0.0	0.0	0.0037356517	0.014623091	0.0	0.0	0.09840044	0.0
segsize18	0.0018564044	0.006754101	0.0	0.0	0.0016604038	0.0072914823	0.0	0.0	0.07691171	0.0
segsize19	0.0014320937	0.0044626016	0.0	0.0	0.00086642714	0.005763463	0.0	0.0	0.103999145	0.0
segsize20	0.0011082726	0.0	0.0	0.0	0.00028498255	0.001923659	0.0	0.0	0.11660284	0.0
segsize21	0.0027613568	0.0033125796	0.0	0.0	0.0	0.0032502373	0.0	0.0	0.18661813	0.0
segsize22	0.003321239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33685875	0.0
changepoint1	0.007148159	0.0	0.0	0.011823976	0.0073037287	0.005655006	0.0	0.35828298	0.0	0.0
changepoint2	0.0019134802	0.0	0.02770582	0.0	0.0	0.019937314	0.0	0.59636843	0.0	0.00022790118
changepoint3	0.0062214117	0.0	0.0	0.0	0.0	0.06662652	0.0	0.0	0.0	0.28992793
changepoint4	0.004544179	0.0	0.0031539055	0.0	0.13714391	0.045544997	0.0	0.0	0.0	0.1543347
changepoint5	0.0009656056	0.0	6.8385e-41	0.0009956287	0.43901014	0.017807793	0.0	0.0	0.0	0.0037202865
changepoint6	0.0	0.21106559	0.004646305	0.0	0.051859293	0.0012823895	0.0	0.0	0.0	0.0
changepoint7	0.0	0.21892932	0.00065640983	0.0	0.014821104	2.1713849e-07	0.0	0.0	0.0	0.0
changepoint8	5.083397e-07	0.19731708	0.0014402138	6.6719825e-19	0.013928247	0.00019139727	0.0	0.0	0.0	4.1825584e-05
changepoint9	8.682e-06	0.14816457	0.0012592677	8.2810885e-12	0.003933605	1.6103433e-05	0.07593942	0.0	0.0	0.00023899619
changepoint10	3.9498704e-07	0.054437995	0.0004963496	8.170754e-05	0.0009926894	0.0	0.914855	0.0	0.0	6.720818e-05
bp10MB1	0.601958	0.0	2.8604695e-06	0.0	1.0816077e-26	0.21243113	0.0	0.0	0.0	0.026568457
bp10MB2	0.2335986	0.0	0.09201572	0.0	4.4396392e-26	0.23607501	0.0	0.0	0.0	0.06527265
bp10MB3	0.0037332554	0.0	0.055354312	0.06540363	0.051501226	0.01797828	0.0	0.0	0.0	0.07907807
bpchrarm1	0.076996006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.03975613	0.0	0.0	0.0	0.0	0.040160663	0.0	0.0	0.0	0.0
bpchrarm3	0.0010729824	0.0	0.00909783	0.015184865	0.010335991	0.029556764	0.0	0.0	0.0	0.024481246
bpchrarm4	0.0	0.0	0.015280389	0.0050652875	0.0011136606	0.0	0.0	0.0	0.0	0.0069349417
bpchrarm5	0.0	0.0	0.0	0.0023086774	0.0	0.0	0.009205535	0.0	0.0	0.0011430563
osCN1	0.0011269206	0.0	0.33981255	0.2127772	0.0	0.0766645	0.0	0.0	0.0	0.0
osCN2	0.0	0.0	0.07667175	0.077925265	0.025397385	0.019462595	0.0	0.0	0.0	0.039049324
osCN3	0.0	0.0	0.0	0.0028410149	0.003143773	0.0	0.0	6.0056555e-06	0.0	0.007905804
